BE0000048	凝血酶原
BE0004698	中性α-葡萄糖苷酶AB
BE0004699	中性α-葡萄糖苷酶C
BE0001066	溶质载体家族22成员6
BE0003645	溶质载体家族22成员8
BE0000879	溶质载体家族22成员11
BE0003646	溶质载体家族22成员7
BE0008388	β-内酰胺酶
BE0002449	端粒酶逆转录酶
BE0003478	黑色素浓缩激素受体1
BE0002674	丙酮酸黄氧毒素氧化还原酶
BE0004826	肽聚糖NAM\/NAG肽亚基的D-Ala-D-Ala部分
BE0001088	组织型纤溶酶原激活剂
BE0001283	载脂蛋白（a）
BE0000290	HCG20471，CRA_c亚型
BE0004896	膜相关孕酮受体成分1
BE0004904	NADPH氧化酶
BE0008954	DNA-3-甲基腺嘌呤糖苷酶
BE0000510	血清转铁蛋白
BE0002833	铜转运蛋白ATOX1
BE0001340	微管蛋白α-1A链
BE0004789	微管蛋白β-2链
BE0001367	微管蛋白β-4B链
BE0001487	延胡索酸还原酶黄素蛋白亚基
BE0002128	丝氨酸蛋白酶hepsin
BE0000970	胰岛素样生长因子结合蛋白3
BE0008996	妊娠特异性β-1糖蛋白5
BE0009043	细胞色素P450 26C1
BE0004670	角鲨烯单加氧酶
BE0001046	弹性蛋白
BE0003621	青霉素结合蛋白2
BE0003622	PBP3
BE0009685	肽聚糖转肽酶
BE0004524	大同系物4
BE0002994	精氨酸酶
BE0008382	DNA回旋酶A亚单位
BE0008383	DNA拓扑异构酶4亚单位A
BE0008386	DNA拓扑异构酶4亚基B
BE0008387	DNA回旋酶A亚单位
BE0008392	多药耐药蛋白MdtK
BE0008384	回旋酶A
BE0008385	DNA回旋酶A亚单位
BE0004897	西格玛受体
BE0001391	微管蛋白α-4A链
BE0000474	硫氧还蛋白还原酶
BE0003610	3-氧代-5-β-类固醇4-脱氢酶
BE0000585	3-氧代-5-α-类固醇4-脱氢酶2
BE0000498	DNA聚合酶I
BE0000334	尿素酶亚单位α
BE0001198	巨噬细胞金属弹性蛋白酶
BE0002214	腺苷脱氨酶
BE0009609	电压依赖性R型钙通道亚单位α-1E（CACNA1E）
BE0004661	乙酰胆碱受体亚单位α
BE0000057	神经氨酸酶
BE0003527	神经氨酸酶
BE0000521	内皮素-1受体
BE0000043	内皮素B受体
BE0003709	30S核糖体蛋白S13
BE0003708	30S核糖体蛋白S14
BE0003710	30S核糖体蛋白S19
BE0003582	钾通道亚家族K成员3
BE0003583	钾通道亚家族K成员9
BE0002437	碳酸酐酶9
BE0001653	碳酸酐酶12
BE0009965	碳酸酐酶
BE0004808	领导
BE0004814	水星
BE0004802	镉
BE0004813	砷
BE0003711	微管蛋白三角链
BE0003713	微管蛋白γ-1链
BE0003712	微管蛋白ε链
BE0004840	青霉素结合蛋白
BE0000116	进化β-半乳糖苷酶亚单位α
BE0000757	溶质载体家族22成员4
BE0000106	溶质载体家族22成员5
BE0000496	肉碱O-乙酰转移酶
BE0000097	线粒体肉碱\/酰基肉碱载体蛋白CACL
BE0000579	线粒体肉碱\/酰基肉碱载体蛋白
BE0000373	过氧化物酶体肉碱O-辛烷基转移酶
BE0000179	肉碱O-棕榈酰转移酶2，线粒体
BE0000406	肉碱O-棕榈酰转移酶1，肝亚型
BE0000657	胞质磷脂酶A2
BE0003201	膜联蛋白A3
BE0008969	膜联蛋白A4
BE0004149	膜联蛋白A5
BE0000351	阿米洛利敏感胺氧化酶[含铜]
BE0000678	酸敏感离子通道2
BE0000353	酸敏感离子通道1
BE0000752	钠\/氢交换器1
BE0000895	尿激酶型纤溶酶原激活剂
BE0002194	脂肪酸酰胺水解酶1
BE0001062	丝裂原活化蛋白激酶3
BE0004353	醛酮还原酶家族1成员B10
BE0000229	钠\/钾转运ATP酶亚单位γ
BE0009094	分泌型卷曲相关蛋白4
BE0001171	Toll样受体9
BE0002659	谷胱甘肽S-转移酶
BE0003428	高迁移率族蛋白B1
BE0000982	血管紧张素转化酶2
BE0000332	烯醇基-[酰基载体蛋白]还原酶[NADH]
BE0000466	过氧化氢酶过氧化物酶
BE0002436	组胺N-甲基转移酶
BE0000461	DNA定向RNA聚合酶亚单位α
BE0000257	DNA定向RNA聚合酶亚单位β
BE0003707	DNA定向RNA聚合酶亚单位β'
BE0001120	热休克蛋白HSP 90α
BE0001165	内质素
BE0000266	脑啡肽酶
BE0009998	30S核糖体蛋白
BE0004743	断点簇区蛋白
BE0001104	RET原癌基因
BE0000853	巨噬细胞集落刺激因子1受体
BE0001124	含有上皮盘状结构域的受体1
BE0003565	钙\/钙调蛋白依赖性3'，5'-环核苷酸磷酸二酯酶1A
BE0003323	钙\/钙调蛋白依赖性3'，5'-环核苷酸磷酸二酯酶1B
BE0004829	C55焦磷酸异戊酯
BE0001183	胰岛素降解酶
BE0000836	羟基羧酸受体3
BE0000526	烟酸核苷酸焦磷酸化酶[羧化]
BE0000783	尼克酰胺-N-甲基转移酶
BE0000980	酪氨酸蛋白磷酸酶非受体4型
BE0003567	受体型酪氨酸蛋白磷酸酶
BE0003568	受体型酪氨酸蛋白磷酸酶ε
BE0003569	V型质子ATP酶催化亚基A
BE0000594	包膜糖蛋白GP350
BE0000712	包膜糖蛋白GP340
BE0004657	二氢蕨酸合酶1型
BE0004658	叶酸合成蛋白FOL1
BE0002352	环菊糖低聚糖果糖转移酶
BE0000882	三功能嘌呤生物合成蛋白腺苷-3
BE0000472	推测的促性腺激素释放激素II受体
BE0000731	细胞色素P450 11B1，线粒体
BE0000242	线粒体肾上腺毒素
BE0002353	cAMP特异性3'，5'-环磷酸二酯酶4C
BE0001192	代谢型谷氨酸受体5
BE0000356	电压依赖性P\/Q型钙通道亚单位α-1A
BE0010000	肌肉烟碱乙酰胆碱受体
BE0004877	3-β-羟基类固醇-δ（8），δ（7）-异构酶
BE0004895	蛋白激酶C
BE0003790	丝裂原活化蛋白激酶8
BE0004833	细菌外膜
BE0000689	成纤维细胞生长因子1
BE0000326	成纤维细胞生长因子4
BE0004520	6-丙酮酰四氢生物蝶呤合酶
BE0003837	Ig kappa链V-II区RPMI 6410
BE0005562	G蛋白偶联受体35
BE0003580	尼沙林
BE0002361	可能的丙酮酸黄氧毒素氧化还原酶
BE0000621	氧不敏感NADPH硝基还原酶
BE0000158	30S核糖体蛋白S10
BE0000499	低密度脂蛋白受体
BE0000555	蛋白P
BE0008389	青霉素结合蛋白2
BE0004862	血清素受体
BE0000099	半胱氨酸白三烯受体2
BE0000995	fMet-Leu-Phe受体
BE0000296	前列腺素D2受体
BE0000709	ADP\/ATP转位酶2
BE0000624	ADP\/ATP转位酶3
BE0004906	钙激活钾通道
BE0009743	60kDa溶血磷脂酶
BE0000892	DNA（胞嘧啶-5）-甲基转移酶1
BE0009880	DNA（胞嘧啶-5）-甲基转移酶3A
BE0000155	Toll样受体7
BE0003518	Toll样受体8
BE0000548	延胡索酸还原酶黄素蛋白亚基
BE0004915	D（2L）多巴胺受体
BE0000577	角鲨烯单加氧酶
BE0002517	tRNA（胞嘧啶（38）-C（5））-甲基转移酶
BE0004807	铁
BE0004818	铝
BE0003392	淀粉样βA4蛋白
BE0000484	线粒体ATP合酶亚单位δ
BE0000697	维甲酸诱导蛋白3
BE0000653	维甲酸受体反应蛋白1
BE0005828	脂钙蛋白-1
BE0005829	气味结合蛋白2a
BE0000314	视黄醇结合蛋白4
BE0004284	[丙酮酸脱氢酶[脂酰胺]]激酶同工酶4，线粒体
BE0003480	细胞色素P450 26A1
BE0009044	细胞色素P450 26B1
BE0000114	D-乳酸脱氢酶
BE0002252	琥珀酸脱氢酶[泛醌]细胞色素b小亚单位，线粒体
BE0004653	30S核糖体蛋白S7
BE0004651	30S核糖体蛋白S3
BE0004652	30S核糖体蛋白S8
BE0001105	主要朊蛋白
BE0008391	多药易位酶MdfA
BE0000047	溶质载体家族12成员5
BE0000140	溶质载体家族12成员6
BE0000276	溶质载体家族12成员7
BE0000601	溶质载体家族12成员4
BE0000971	DNA拓扑异构酶1
BE0000091	DNA拓扑异构酶I，线粒体
BE0009711	细菌β-内酰胺酶
BE0000968	组胺H3受体
BE0001090	蛋白S100-A1
BE0001206	蛋白S100-A12
BE0001177	蛋白S100-B
BE0000885	蛋白S100-A13
BE0003602	蛋白S100-A2
BE0000368	前列腺素E2受体EP2亚型
BE0000743	50S核糖体蛋白L10
BE0001002	膜初级胺氧化酶
BE0003446	雌激素偶联蛋白G受体
BE0009014	ATP合酶a亚单位
BE0009015	贝克林-1
BE0000920	间质胶原酶
BE0000642	72kDa IV型胶原酶
BE0001116	Stromelysin-1
BE0003690	苦参素
BE0001182	中性粒细胞胶原酶
BE0003689	Stromelysin-2
BE0003691	肌醇溶素-3
BE0000966	胶原酶3
BE0003692	基质金属蛋白酶-14
BE0003693	基质金属蛋白酶-15
BE0001637	基质金属蛋白酶-16
BE0003694	基质金属蛋白酶-17
BE0003695	基质金属蛋白酶-19
BE0003696	基质金属蛋白酶-20
BE0003697	基质金属蛋白酶-21
BE0003698	基质金属蛋白酶-23
BE0003699	基质金属蛋白酶-24
BE0009742	基质金属蛋白酶-25
BE0003701	基质金属蛋白酶-26
BE0003702	基质金属蛋白酶-27
BE0003703	基质金属蛋白酶-28
BE0001403	胸苷激酶
BE0000633	DNA聚合酶催化亚单位
BE0004038	消化链球菌白蛋白结合蛋白
BE0003559	6-磷酸葡萄糖酸脱氢酶，脱羧酶
BE0000069	乙酰辅酶A乙酰转移酶，线粒体
BE0001893	血栓素-A合酶
BE0003997	磷脂酶A2
BE0001601	依赖NH（3）的NAD（+）合成酶
BE0009788	磷酸二酯酶酶
BE0001096	5'-核苷酸酶
BE0000681	RNA定向RNA聚合酶
BE0000282	RNA定向RNA聚合酶催化亚单位
BE0001261	基因组多蛋白
BE0000117	前列环素合酶
BE0000799	DNA回旋酶B亚单位
BE0000798	DNA拓扑异构酶4亚单位A
BE0003634	碳酸酐酶14
BE0000880	水通道蛋白-1
BE0003558	双3'，5'-环AMP和-GMP磷酸二酯酶11A
BE0001186	瞬时受体电位阳离子通道亚家族M成员8
BE0001122	瞬时受体电位阳离子通道亚家族A成员1
BE0003416	瞬时受体电位阳离子通道亚家族V成员3
BE0000468	UDP-N-乙酰氨基葡萄糖1-羧乙烯基转移酶
BE0001024	肌钙蛋白C，缓慢骨骼肌和心肌
BE0004350	蛋白S100-A4
BE0008983	前列腺特异性抗原
BE0000947	阿片黑皮素原
BE0008670	磺酰脲受体1，Kir6。2.
BE0004952	肿瘤坏死因子诱导基因6蛋白
BE0001051	白细胞介素-1β
BE0004903	核因子NF-κB
BE0004716	钾电压门控通道亚家族A成员3
BE0004827	胱氨酸
BE0002419	神经肽Y受体2型
BE0000896	胎盘样碱性磷酸酶
BE0004925	乙酰胆碱受体亚单位α型unc-38
BE0004926	乙酰胆碱受体亚单位α型unc-63
BE0004927	乙酰胆碱受体亚单位β型lev-1
BE0004928	乙酰胆碱受体亚单位β型unc-29
BE0000716	DNA聚合酶α亚单位B
BE0004878	活化T细胞的核因子，细胞质1
BE0001086	核因子NF-κB p105亚单位
BE0004924	激活蛋白1
BE0001029	白细胞介素-2
BE0000050	δ-氨基乙酰丙酸脱水酶
BE0004825	铜
BE0000120	二氢蕨酸合酶1型
BE0000629	血红蛋白β亚单位
BE0000130	血红蛋白亚单位α
BE0000399	铁蛋白重链
BE0000085	铁蛋白轻链
BE0000049	高亲和力免疫球蛋白ε受体亚单位γ
BE0001030	G蛋白激活内向整流钾通道2
BE0001114	血管细胞粘附蛋白1
BE0002218	G蛋白激活内向整流钾通道4
BE0003593	γ-氨基丁酸受体亚单位γ-1
BE0003594	γ-氨基丁酸受体亚单位γ-3
BE0003595	γ-氨基丁酸受体亚单位ε
BE0003596	γ-氨基丁酸受体亚单位pi
BE0003597	γ-氨基丁酸受体亚单位θ
BE0003599	γ-氨基丁酸受体亚单位δ
BE0004706	平衡核苷转运体2
BE0009586	5-羟色胺受体3E
BE0009583	5-羟色胺受体3B
BE0009585	5-羟色胺受体3D
BE0009584	5-羟色胺受体3C
BE0005108	电压依赖性钙通道γ-2亚单位
BE0005190	G蛋白激活内向整流钾通道3
BE0008999	神经细胞粘附分子L1
BE0009011	淋巴增强子结合因子1
BE0002375	前列腺素E2受体EP3亚型
BE0000249	钠和氯依赖的GABA转运体1
BE0000192	钠通道蛋白11亚单位α
BE0003636	钠通道亚单位β-2
BE0003637	钠通道亚单位β-3
BE0003638	钠通道亚单位β-4
BE0003626	碳酸酐酶5A，线粒体
BE0003627	碳酸酐酶5B，线粒体
BE0003628	碳酸酐酶6
BE0003630	碳酸酐酶相关蛋白
BE0003631	碳酸酐酶相关蛋白10
BE0003632	碳酸酐酶相关蛋白11
BE0003633	碳酸酐酶13
BE0002441	ATP敏感内向整流钾通道8
BE0004435	氧不敏感NADPH硝基还原酶
BE0009695	厌氧细菌DNA
BE0009696	原生动物DNA
BE0003522	前列腺素E2受体EP4亚型
BE0002378	孤菲肽受体
BE0003688	青霉素结合蛋白2
BE0002442	Toll样受体4
BE0003539	醛氧化酶
BE0003380	细胞肿瘤抗原p53
BE0004876	核糖体蛋白S6激酶α-3
BE0003469	NF-κB抑制剂α
BE0000444	半胱天冬酶-1
BE0009668	细胞外信号调节激酶（ERK）
BE0001027	G1\/S特异性细胞周期蛋白D1
BE0004689	Myc原癌基因蛋白
BE0009669	细胞周期蛋白
BE0002887	细胞色素P450 2C8
BE0002433	细胞色素P450 1A2
BE0003536	细胞色素P450 2C19
BE0001944	二氢叶酸还原酶
BE0004951	DNA拓扑异构酶2
BE0000802	尼曼-匹克C1样蛋白1
BE0000105	甾醇O-酰基转移酶1
BE0001078	氨基肽酶
BE0004812	锰离子
BE0000631	cAMP和cAMP抑制cGMP 3'，5'-环磷酸二酯酶10A
BE0009008	钙加压素-1
BE0000515	褪黑素受体1A型
BE0000327	褪黑素受体1B型
BE0000113	DNA聚合酶β
BE0002390	超氧化物歧化酶[Cu-Zn]
BE0001109	Ras相关C3肉毒毒素底物1
BE0000907	过氧化还原酶-5，线粒体
BE0002400	钾电压门控通道亚家族KQT成员5
BE0005819	核仁和螺旋体磷蛋白1
BE0001191	蛋白S100-P
BE0000875	羊毛甾醇14α去甲基酶
BE0003552	C-X-C趋化因子受体1型
BE0001246	樟脑5-单加氧酶
BE0004923	线粒体ATP敏感性钾通道
BE0009748	瞬时受体电位阳离子通道亚家族M成员4
BE0001009	细胞色素c
BE0009853	丝裂原活化蛋白激酶
BE0003566	肌钙蛋白C，骨骼肌
BE0000125	白细胞介素-3
BE0000690	羊毛甾醇14α去甲基酶
BE0004873	类固醇21羟化酶
BE0003719	Pannexin-1
BE0009016	味觉受体2型成员16
BE0000077	次黄嘌呤鸟嘌呤磷酸核糖转移酶
BE0004941	肌苷-5'-单磷酸脱氢酶
BE0000801	3-氧酰基-[酰基载体蛋白]合酶1
BE0000800	3-氧酰基-[酰基载体蛋白]合酶2
BE0000558	3-氧酰基-[酰基载体蛋白]合酶3
BE0000959	脂肪酸合成酶
BE0009666	甘氨酸受体
BE0003724	DNA回旋酶A亚单位
BE0003725	DNA回旋酶B亚单位
BE0003726	DNA拓扑异构酶4亚单位A
BE0003727	DNA拓扑异构酶4亚基B
BE0000765	氯通道蛋白2
BE0004659	平滑同系物
BE0009142	HLA I类组织相容性抗原，B-57α链
BE0009376	多巴胺受体
BE0000246	凋亡调节因子Bcl-2
BE0003591	脂肪酸结合蛋白，肠道
BE0001025	血小板糖蛋白Ibα链
BE0003756	蛋白S100-A7
BE0002388	DNA回旋酶B亚单位
BE0004654	青霉素结合蛋白3
BE0001047	C-C基序趋化因子2
BE0004851	血吸虫钙离子通道
BE0009851	青霉素结合蛋白
BE0003554	核受体RORβ
BE0003555	嗜酸性粒细胞过氧化物酶
BE0003553	乙酰5-羟色胺O-甲基转移酶
BE0009827	P2嘌呤受体
BE0002804	脱氧胞苷激酶
BE0000854	二肽基肽酶4
BE0000683	胰腺三酰甘油脂肪酶
BE0003620	胃三酰甘油脂肪酶
BE0002459	角蛋白，II型细胞骨架蛋白7
BE0005034	钠\/钾转运ATP酶亚单位α-2
BE0005047	钠\/钾转运ATP酶亚单位α-3
BE0004608	甾醇O-酰基转移酶2
BE0000232	微粒体甘油三酯转移蛋白大亚基
BE0000382	二氢乳清酸脱氢酶（醌），线粒体
BE0000871	蛋白酪氨酸激酶2-β
BE0000021	胸苷酸合酶
BE0001077	85\/88kDa钙非依赖性磷脂酶A2
BE0001081	非活性磷脂酶C样蛋白1
BE0004775	平衡核苷转运体4
BE0000464	神经降压素受体2型
BE0001159	P-选择素
BE0001203	成纤维细胞生长因子受体4
BE0005820	成纤维细胞生长因子19
BE0001121	肝细胞生长因子
BE0008716	电压依赖性T型钙通道
BE0004428	细胞色素b
BE0000612	二氢乳清酸脱氢酶（醌），线粒体
BE0009811	甲状腺激素受体
BE0009812	过氧化物酶体增殖物激活受体γ-辅激活因子1-β
BE0003959	HTH型转录调节因子QacR
BE0004319	TetR家族转录抑制因子LfrR
BE0009940	酪氨酸蛋白磷酸酶非受体12型
BE0009941	酪氨酸蛋白磷酸酶非受体6型
BE0008669	三磷酸腺苷（ATP）
BE0009961	V-ATP酶亚单位
BE0000979	利钠肽B
BE0001095	缝隙连接α-1蛋白
BE0001074	E-选择素
BE0002374	缺氧诱导因子1-α
BE0005187	内向整流钾通道4
BE0009710	内向整流钾通道2
BE0004782	溶质载体家族22成员12
BE0001868	青霉素结合蛋白2X
BE0003395	青霉素结合蛋白1A
BE0002392	青霉素结合蛋白2x
BE0000142	青霉素结合蛋白2B
BE0001200	视紫红质
BE0001080	鸟嘌呤核苷酸结合蛋白G（I）\/G（S）\/G（O）亚单位γ-2
BE0000948	神经肽S受体
BE0009972	质膜钙转运ATP酶
BE0001979	硫氧还蛋白还原酶1，细胞质
BE0000923	丝裂原活化蛋白激酶1
BE0009012	细胞周期蛋白依赖性激酶抑制剂1
BE0002365	组蛋白脱乙酰酶1
BE0005808	蛋白质PML
BE0000951	雌激素硫转移酶
BE0000736	转运体蛋白
BE0010002	钙转运ATP酶
BE0009850	50S核糖体蛋白L1
BE0005295	Ryanodine受体2
BE0001100	微管相关蛋白2
BE0001169	微管相关蛋白1A
BE0001680	白三烯A-4水解酶
BE0000186	DNA定向RNA聚合酶亚单位β'
BE0000993	突触囊泡糖蛋白2A
BE0004003	Stathmin-4
BE0000759	血栓素A2受体
BE0001004	溶质载体有机阴离子转运体家族成员1B1
BE0003659	溶质载体有机阴离子转运体家族成员1B3
BE0001207	过氧化氢酶
BE0001694	血浆蛋白酶-2
BE0004957	5-羟色胺受体2
BE0003475	微管相关蛋白4
BE0000074	核受体亚家族0 B组成员1
BE0009966	线粒体钾通道
BE0001042	溶质载体有机阴离子转运体家族成员2B1
BE0000672	钾电压门控通道亚家族KQT成员1
BE0000987	硫嘌呤S-甲基转移酶
BE0000944	γ干扰素
BE0000838	原癌基因酪氨酸蛋白激酶
BE0000841	肾上腺素A型受体2
BE0000842	酪氨酸蛋白激酶
BE0000840	酪氨酸蛋白激酶是的
BE0000891	信号转导子和转录激活子5B
BE0000839	酪氨酸蛋白激酶Fyn
BE0001284	酪氨酸蛋白激酶
BE0008998	核受体亚家族4 A组成员3
BE0001356	酪氨酸蛋白激酶
BE0005587	肾上腺素A型受体5
BE0002453	肾上腺素B型受体4
BE0005539	酪氨酸蛋白激酶Fgr
BE0004742	酪氨酸蛋白激酶
BE0003775	热休克同源71 kDa蛋白
BE0004315	酪氨酸蛋白激酶
BE0005595	丝裂原活化蛋白激酶
BE0001019	丝裂原活化蛋白激酶14
BE0000843	50S核糖体蛋白L3
BE0010009	DNA（胞嘧啶-5）-甲基转移酶3B
BE0004819	硫酸皮肤素
BE0004820	硫酸乙酰肝素
BE0000856	紫苏苷-3
BE0004494	阳离子依赖性甘露糖-6-磷酸受体
BE0004831	糖原
BE0003623	阳离子非依赖性甘露糖-6-磷酸受体
BE0000859	受体活性修饰蛋白1
BE0000860	受体活性修饰蛋白2
BE0000861	受体活性修饰蛋白3
BE0000847	T淋巴细胞活化抗原CD80
BE0000848	促肾上腺皮质激素受体
BE0001026	皮质醇
BE0005551	转录因子p65
BE0003720	50S核糖体蛋白L4
BE0003723	青霉素结合蛋白1C
BE0000930	血清对氧磷酶\/芳基酯酶1
BE0003486	白细胞介素-15
BE0004430	D-丙氨酰-D-丙氨酸内肽酶
BE0004816	钾
BE0003426	2型血管紧张素Ⅱ受体
BE0001065	糖原合成酶激酶-3β
BE0001152	肌醇单磷酸酶1
BE0000983	肌醇单磷酸酶2
BE0002464	50S核糖体蛋白L22
BE0001091	激肽释放酶-1
BE0004593	血影蛋白β链，非红细胞1
BE0000904	卡尔帕他汀
BE0000899	软骨寡聚基质蛋白
BE0004314	胎盘型碱性磷酸酶
BE0008955	蛋白S100-A8
BE0008993	蛋白S100-A9
BE0001140	铜蓝蛋白
BE0009000	骨形态发生蛋白4
BE0005813	基质Gla蛋白
BE0005814	原钙粘蛋白-19
BE0005812	程序性细胞死亡蛋白6
BE0002468	电压依赖性阴离子选择通道蛋白1
BE0002469	电压依赖性阴离子选择通道蛋白2
BE0002470	电压依赖性阴离子选择通道蛋白3
BE0004849	氢离子
BE0004905	ATP敏感性钾离子通道
BE0000918	白细胞介素-6
BE0001094	β神经生长因子
BE0001208	白细胞介素-5
BE0000908	嗜酸性阳离子蛋白
BE0001034	粘蛋白-2
BE0004647	青霉素结合蛋白3
BE0004648	青霉素结合蛋白2
BE0003676	30S核糖体蛋白S10
BE0004811	镁离子
BE0001223	cGMP抑制3'，5'-环磷酸二酯酶B
BE0009963	cAMP特异性3'，5'-环磷酸二酯酶4（PDE4）
BE0004908	cAMP特异性3'，5'-环磷酸二酯酶3
BE0000443	25-羟基维生素D-1α羟化酶，线粒体
BE0009708	A组神经纤维
BE0004841	γ-羟丁酸（GHB）受体
BE0001063	E3泛素蛋白连接酶TRIM13
BE0001638	6-脱氧叶黄素B羟化酶
BE0001607	类固醇δ异构酶
BE0003598	γ-氨基丁酸受体亚单位rho-2
BE0003619	γ-氨基丁酸受体亚单位rho-3
BE0008725	转铁蛋白受体蛋白1
BE0001608	组蛋白脱乙酰酶8
BE0008990	α血红蛋白稳定蛋白
BE0008991	线粒体兄弟蛋白
BE0009013	皮瓣内切酶1
BE0003175	内切酶8-like 1
BE0005817	内切酶8-like 2
BE0001683	果糖二磷酸醛缩酶A
BE0004528	伸长因子1-α1
BE0005807	α烯醇化酶
BE0003106	核苷二磷酸激酶A
BE0002467	蛋白质二硫键异构酶
BE0008980	蛋白质二硫键异构酶A3
BE0005844	过氧化物酶氧还蛋白-1
BE0004590	磷酸丝氨酸磷酸酶
BE0003844	磷酸丙糖异构酶
BE0004542	延伸因子Tu，线粒体
BE0004779	金属硫蛋白-2
BE0005815	超氧化物歧化酶的铜伴侣
BE0003523	组蛋白脱乙酰酶4
BE0005833	Semenogelin-1
BE0005834	凋亡调节蛋白Siva
BE0001003	E3泛素蛋白连接酶Mdm2
BE0003491	胰岛素
BE0005835	乌特罗芬
BE0008994	肿瘤蛋白p73
BE0005770	金属硫蛋白-3
BE0005538	DAN domain家庭成员5
BE0009047	糖蛋白α-1B
BE0001060	血管紧张素原
BE0009048	α-2-HS-糖蛋白
BE0001213	血清淀粉样蛋白P组分
BE0003449	载脂蛋白A-I
BE0000922	载脂蛋白A-II
BE0009049	载脂蛋白A-IV
BE0005852	载脂蛋白B受体
BE0001119	载脂蛋白E
BE0009069	载脂蛋白L1
BE0001529	补码C1s子成分
BE0009050	C4b结合蛋白α链
BE0009070	C4b结合蛋白β链
BE0009071	赖氨酸-63特异性双奎酶BRCC36
BE0009072	补体成分C8α链
BE0009051	补体成分C8β链
BE0003266	补体成分C8伽马链
BE0001701	补体因子B
BE0009053	补体因子H
BE0009054	补体因子I
BE0009055	丛生蛋白
BE0003503	羧肽酶N催化链
BE0003504	羧肽酶N亚基2
BE0009073	皮霉素
BE0009074	地莫帕金
BE0004672	凝血因子XII
BE0009075	凝血因子XIII B链
BE0009076	菲可林-3
BE0001180	纤维连接蛋白
BE0004161	明胶
BE0009057	结合珠蛋白相关蛋白
BE0009077	霍内林
BE0009058	胰岛素样生长因子结合蛋白复合物抗酸亚基
BE0005097	Igα-1链C区
BE0005098	Ig-mu链C区
BE0009078	免疫球蛋白κ变量1-17
BE0000616	Ig kappa链V-III区GOL
BE0009079	免疫球蛋白λ变量3-21
BE0009080	α-胰蛋白酶抑制剂重链H1
BE0009060	α-胰蛋白酶抑制剂重链H2
BE0009081	α-胰蛋白酶抑制剂重链H3
BE0009082	α-胰蛋白酶抑制剂重链H4
BE0009083	免疫球蛋白J链
BE0009084	连接板珠蛋白
BE0002440	血浆激肽释放酶
BE0001017	激肽原-1
BE0009061	角蛋白，II型细胞骨架1
BE0009062	角蛋白，I型细胞骨架10
BE0009085	角蛋白，I型细胞骨架14
BE0009086	角蛋白，I型细胞骨架16
BE0009063	角蛋白，II型细胞骨架2表皮
BE0009087	角蛋白，II型细胞骨架5
BE0009088	角蛋白，II型细胞骨架6A
BE0009064	角蛋白，I型细胞骨架9
BE0004613	N-乙酰壁酰-L-丙氨酸酰胺酶
BE0009089	妊娠区蛋白
BE0005533	硒蛋白P
BE0000952	α-1-抗胰蛋白酶
BE0009090	α-1-抗胸腺素
BE0009067	卡利斯塔廷
BE0000209	皮质类固醇结合球蛋白
BE0000337	转甲状腺素
BE0009092	淀粉样蛋白1
BE0009093	淀粉样蛋白2
BE0001148	二肽酶1
BE0008485	青霉素结合蛋白4
BE0001568	β-内酰胺酶
BE0009681	β-内酰胺酶俄亥俄-1
BE0002015	β-内酰胺酶SHV-1
BE0000997	心钠素受体2
BE0001224	尿苷磷酸化酶
BE0001084	中性粒细胞明胶酶相关脂质沉积蛋白
BE0002815	Igγ-1链C区
BE0002488	次黄嘌呤鸟嘌呤磷酸核糖转移酶
BE0002489	邻氨基苯甲酸磷酸核糖转移酶
BE0001533	乳清酸磷酸核糖转移酶
BE0004582	尿苷胞苷激酶样1
BE0001219	内切葡聚糖酶5A
BE0001222	伯胺氧化酶
BE0001217	天冬氨酸转氨酶
BE0001335	内切葡聚糖酶F
BE0002490	可能的纤维素酶CelA1（内切葡聚糖酶）（内切-1,4-β-葡聚糖酶）（纤维素酶CMFI）（羧甲基纤维素酶）
BE0001218	胸苷酸激酶
BE0001221	胸苷酸激酶
BE0002491	PCZA361。16
BE0002492	DNA聚合酶III亚单位ε
BE0002493	葡萄糖-1-磷酸胸苷酰基转移酶
BE0001501	胸苷酸合酶
BE0001950	DNA拓扑异构酶1
BE0003728	核受体辅激活因子1
BE0001111	细胞色素P450 1B1
BE0002494	醯化胺基酸消旋酶
BE0001215	m7GpppX二磷酸酶
BE0000957	真核翻译起始因子4E
BE0001226	主要NAD（P）H-黄素氧化还原酶
BE0002495	4-氯苯甲酰辅酶A脱卤酶
BE0002496	4-羟基苯甲酰辅酶A硫代酯酶
BE0001250	3-酮基-L-古龙酸-6-磷酸脱羧酶UlaD
BE0001228	ATP磷酸核糖转移酶
BE0003531	糜蛋白酶原B
BE0001739	胰蛋白酶-1
BE0002497	肌醇六磷酸磷酸磷酸水解酶
BE0004526	卵泡抑素
BE0002498	ActVA 6蛋白
BE0001238	链菌素A乙酰转移酶
BE0001266	羧酸酯酶
BE0001232	2,3-二羟基苯甲酸-AMP连接酶
BE0001258	UDP-N-乙酰壁氨酰丙氨酸-D-谷氨酸连接酶
BE0001247	UDP-N-乙酰壁酸盐——L-丙氨酸连接酶
BE0000605	线粒体异丁酰辅酶A脱氢酶
BE0002499	季戊四醇四硝酸还原酶
BE0001267	苹果酸脱氢酶
BE0002001	延胡索酸还原酶黄素蛋白亚基
BE0004531	富马酸乙酰化酶
BE0004462	磷酸甘油酸变位酶2
BE0002500	肽酰胺酶
BE0002148	脯氨酰内肽酶
