C0000786	['流产（自然流产）']
C0867342	['眼眶假体植入术的机械并发症']
C0867343	['人工植皮移位术']
C0867344	['人工植皮置换术']
C0867345	['人工皮肤移植失败']
C0867346	['人工植皮不粘连']
C0867347	['人工皮片植入不良']
C0867348	['人工植皮剪']
C0867349	['非吸收性手术材料导致的机械并发症']
C0867350	['人工胆管植入术后机械并发症']
C0867351	['颏部假体植入引起的机械并发症']
C0867352	['义眼座植入术后的机械并发症']
C0867378	['腹膜透析导管出口感染或炎症']
C0867382	['内部生物修复装置、植入物和移植物的其他并发症']
C0867383	['内部合成假肢装置、植入物和移植物的其他并发症']
C0867387	['器官移植失败或排斥']
C0867391	['肺炎由程序引起的']
C0867392	['肠吻合术和搭桥术的并发症未在其他地方分类，但涉及泌尿道的并发症除外']
C0867393	['内吻合术和搭桥术的并发症未在其他地方分类，但涉及泌尿道的并发症除外']
C0867394	['由于手术引起的肾小管坏死']
C0867405	['输注、灌注或输血后任何部位的空气栓塞']
C0867406	['输注或输注NOS时对血型不合的反应']
C0868752	['肌肉消瘦和废用性萎缩，未在ICD9CM中分类']
C0868753	['肌萎缩和废用性萎缩，MDR240中的NEC']
C0868755	['ICD9CM中未分类的其他分娩并发症']
C0868756	['产程和分娩的其他并发症，MDR中的NEC']
C0868770	['影响特定身体系统的并发症，MDR24_0中的NEC']
C0868855	['ICD9CM中的其他和未指明的产褥期并发症、NEC']
C0868857	['MDR中的产褥期、NEC的其他和未指明的并发症']
C0868890	['ICD9CM_2014中的电解质和液体紊乱NEC']
C0868891	['MDR24_0中的电解质和液体紊乱NEC']
C0868913	['月经过多、频繁和不规律']
C0868937	['并发症、后遗症']
C0869047	['下丘脑功能障碍，未在ICD10CM中分类']
C0869048	['其他未分类的电解质和液体平衡紊乱']
C0869059	['神经源性肠道，未在ICD10CM中分类']
C0869066	['滑膜肥大，未在ICD10CM中分类']
C0869072	['ICD10AM_2000严重宫颈发育不良，NEC']
C0869073	['ICD10AM_2000严重阴道发育不良，NEC']
C0869074	['ICD10AM_2000中的严重外阴发育不良，NEC']
C0869086	['出血']
C0869099	['ICD10内假肢装置、植入物和移植物的其他并发症，NEC']
C0869107	['产钳分娩对胎儿和新生儿的影响']
C0869115	['其他未分类的免疫接种后并发症']
C0869265	['ICD9CM中的其他妊娠并发症、NEC']
C0869266	['妊娠的其他并发症，MDR中的NEC']
C0869272	['其他未分类的外科和医疗护理并发症（T80-T88）']
C0869285	['ICD10CM中未分类的其他手术并发症']
C0869287	['手术的其他并发症，MDR中的NEC']
C0869288	['SNOMEDCT的其他手术并发症NEC']
C0869442	['ICD9CM_2014中NEC程序的未指明并发症']
C0869444	['MDR24_0中的NEC未指明手术并发症']
C0876992	['围产期出血']
C0876998	['心脏血栓形成']
C0877005	['注射部位缺血']
C0877007	['腹部水肿']
C0877042	['移植物丢失']
C0877077	['心肌出血']
C0877087	['甲床出血']
C0877094	['应用部位出血']
C0877095	['应用部位擦伤']
C0877096	['应用部位感觉异常']
C0877097	['应用部位起泡（紊乱）']
C0877126	['应用部位炎症（紊乱）']
C0877157	['胰腺移植排斥反应（诊断）']
C0877158	['嗜酸性脓疱病']
C0877172	['硬膜外血肿']
C0877177	['淋巴母细胞病']
C0877223	['肠造口部位出血（诊断）']
C0877224	['妊娠滋养细胞脱离']
C0877248	['不良事件（AE）']
C0877269	['肝水肿']
C0877308	['新生儿心动过速（诊断）']
C0877310	['新生儿周围水肿']
C0877321	['血管旁路功能障碍']
C0877326	['骨梗塞']
C0877334	['肢体动脉狭窄']
C0877337	['舌头流血']
C0877382	['移植肾功能延迟']
C0877391	['固定性色素性红斑']
C0877419	['自动膀胱']
C0877458	['眼血栓形成']
C0877459	['移植肾动脉狭窄']
C0877513	['脊髓动脉栓塞']
C0877516	['Adamkiewicz动脉栓塞']
C0877560	['肾水肿']
C0877584	['肿瘤出血']
C0877587	['脑桥梗死']
C0877588	['新生儿缺氧性脑损伤']
C0877602	['腹主动脉急性血栓形成']
C0877608	['腹主动脉瘤出血']
C0877612	['下肢动脉狭窄']
C0877623	['股深静脉血栓形成']
C0877624	['近端深静脉血栓形成']
C0877657	['未成熟喉']
C0877678	['肝移植损失']
C0877687	['远端深静脉血栓形成']
C0877690	['肾移植损失']
C0877696	['腹股沟深静脉血栓形成']
C0877699	['MDR24_0的NEC手术伤口中断']
C0877738	['外周血管并发症，2014年ICD9CM\\U中的NEC']
C0877739	['外周血管并发症，MDR24_0的NEC']
C0877764	['作为医疗护理并发症的空气栓塞，MDR240的NEC']
C0877765	['医疗护理中的其他血管并发症，耐多药耐药性中的NEC']
C0877766	['因医疗护理、耐多药NEC引起的其他感染']
C0877767	['其他血清反应，耐多药耐药中的NEC']
C0877769	['心脏并发症，MDR24_0中的NEC']
C0877770	['尿路并发症，MDR240中的NEC']
C0877771	['血管神经性水肿，2014年ICD9CM_中的NEC']
C0877772	['血管神经性水肿，MDR24_0中的NEC']
C0877773	['胃肠道并发症，MDR70中的NEC']
C0877774	['呼吸系统并发症，MDR24_0中的NEC']
C0877776	['麻醉引起的休克，未列入MDR的其他分类']
C0877792	['昼夜节律睡眠障碍（诊断）']
C0877806	['抗癫痫药物和抗帕金森病药物治疗使用中的不良反应']
C0878575	['脱髓鞘']
C0878577	['青春期前阴道出血']
C0878751	['晚孕']
C0878779	['正中杆增生']
C0879626	['不利影响']
C0917798	['脑缺血']
C0917808	['植物人状态']
C0919560	['动脉支架阻塞']
C0919569	['麻醉的气道并发症']
C0919577	['出血性肿瘤坏死']
C0919590	['注射部位蜂窝织炎（疾病）']
C0919591	['泌尿生殖道出血']
C0919592	['新生儿体温过低']
C0919600	['应用部位过敏']
C0919605	['阵发性心律失常']
C0919606	['心动过缓']
C0919633	['麻醉并发症血管NOS']
C0919661	['交替']
C0919666	['静脉穿刺部位出血']
C0919672	['新生儿多器官衰竭']
C0919690	['皮肤溃疡出血']
C0919691	['吻合口瘘（诊断）']
C0919697	['水泥栓塞']
C0919714	['视网膜血管血栓形成']
C0919728	['麻醉期间的意外意识']
C0919822	['术后血栓形成']
C0919871	['特发性豆状核粘膜皮肤色素沉着']
C0919874	['术后出血']
C0919882	['切口部位出血']
C0919883	['穿刺部位出血']
C0919884	['动脉再狭窄']
C0919910	['麻醉后过早恢复']
C0919914	['术后脓肿（诊断）']
C0919933	['埃尔什尼格的尸体']
C0919935	['肾上腺脓肿']
C0919986	['水肿灌注部位']
C0919991	['应用现场冷感']
C0920024	['枕部淋巴结病（疾病）']
C0920038	['正中神经麻痹']
C0920044	['机械交替']
C0920064	['同种异体免疫血小板输注难治性（疾病）']
C0920103	['血液毒性']
C0920165	['血管通路并发症（诊断）']
C0920166	['导管部位出血']
C0920175	['过敏性血管水肿']
C0920178	['冠状动脉支架阻塞']
C0920179	['输尿管支架阻塞']
C0920211	['影响胎儿的父亲药物']
C0920393	['醛固酮高血压']
C0920394	['血管紧张素高血压']
C0920474	['药物机制']
C0920563	['胰岛素敏感性']
C0920569	['肝缺血']
C0920645	['肾缺氧']
C0920710	['肝脏缺氧']
C0920711	['肺缺血']
C0920747	['肾素高血压']
C0920760	['胚胎\\/胎儿死亡']
C0920779	['癌症侵袭性']
C0936249	['接种湿疹（诊断）']
C0940282	['胃息肉出血']
C0940981	['既往胆道非手术干预的并发症']
C0941180	['十二指肠糜烂出血']
C0947788	['频率和节律紊乱']
C0947878	['传染病传播']
C0947897	['钾失衡']
C0947898	['钠失衡']
C0947964	['生殖器出血']
C0947965	['妊娠合并母体疾病']
C0948011	['子宫颈出血']
C0948016	['软组织出血']
C0948031	['原发性移植物功能障碍']
C0948052	['化学过敏']
C0948059	['出血性视网膜病']
C0948108	['房室性早搏']
C0948162	['骨髓水肿']
C0948163	['脑白质形态异常']
C0948191	['二次传输']
C0948233	['发热性感染']
C0948274	['功能障碍；空肠造口术']
C0948309	['假性高钾血症']
C0948364	['假体附近骨质溶解（疾病）']
C0948425	['大肠出血']
C0948492	['新生儿水肿']
C0948494	['人工流产出血']
C0948495	['人工流产感染']
C0948496	['堕胎晚了']
C0948497	['新生儿麻醉并发症']
C0948591	['少饮']
C0948642	['绝对性快速性心律失常']
C0948644	['永久性移植物']
C0948645	['移植肾功能障碍']
C0948646	['肝移植功能障碍']
C0948647	['移植肝功能延迟']
C0948652	['药物性头痛']
C0948686	['震前']
C0948713	['皮质骨侵蚀']
C0948715	['输液相关反应']
C0948725	['一次传输']
C0948782	['子宫痉挛']
C0948809	['导管（其他）；泄漏量']
C0948814	['导管部位水肿']
C0948816	['导管部位血肿']
C0948828	['微积分附睾']
C0948833	['左心室隆起']
C0948887	['眉间皱眉线']
C0948915	['早早堕胎']
C0948916	['胎儿麻醉并发症']
C0948973	['肛周出血（发现）']
C0948975	['联合捕获（查找）']
C0948978	['导管部位蜂窝织炎']
C0948979	['导管部位排出']
C0949015	['氯离子失衡']
C0995195	['缺氧脑']
C1095923	['发热性骨髓再生障碍']
C1096045	['人类免疫缺陷病毒传播']
C1096049	['输液部位肿胀（紊乱）']
C1096092	['喉假体使用者']
C1096093	['假肢使用者']
C1096094	['下颌假体使用者']
C1096095	['桁架用户']
C1096102	['尿路辅助设备用户']
C1096103	['心脏辅助设备用户']
C1096176	['线粒体损伤']
C1096187	['植入部位出血']
C1096198	['濒死节律']
C1096210	['垂体促性腺激素功能亢进']
C1096225	['血管穿刺部位出血']
C1096243	['中枢感染线']
C1096249	['主动脉钙化']
C1096343	['输液部位不良事件']
C1096389	['动静脉瘘部位出血']
C1096391	['动静脉移植部位出血']
C1096401	['黄疸（新生儿除外）']
C1096404	['发热性再生障碍']
C1096406	['脑室腹腔分流术故障（紊乱）']
C1096431	['起搏器引起的心律失常']
C1096437	['双性恋人类免疫缺陷病毒传播']
C1096438	['异性性传播人类免疫缺陷病毒']
C1096439	['人类免疫缺陷病毒垂直传播']
C1096461	['人工心脏设备用户']
C1096462	['颌面假体使用者']
C1096561	['钙化；心肌的']
C1096609	['静脉穿刺部位血肿']
C1096610	['角膜晶体沉积']
C1096619	['颌下腺结节']
C1096631	['髋部骨折病理']
C1096642	['过敏植物']
C1096647	['肺血肿（疾病）']
C1096652	['继发于器官移植的免疫缺陷']
C1096688	['动静脉瘘部位血肿']
C1096689	['动静脉移植部位血肿']
C1096708	['静脉穿刺部位炎症']
C1096720	['同性恋人类免疫缺陷病毒传播']
C1096734	['过敏霉菌']
C1110554	['心血管闭塞']
C1112143	['难题；输血']
C1112146	['管理现场反应NEC']
C1112156	['注射部位运动障碍']
C1112168	['导管部位坏死']
C1112251	['并发症喂食管']
C1112276	['胸部手术后并发症（诊断）']
C1112318	['源自围产期胎粪染色的胎儿状况']
C1112343	['髂静脉阻塞']
C1112353	['医疗器械的并发症']
C1112390	['术后心脏并发症（诊断）']
C1112392	['肺动脉瓣钙化（疾病）']
C1112413	['外周动脉瘤']
C1112470	['输液部位炎症']
C1112480	['纵隔出血（疾病）']
C1112483	['吻合口出血']
C1112488	['新生儿心动过缓']
C1112498	['甲状旁腺脓肿']
C1112517	['脓肿；结核的']
C1112522	['支气管水肿']
C1112632	['交叉反应性药物过敏']
C1112656	['睫状体出血']
C1112657	['出血艾里斯']
C1112658	['视盘梗死']
C1112667	['眼球球后出血']
C1112694	['非黄疸型肝功能障碍']
C1112718	['影响胎儿的母体状况（诊断）']
C1112728	['肾静脉阻塞']
C1112790	['膀胱血块']
C1112793	['血管植入感染']
C1135206	['感觉的变化']
C1135207	['共济失调是脑血管疾病的晚期效应']
C1135231	['无宫内妊娠的腹部妊娠（诊断）']
C1135232	['腹部妊娠合并宫内妊娠（诊断）']
C1135233	['无宫内妊娠的输卵管妊娠（诊断）']
C1135234	['输卵管妊娠合并宫内妊娠（诊断）']
C1135235	['无宫内妊娠的卵巢妊娠（诊断）']
C1135236	['宫内和卵巢联合妊娠（疾病）']
C1135239	['无宫内妊娠的异位妊娠']
C1135240	['不明原因异位妊娠合并宫内妊娠']
C1135327	['恐怖主义造成的伤害的后期效应']
C1136082	['胚胎解体']
C1140716	['缺氧性脑损伤']
C1140999	['收缩（发现）']
C1141861	['围手术期并发症']
C1141921	['粘附；共同的']
C1141928	['吻合口并发症']
C1141930	['术后并发症']
C1141940	['肠移植排斥反应']
C1141993	['尿道肉阜出血']
C1142004	['心肌脓肿']
C1142069	['脊柱韧带骨化']
C1142071	['母乳变色']
C1142113	['高血白蛋白水平']
C1142160	['应用部位变色']
C1142164	['冠状动脉搭桥血栓形成']
C1142165	['霉菌性心肌炎']
C1142167	['造血干细胞收获失败']
C1142172	['切口部位并发症']
C1142173	['肿瘤肿胀']
C1142174	['分流狭窄']
C1142175	['分流血栓形成']
C1142189	['无症状室性早搏']
C1142250	['感染性血栓形成']
C1142259	['膝关节粘连']
C1142262	['肠水肿']
C1142263	['吻合口穿孔']
C1142292	['产前条件或并发症导致的胎儿肾盂发育不全（诊断）']
C1142338	['膈钙化']
C1142380	['前纵韧带骨化']
C1142381	['肢端水肿']
C1142382	['女性单侧乳房增大']
C1142389	['亚黄疸']
C1142440	['回肠造口术并发症']
C1142441	['乳头造口并发症']
C1142450	['胆囊出血']
C1142462	['骨髓采集失败']
C1142463	['造血干细胞移植失败']
C1142464	['胃肠道缺血']
C1142470	['缝合相关并发症']
C1142471	['中央并发症线']
C1142472	['移植物扭转']
C1142474	['转移性肿瘤肿胀']
C1142479	['疫苗相关的不适']
C1142480	['疫苗接种部位反应']
C1142486	['回肠造口术不活跃']
C1142487	['肠造口梗阻（诊断）']
C1142488	['肠造口漏（诊断）']
C1142492	['心肌梗死后心绞痛']
C1142506	['肝胆功能不全']
C1142511	['移植物脱层']
C1142527	['黄韧带骨化']
C1142547	['带状疱疹']
C1142549	['移植物肥大']
C1144812	['使手术复杂化的出血和血肿，未在其他地方分类']
C1148391	['新生儿并发症']
C1154494	['病毒对宿主细胞凋亡的负调控']
C1154497	['病毒对宿主细胞蛋白质生物合成的负调控']
C1154499	['病毒对宿主细胞因子产生的负调控']
C1154500	['病毒对细胞内干扰素活性的负调节']
C1154501	['病毒对宿主MHC I类分子呈现的抑制作用']
C1154504	['病毒对细胞周期阻滞的负调控']
C1154505	['病毒对宿主细胞mRNA翻译的修饰']
C1155247	['抗菌体液反应的减弱']
C1155266	['炎症过程']
C1156244	['侵入性生长']
C1167661	['脑血管收缩']
C1167678	['乳头肌出血']
C1167684	['肾上腺血肿']
C1167685	['输液部位瘀伤']
C1167870	['移植功能障碍']
C1167945	['输液部位皮疹']
C1167947	['心脏起搏器并发症']
C1168151	['胆汁淤积症']
C1168152	['绝对性心律失常']
C1168153	['动脉钙化']
C1168158	['浸润性红斑']
C1168175	['切口部位血肿']
C1168181	['透析低血压']
C1168213	['切口部位瘀斑']
C1168223	['切口部位瘙痒']
C1168228	['石蕊']
C1168241	['眼肌无力']
C1168264	['移植部位出血']
C1168265	['供区出血']
C1168281	['移植物疼痛']
C1168321	['起搏器不适当的放电']
C1253936	['关节积液']
C1260389	['血液透析导致肉碱缺乏']
C1260390	['丙戊酸治疗导致肉碱缺乏']
C1260391	['医源性肉碱缺乏症（诊断）']
C1260413	['血液透析低血压（诊断）']
C1260414	['其他医源性低血压']
C1260438	['脐带延迟分离']
C1260897	['锂引起的高钙血症']
C1260909	['作为护理（诊断）并发症的心肺衰竭']
C1260958	['血清纤维蛋白性炎症（形态学异常）']
C1260961	['半规脂萎缩']
C1261281	['肾移植并发症']
C1261282	['移植肝并发症（疾病）']
C1261287	['管道或通道的异常狭窄']
C1261335	['Prausnitz-Kustner反应']
C1261392	['过敏性咬伤昆虫反应']
C1261964	['皮肤肿瘤出血']
C1262013	['回忆现象']
C1262018	['移植失败']
C1262023	['稀释性凝血病']
C1262109	['程序性低血压']
C1262114	['生殖器脓肿']
C1262123	['腹腔干血栓形成']
C1262141	['睡眠质量差']
C1262166	['对寄生虫过敏']
C1262186	['肠系膜出血']
C1262235	['结节性甲状腺肿出血']
C1262246	['肺淤滞']
C1262301	['肿瘤增大']
C1262308	['低周转率骨病']
C1262474	['囊性纤维化中的胎粪回肠']
C1263727	['锌代谢紊乱']
C1263757	['受孕产物紊乱（诊断）']
C1263814	['流产后盆腔腹膜炎（诊断）']
C1263815	['流产后输卵管炎（诊断）']
C1263820	['影响管理的分娩和\\/或母亲状况（紊乱）']
C1263822	['先天性或后天性阴道异常影响妊娠（诊断）']
C1263823	['先天性或后天性外阴异常影响妊娠（诊断）']
C1263825	['影响母亲管理的胎盘状况（疾病）']
C1263826	['骨盆难产和\\/或子宫紊乱（紊乱）']
C1263829	['产后静脉血栓形成（诊断）']
C1263834	['胎儿和\\/或新生儿缺氧、窒息和\\/或其他呼吸状况（疾病）']
C1263848	['遗传性神经系统代谢紊乱（紊乱）']
C1263850	['化脓性颅内脓肿（疾病）的晚期影响']
C1263864	['失明和\\/或视力损害程度（障碍）']
C1263983	['轻度骨髓增生（疾病）']
C1263984	['中度骨髓增生（疾病）']
C1263985	['严重骨髓增生（疾病）']
C1263986	['复发性骨髓增生（疾病）']
C1263987	['骨髓粒细胞增生（疾病）']
C1264020	['免疫治疗的效果（发现）']
C1264021	['免疫抑制剂治疗的效果（发现）']
C1264049	['浅表淋巴结病（疾病）']
C1264050	['深部淋巴结病（疾病）']
C1264051	['耳后淋巴结病（疾病）']
C1264053	['耳下淋巴结病（疾病）']
C1264054	['腮腺淋巴结病（疾病）']
C1264055	['面部淋巴结病（疾病）']
C1264056	['下颌下淋巴结肿大（体格检查）']
C1264057	['下颌淋巴结肿大']
C1264058	['颌下腺淋巴结病（紊乱）']
C1264059	['颈侧淋巴结病（疾病）']
C1264060	['颈静脉淋巴结病（疾病）']
C1264061	['颈前淋巴结病（疾病）']
C1264062	['咽后淋巴结肿大']
C1264063	['喉前淋巴结病（疾病）']
C1264064	['德尔菲淋巴结病（疾病）']
C1264065	['气管前淋巴结病（疾病）']
C1264066	['锁骨下淋巴结病（疾病）']
C1264067	['斜角淋巴结病（疾病）']
C1264068	['椎前淋巴结病（疾病）']
C1264069	['心包前淋巴结病（疾病）']
C1264070	['心包外侧淋巴结病（疾病）']
C1264071	['肺淋巴结病（疾病）']
C1264073	['气管支气管淋巴结病（疾病）']
C1264074	['上气管支气管淋巴结病（疾病）']
C1264075	['下气管支气管淋巴结病（疾病）']
C1264076	['气管淋巴结病（疾病）']
C1264077	['胸骨旁淋巴结病（疾病）']
C1264078	['乳腺上淋巴结病（疾病）']
C1264079	['前纵隔淋巴结病（疾病）']
C1264080	['后纵隔淋巴结病（疾病）']
C1264081	['食管淋巴结病（疾病）']
C1264082	['肋间淋巴结病（疾病）']
C1264083	['膈淋巴结病（紊乱）']
C1264084	['无名淋巴结病（疾病）']
C1264085	['肠道相关淋巴结病（疾病）']
C1264086	['肠系膜上淋巴结病（疾病）']
C1264087	['肠旁淋巴结病（疾病）']
C1264088	['肝淋巴结病（疾病）']
C1264089	['囊性淋巴结病（疾病）']
C1264090	['网膜孔淋巴结病（疾病）']
C1264091	['左胃淋巴结病（疾病）']
C1264092	['胃小曲度淋巴结病（疾病）']
C1264093	['胃大弯淋巴结病（疾病）']
C1264094	['胃贲门淋巴结环淋巴结病（紊乱）']
C1264095	['胃网膜淋巴结病（疾病）']
C1264096	['幽门淋巴结病（疾病）']
C1264097	['幽门上淋巴结病（疾病）']
C1264098	['幽门下淋巴结病（疾病）']
C1264099	['幽门后淋巴结病（疾病）']
C1264100	['胰脾淋巴结病（疾病）']
C1264101	['脾淋巴结病（疾病）']
C1264102	['胰腺淋巴结病（疾病）']
C1264103	['胰十二指肠淋巴结病（疾病）']
C1264104	['下胰十二指肠淋巴结病（疾病）']
C1264105	['上胰十二指肠淋巴结病（疾病）']
C1264106	['胰腺下淋巴结病（疾病）']
C1264107	['上胰腺淋巴结病（疾病）']
C1264108	['主动脉淋巴结病（疾病）']
C1264109	['肾门淋巴结病（疾病）']
C1264110	['腰椎淋巴结病（疾病）']
C1264111	['肠道淋巴结病（疾病）']
C1264112	['肠系膜下淋巴结病（疾病）']
C1264113	['乙状结肠淋巴结病（疾病）']
C1264114	['直肠上淋巴结病（疾病）']
C1264115	['回结肠淋巴结病（疾病）']
C1264116	['右绞痛淋巴结病（疾病）']
C1264117	['结肠中部淋巴结病（疾病）']
C1264118	['结肠炎（左淋巴结病）']
C1264119	['结肠淋巴结病（疾病）']
C1264120	['共同管淋巴结病（疾病）']
C1264121	['粪前淋巴结病']
C1264122	['盲肠后淋巴结病']
C1264123	['阑尾淋巴结病（疾病）']
C1264124	['盆腔淋巴结病（疾病）']
C1264125	['髂淋巴结肿大']
C1264126	['内侧髂总淋巴结病（疾病）']
C1264127	['中间髂总淋巴结病（疾病）']
C1264128	['侧髂总淋巴结病（疾病）']
C1264129	['主动脉下髂总淋巴结病（疾病）']
C1264130	['海角淋巴结病（疾病）']
C1264131	['髂下淋巴结病（疾病）']
C1264132	['髂外淋巴结病（疾病）']
C1264133	['髂内-外淋巴结病（疾病）']
C1264134	['中间性髂外淋巴结病（疾病）']
C1264135	['外侧髂外淋巴结病（疾病）']
C1264136	['内侧腔隙性淋巴结病（疾病）']
C1264137	['髂间淋巴结病（紊乱）']
C1264138	['闭孔淋巴结病（疾病）']
C1264139	['下腹部淋巴结病（疾病）']
C1264140	['臀淋巴结病（疾病）']
C1264141	['臀下淋巴结病（疾病）']
C1264142	['臀上淋巴结病（疾病）']
C1264143	['骶骨淋巴结病（疾病）']
C1264144	['子宫旁淋巴结病（疾病）']
C1264145	['上腹部淋巴结病（疾病）']
C1264146	['淋巴结前病变（疾病）']
C1264147	['子宫颈旁淋巴结病（紊乱）']
C1264148	['膀胱旁淋巴结病（疾病）']
C1264149	['膀胱前淋巴结病（疾病）']
C1264150	['膀胱后淋巴结病（疾病）']
C1264151	['侧膀胱淋巴结病（疾病）']
C1264152	['阴道旁淋巴结病（疾病）']
C1264153	['直肠旁淋巴结病（疾病）']
C1264154	['上肢淋巴结病（疾病）']
C1264155	['腋窝外侧淋巴结病（疾病）']
C1264156	['腋窝中央淋巴结病（疾病）']
C1264157	['腋窝淋巴结病']
C1264158	['胸腋淋巴结病（疾病）']
C1264159	['肩胛下腋窝淋巴结病']
C1264160	['副淋巴结病（疾病）']
C1264161	['肘部淋巴结病（疾病）']
C1264162	['下肢淋巴结病（疾病）']
C1264163	['腹股沟深淋巴结病（疾病）']
C1264164	['股前淋巴结病（疾病）']
C1264165	['腹股沟浅表淋巴结病（疾病）']
C1264166	['腹股沟上内侧淋巴结病（疾病）']
C1264167	['腹股沟上外侧淋巴结病（疾病）']
C1264168	['腹股沟下淋巴结病（疾病）']
C1264169	['腘深淋巴结病（疾病）']
C1264170	['浅表性腘淋巴结病（疾病）']
C1264171	['胫骨淋巴结病（疾病）']
C1264172	['胫骨后淋巴结病（疾病）']
C1264173	['胫骨前淋巴结病（疾病）']
C1264174	['腓骨淋巴结病（疾病）']
C1264178	['老年人反应性滤泡增生（疾病）']
C1264516	['并发症损伤']
C1264517	['传染伤口创伤后']
C1264518	['神经损伤引起的或随后发生的疾病（疾病）']
C1264520	['创伤（疾病）并发症的后期影响']
C1264521	['化疗效果']
C1264603	['感染后疾病']
C1264604	['链球菌感染后疾病']
C1265580	['急性塌陷（形态异常）']
C1265581	['慢性塌陷（形态异常）']
C1265582	['原发性塌陷（形态异常）']
C1265583	['继发性塌陷（形态异常）']
C1265649	['病理性未愈合骨折（形态学异常）']
C1265748	['异常扭曲结构']
C1265762	['慢性扩张（形态异常）']
C1265763	['囊性扩张（形态异常）']
C1265765	['导管扩张症']
C1265793	['近期血栓（形态异常）']
C1265794	['钙化血栓（形态异常）']
C1265795	['夹层血栓（形态异常）']
C1265796	['全身血栓（形态异常）']
C1265797	['近期栓子（形态异常）']
C1265798	['淡栓子（形态异常）']
C1265799	['大量栓子（形态异常）']
C1265800	['栓塞；倍数']
C1265801	['斑驳充血（形态异常）']
C1265802	['急性被动充血（形态学异常）']
C1265803	['阵发性水肿（形态异常）']
C1265805	['继发性水肿']
C1265806	['包裹性积液（形态异常）']
C1265807	['多发性积液（形态异常）']
C1265808	['房性积液（形态异常）']
C1265809	['少量出血']
C1265810	['治愈溃疡']
C1265811	['穿透性溃疡（形态异常）']
C1265812	['难治性溃疡（形态异常）']
C1265813	['弥漫性溃疡（形态异常）']
C1265815	['多发性溃疡（形态异常）']
C1265819	['塌陷空洞（形态异常）']
C1265820	['空洞破裂（形态异常）']
C1265821	['封闭腔（形态异常）']
C1265822	['交通腔（形态异常）']
C1265823	['复发性炎症（形态学异常）']
C1265824	['持续性炎症（形态异常）']
C1265825	['多灶性炎症（形态学异常）']
C1265826	['愈合的炎症（形态异常）']
C1265827	['非典型炎症（形态异常）']
C1265828	['进行性炎症（形态异常）']
C1265829	['汇合性炎症（形态异常）']
C1265830	['播散性炎症（形态异常）']
C1265831	['间质炎症（形态学异常）']
C1265832	['局限性急性炎症']
C1265833	['深脓肿（形态异常）']
C1265834	['玻璃样肉芽肿']
C1265835	['局限性肉芽肿性炎症']
C1265837	['局灶性增生性炎症（形态学异常）']
C1265838	['弥漫性增生性炎症（形态学异常）']
C1265839	['节段性增生性炎症（形态学异常）']
C1265840	['复发性增生性炎症（形态学异常）']
C1265841	['急性增殖性炎症（形态学异常）']
C1265842	['慢性增生性炎症（形态学异常）']
C1265843	['急性脂肪坏死性炎症（形态学异常）']
C1265844	['炎症伴脂肪坏死，亚急性（形态异常）']
C1265845	['慢性炎症伴脂肪坏死（形态异常）']
C1265846	['炎症伴脂肪坏死，慢性迁移（形态学异常）']
C1265847	['继发性炎症伴脂肪坏死（形态异常）']
C1265848	['炎症伴血栓形成']
C1265849	['消退性炎症（形态异常）']
C1265850	['炎症再吸收（形态异常）']
C1265851	['弥漫性变性（形态异常）']
C1265852	['中枢变性（形态异常）']
C1265853	['外周变性（形态异常）']
C1265854	['萎缩性变性（形态异常）']
C1265855	['非渗出性变性（形态异常）']
C1265856	['渗出性变性（形态异常）']
C1265857	['干变性（形态异常）']
C1265864	['出血性动脉粥样硬化斑块']
C1265867	['环周坏死（形态异常）']
C1265868	['融合性坏死（形态异常）']
C1265869	['早期坏死（形态异常）']
C1265870	['中层坏死（形态异常）']
C1265871	['中央坏死区（形态异常）']
C1265872	['小叶中心区坏死（形态异常）']
C1265873	['周围区坏死（形态异常）']
C1265874	['血栓坏死（形态异常）']
C1265876	['异常不透明结构（形态异常）']
C1265877	['异常矿化']
C1265878	['原发性淀粉样沉积（形态异常）']
C1265879	['继发性淀粉样沉积（形态异常）']
C1265880	['局灶性钙化']
C1265881	['层状钙化']
C1265882	['细簇状钙化']
C1265885	['弥漫性钙化']
C1265886	['局部黑色素沉着']
C1265887	['全身性黑色素沉着']
C1265888	['内源性含铁血黄素色素沉着']
C1265889	['外源性含铁血黄素色素沉着']
C1265890	['色素性萎缩（形态异常）']
C1265891	['局限性萎缩']
C1265892	['部分萎缩（形态异常）']
C1265893	['次全萎缩（形态异常）']
C1265894	['完全萎缩（形态异常）']
C1265895	['进行性萎缩（形态异常）']
C1265896	['弥漫性萎缩（形态异常）']
C1265897	['代偿性萎缩（形态异常）']
C1265928	['与炎症相关的反应性细胞变化（形态学异常）']
C1265929	['不对称性肥大（形态异常）']
C1265930	['急性肥大（形态异常）']
C1265931	['慢性肥大（形态异常）']
C1265932	['局灶性增生（形态异常）']
C1265933	['弥漫性增生（形态异常）']
C1265934	['多灶性增生（形态异常）']
C1265935	['部分增生（形态异常）']
C1265936	['播散性增生（形态异常）']
C1265937	['癌前增生（形态异常）']
C1265938	['移行细胞增生（形态异常）']
C1265939	['局灶性淋巴增生（形态学异常）']
C1265940	['多灶性淋巴增生（形态异常）']
C1265941	['弥漫性淋巴增生（形态异常）']
C1265942	['播散性淋巴增生（形态异常）']
C1265943	['部分淋巴增生（形态异常）']
