C0000742	阿贝尔森白血病病毒###ET###MSH [SEP] 阿贝尔森白血病病毒###PT###CSP [SEP] 阿贝尔森小鼠白血病病毒###EQ###NCBI [SEP] 阿贝尔森小鼠白血病病毒###ET###CSP [SEP] 阿贝尔森小鼠白血病病毒###MH###MSH [SEP] 阿贝尔森小鼠白血病病毒###PT###NCI [SEP] 阿贝尔森小鼠白血病病毒###SCN###NCBI [SEP] 阿贝尔森病毒###ET###CSP [SEP] 白血病病毒###PM###MSH [SEP] 阿贝尔森白血病病毒###PM###MSH
C0999776	家蚕NPV###EQ###NCBI [SEP] 家蚕核型多角体病毒###EQ###NCBI [SEP] 家蚕核型多角体病毒###EQ###NCBI [SEP] 家蚕核型多角体病毒###EQ###NCBI [SEP] 家蚕核型多角体病毒###EQ###NCBI [SEP] 家蚕核型多角体病毒###NM###MSH [SEP] 家蚕核型多角体病毒###SCN###NCBI [SEP] 家蚕核型多角体病毒###EQ###NCBI [SEP] 家蚕单核多角体病毒###CE###MSH
C0999778	尼氏毛滴虫颗粒体病毒###CE###MSH [SEP] 尼氏毛滴虫颗粒体病毒###EQ###NCBI [SEP] 尼氏毛滴虫颗粒体病毒###EQ###NCBI [SEP] 尼氏毛滴虫颗粒病毒###NM###MSH [SEP] 尼氏毛滴虫颗粒病毒###SCN###NCBI
C0999780	玉米夜蛾核型多角体病毒###EQ###NCBI [SEP] 玉米夜蛾单核衣壳核多角体病毒###EQ###NCBI [SEP] 玉米夜蛾单核多角体病毒###PCE###MSH [SEP] 玉米夜蛾单核多角体病毒###SCN###NCBI [SEP] 玉米夜蛾单核多角体病毒###EQ###NCBI [SEP] 玉米黑星天牛###EQ###NCBI
C0999781	血浆病毒###SCN###NCBI
C0999782	嗜热变形杆菌噬菌体1###EQ###NCBI [SEP] 热变形杆菌噬菌体1，TTV1###EQ###NCBI [SEP] tenax热变形杆菌病毒1###SCN###NCBI
C0999783	伊氏病毒###PEP###MSH [SEP] 伊氏病毒###SCN###NCBI [SEP] 伊氏病毒###PM###MSH
C0999784	索诺伦氏钟楼炎ichnovirus###NM###MSH [SEP] 索诺伦氏钟楼炎ichnovirus###SCN###NCBI [SEP] sonorensis钟楼炎多脱氧核糖核酸病毒CsPDV###EQ###NCBI [SEP] 索诺伦氏钟楼炎多脱氧核糖核酸病毒###EQ###NCBI [SEP] 索诺伦斯钟楼炎病毒###EQ###NCBI [SEP] 索诺伦斯钟楼炎病毒###CE###MSH [SEP] 索诺伦斯钟楼炎病毒###EQ###NCBI
C0999789	小球藻PBCV-1病毒###EQ###NCBI [SEP] 小球藻病毒PBCV-1###EQ###NCBI [SEP] 草履虫小球藻病毒1###NM###MSH [SEP] 草履虫小球藻病毒1###SCN###NCBI [SEP] 草履虫小球藻病毒1型###EQ###NCBI [SEP] 草履虫小球藻病毒PBCV-1###EQ###NCBI
C0999790	小球藻病毒###SCN###NCBI
C0999796	Alces Alces乳头瘤病毒1###EQ###NCBI [SEP] Deltapapillomavirus 1###SCN###NCBI [SEP] 欧洲麋鹿乳头瘤病毒###EQ###NCBI
C0999797	Iotapapillomavirus 1###SCN###NCBI [SEP] 纳塔尔乳肌乳头状瘤病毒###EQ###NCBI [SEP] 多乳头大鼠乳头瘤病毒###EQ###NCBI [SEP] 纳塔曼氏Pramys natalensis乳头状瘤病毒###EQ###NCBI
C0999800	甲型乳头瘤病毒12###SCN###NCBI [SEP] 猕猴乳头瘤病毒1###EQ###NCBI [SEP] 恒河猴乳头瘤病毒-1###EQ###NCBI [SEP] 恒河猴乳头瘤病毒1###EQ###NCBI [SEP] 恒河猴乳头瘤病毒###EQ###NCBI [SEP] 恒河猴乳头瘤病毒1型###EQ###NCBI [SEP] 恒河猴乳头瘤病毒###EQ###NCBI
C0999805	禽乳头瘤病毒fpv-l###EQ###NCBI [SEP] 禽乳头瘤病毒###EQ###NCBI [SEP] 金翅雀乳头瘤病毒###SCN###NCBI
C0999806	16###PT###NCI_GDC [SEP] 甲型乳头瘤病毒9###SCN###NCBI [SEP] HPV 16###PM###MSH [SEP] HPV基因型16###SY###NCI [SEP] HPV-16###ET###MSH [SEP] HPV-16###SY###NCI_NICHD [SEP] 人乳头瘤病毒16###LPDN###LNC [SEP] 人乳头瘤病毒16###LPN###LNC [SEP] 人乳头瘤病毒16###MH###MSH [SEP] 人乳头瘤病毒16###PN###MTH [SEP] 人乳头瘤病毒16###SY###NCI [SEP] 人乳头瘤病毒基因型16###SY###NCI [SEP] 人乳头瘤病毒16型###DN###NCI_CTRP [SEP] 人乳头瘤病毒16型###PT###NCI [SEP] 人乳头瘤病毒，16型（有机体）###FN###SNOMEDCT_US [SEP] 人乳头瘤病毒，16型###PT###SNOMEDCT_US [SEP] 人乳头瘤病毒-16###PT###NCI_NICHD [SEP] 人乳头瘤病毒-16###SY###NCI [SEP] 人乳头瘤病毒-16###SY###NCI_caDSR
C0999807	18###PT###NCI_GDC [SEP] 甲型乳头瘤病毒7###SCN###NCBI [SEP] HPV 18###PM###MSH [SEP] HPV基因型18###SY###NCI [SEP] HPV-18###ET###MSH [SEP] HPV-18###SY###NCI_NICHD [SEP] 人乳头瘤病毒-18###EQ###NCBI [SEP] 人乳头瘤病毒18###EQ###NCBI [SEP] 人乳头瘤病毒18###MH###MSH [SEP] 人乳头瘤病毒18###PN###MTH [SEP] 人乳头瘤病毒基因型18###SY###NCI [SEP] 人乳头瘤病毒18型###DN###NCI_CTRP [SEP] 人乳头瘤病毒18型###ET###MSH [SEP] 人乳头瘤病毒18型###PT###NCI [SEP] 人乳头瘤病毒，18型（有机体）###FN###SNOMEDCT_US [SEP] 人乳头瘤病毒，18型###PT###SNOMEDCT_US [SEP] 人乳头瘤病毒-18###PT###NCI_NICHD [SEP] 人乳头瘤病毒-18###SY###NCI
C0999824	人乳头瘤病毒me180型###SCN###NCBI
C0999838	猴乳头瘤病毒###SCN###NCBI
C0999839	禽多瘤病毒1###SCN###NCBI [SEP] 禽多瘤病毒###SY###SNOMEDCT_US [SEP] 虎皮鹦鹉雏鸟病多瘤病毒###EQ###NCBI [SEP] 虎皮鹦鹉雏鸟病多瘤病毒###PN###MTH [SEP] 虎皮鹦鹉雏鸟病病毒（有机体）###FN###SNOMEDCT_US [SEP] 虎皮鹦鹉雏鸟病病毒###EQ###NCBI [SEP] 虎皮鹦鹉雏鸟病病毒###PT###SNOMEDCT_US [SEP] 虎皮鹦鹉雏鸟多瘤病毒###EQ###NCBI
C0999841	小鼠多瘤病毒###EQ###NCBI [SEP] 小鼠多瘤病毒###ET###CSP [SEP] 小鼠多瘤病毒（有机体）###FN###SNOMEDCT_US [SEP] 小鼠多瘤病毒###EQ###NCBI [SEP] 小鼠多瘤病毒###ET###CSP [SEP] 小鼠多瘤病毒###PEP###MSH [SEP] 小鼠多瘤病毒###PT###SNOMEDCT_US [SEP] 小鼠多瘤病毒###PM###MSH [SEP] 小家鼠多瘤病毒1###SCN###NCBI [SEP] 小鼠多瘤病毒###EQ###NCBI [SEP] 小鼠多瘤病毒###PM###MSH
C0999842	康乃馨蚀环病毒###SCN###NCBI
C0999843	菲格沃特花叶病毒###EQ###NCBI [SEP] 菲格沃特花叶病毒###NM###MSH [SEP] Figwort花叶病毒###SCN###NCBI
C0999844	大豆褪绿斑驳病毒###SCN###NCBI
C0999845	T4噬菌体群###EQ###NCBI [SEP] T4样噬菌体###EQ###NCBI [SEP] 类T4病毒###EQ###NCBI [SEP] T4利基病毒###EQ###NCBI [SEP] T4病毒###EQ###NCBI [SEP] 特夸特罗病毒###SCN###NCBI
C0999847	噬菌体###SCN###NCBI [SEP] 枯草芽孢杆菌噬菌体PBSX###EQ###NCBI
C0999851	噬菌体K3###EQ###NCBI [SEP] 肠杆菌噬菌体K3###SCN###NCBI [SEP] 噬菌体K3###EQ###NCBI
C0999853	噬菌体P4###EQ###NCBI [SEP] 缺陷型肠杆菌噬菌体P4###EQ###NCBI [SEP] 肠杆菌噬菌体P4###SCN###NCBI [SEP] 噬菌体P4###EQ###NCBI
C0999854	噬菌体phi-R73###EQ###NCBI [SEP] 肠杆菌噬菌体phiR73###SCN###NCBI [SEP] 噬菌体phi-R73###EQ###NCBI [SEP] 逆转录噬菌体phi-R73###EQ###NCBI
C0999856	芽孢杆菌噬菌体PBS1###EQ###NCBI [SEP] 芽孢杆菌病毒PBS1###SCN###NCBI [SEP] 噬菌体PBS1###EQ###NCBI [SEP] 噬菌体PBS1###EQ###NCBI
C0999857	芽孢杆菌噬菌体PBS2###SCN###NCBI [SEP] 噬菌体PBS2###EQ###NCBI [SEP] 噬菌体PBS2###EQ###NCBI
C0999858	噬菌体SPO1###EQ###NCBI [SEP] 枯草芽孢杆菌噬菌体SPO1###EQ###NCBI [SEP] 芽孢杆菌病毒SPO1###SCN###NCBI [SEP] 噬菌体sp01###EQ###NCBI [SEP] 噬菌体SPO1###EQ###NCBI [SEP] 噬菌体SPO1###EQ###NCBI
C0999859	噬菌体Tu1A###EQ###NCBI [SEP] 噬菌体TuIa###EQ###NCBI [SEP] 肠杆菌噬菌体Tu1A###EQ###NCBI [SEP] 肠杆菌噬菌体TuIa###SCN###NCBI [SEP] 噬菌体Tu1A###EQ###NCBI [SEP] 噬菌体TuIa###EQ###NCBI
C0999860	噬菌体Tu1B###EQ###NCBI [SEP] 噬菌体TuIb###EQ###NCBI [SEP] 肠杆菌噬菌体TuIb###SCN###NCBI [SEP] 噬菌体Tu1B###EQ###NCBI [SEP] 噬菌体TuIb###EQ###NCBI
C0999861	噬菌体T1-CP###EQ###NCBI [SEP] 噬菌体CP-T1###EQ###NCBI [SEP] 弧菌噬菌体CP-T1###SCN###NCBI [SEP] 噬弧菌CP-T1###EQ###NCBI
C0999862	噬菌体HP1###EQ###NCBI [SEP] 嗜血杆菌噬菌体HP1###EQ###NCBI [SEP] 嗜血杆菌病毒HP1###SCN###NCBI [SEP] 噬菌体HP1###EQ###NCBI
C0999863	噬菌体Ox2###EQ###NCBI [SEP] 肠杆菌噬菌体Ox2###SCN###NCBI [SEP] 噬菌体Ox2###EQ###NCBI
C0999865	噬菌体RB51###EQ###NCBI [SEP] 肠杆菌噬菌体RB51###SCN###NCBI [SEP] 噬菌体RB51###EQ###NCBI
C0999866	芽孢杆菌噬菌体SP82###SCN###NCBI [SEP] 噬菌体SP82###EQ###NCBI [SEP] 噬菌体SP82###EQ###NCBI
C0999869	放射噬菌体RP3###SCN###NCBI
C0999870	棒状杆菌噬菌体β###EQ###NCBI [SEP] Corynephage beta###SCN###NCBI
C0999871	噬菌体16-3###EQ###NCBI [SEP] 噬菌体16-3###EQ###NCBI [SEP] 根瘤菌噬菌体16-3###SCN###NCBI
C0999872	噬菌体82###EQ###NCBI [SEP] 肠杆菌噬菌体82###SCN###NCBI [SEP] 噬菌体82###EQ###NCBI
C0999874	噬菌体D3112###EQ###NCBI [SEP] 噬菌体D3112###EQ###NCBI [SEP] 假单胞菌噬菌体D3112###EQ###NCBI [SEP] 假单胞菌病毒D3112###SCN###NCBI
C0999875	棒状噬菌体ω###EQ###NCBI [SEP] 欧米茄棒状体###SCN###NCBI
C0999876	噬菌体42D###EQ###NCBI [SEP] 噬菌体P42D###EQ###NCBI [SEP] 噬菌体42D###EQ###NCBI [SEP] 噬菌体P42D###EQ###NCBI [SEP] 葡萄球菌噬菌体42D###EQ###NCBI [SEP] 葡萄球菌噬菌体42D。M###SCN###NCBI
C0999878	放线菌phi C31###EQ###NCBI [SEP] 放射照相术###EQ###NCBI [SEP] 噬菌体phi C31###EQ###NCBI [SEP] 噬菌体phi-C31###EQ###NCBI [SEP] 噬菌体PHI31###EQ###NCBI [SEP] 噬菌体phi-C31###EQ###NCBI [SEP] 链霉菌噬菌体phiC31###CE###MSH [SEP] 链霉菌噬菌体PHI31###CE###MSH [SEP] 链霉菌病毒phiC31###NM###MSH [SEP] 链霉菌病毒phiC31###SCN###NCBI
C0999879	噬菌体S phi-C###EQ###NCBI [SEP] 噬菌体S phi-C###EQ###NCBI [SEP] 葡萄球菌噬菌体S phi-C###SCN###NCBI
C0999881	芽孢杆菌噬菌体SPO2###SCN###NCBI [SEP] 噬菌体sp02###EQ###NCBI [SEP] 噬菌体SPO2###EQ###NCBI [SEP] 噬菌体SPO2###EQ###NCBI
C0999882	芽孢杆菌噬菌体SPP1###SCN###NCBI [SEP] 噬菌体SPP1###EQ###NCBI [SEP] 噬菌体SPP1###EQ###NCBI
C0999883	噬菌体SPR###SCN###NCBI [SEP] 噬菌体SPR###EQ###NCBI [SEP] 噬菌体表面活性剂###EQ###NCBI
C0999884	噬菌体T5###EQ###NCBI [SEP] 肠杆菌噬菌体T5###EQ###NCBI [SEP] 大肠杆菌病毒T5###SCN###NCBI [SEP] 噬菌体T5###EQ###NCBI
C0999885	噬菌体l54a###EQ###NCBI [SEP] 葡萄球菌噬菌体L54a###SCN###NCBI
C0999886	噬菌体HB-3###EQ###NCBI [SEP] 肺炎链球菌噬菌体HB-3###EQ###NCBI [SEP] 肺炎链球菌噬菌体HB-3###SCN###NCBI
C0999889	棒状杆菌γ###EQ###NCBI [SEP] 棒状杆菌噬菌体γ###SCN###NCBI
C0999890	噬菌体rho11s芽孢杆菌###SCN###NCBI [SEP] 噬菌体rho-11s###EQ###NCBI [SEP] 噬菌体Rho11s###EQ###NCBI [SEP] 噬菌体rho-11s###EQ###NCBI
C0999891	噬菌体phi3T###SCN###NCBI [SEP] 噬菌体phi-3T###EQ###NCBI [SEP] 噬菌体phi-3T###EQ###NCBI [SEP] 噬菌体phi3T###EQ###NCBI
C0999892	噬菌体phi-21###EQ###NCBI [SEP] 肠杆菌噬菌体phi21###SCN###NCBI
C0999894	噬菌体21###EQ###NCBI [SEP] 人形噬菌体21###EQ###NCBI [SEP] 噬菌体21###SCN###NCBI
C0999898	噬菌体LP-7###EQ###NCBI [SEP] 噬菌体LP7###EQ###NCBI [SEP] 肠杆菌噬菌体LP7###SCN###NCBI [SEP] 噬菌体LP-7###EQ###NCBI
C0999903	噬菌体SfVI###EQ###NCBI [SEP] 肠杆菌噬菌体Sf6###EQ###NCBI [SEP] 肠杆菌噬菌体SF6###EQ###NCBI [SEP] 福氏志贺菌噬菌体Sf6###EQ###NCBI [SEP] 福氏志贺氏菌噬菌体VI###EQ###NCBI [SEP] 志贺菌噬菌体Sf6###EQ###NCBI [SEP] 志贺菌Sf6病毒###SCN###NCBI
C0999904	噬菌体H1芽孢杆菌###SCN###NCBI [SEP] 噬菌体h1###EQ###NCBI
C0999905	噬菌体K11###EQ###NCBI [SEP] 肠杆菌噬菌体K11###SCN###NCBI [SEP] 噬菌体K11###EQ###NCBI
C0999907	芽孢杆菌噬菌体SF6###EQ###NCBI [SEP] 噬菌体SF6###SCN###NCBI [SEP] 枯草芽孢杆菌噬菌体SF6###SY###NCBI [SEP] 噬菌体sf6###EQ###NCBI
C0999909	芽孢杆菌噬菌体B103###EQ###NCBI [SEP] 芽孢杆菌病毒B103###SCN###NCBI [SEP] 噬菌体B103###EQ###NCBI
C0999910	噬菌体BS32###SCN###NCBI [SEP] 噬菌体BS32###EQ###NCBI [SEP] 噬菌体BS32###EQ###NCBI
C0999913	阿布利顿花叶病毒###EQ###NCBI [SEP] 阿布蒂隆花叶病毒双子病毒###EQ###NCBI [SEP] 阿布蒂隆花叶病毒###NM###MSH [SEP] 阿布蒂隆花叶病毒###SCN###NCBI
C0999914	非洲木薯花叶病毒###NM###MSH [SEP] 非洲木薯花叶病毒###SCN###NCBI [SEP] 木薯潜伏病毒###EQ###NCBI [SEP] 木薯花叶病毒<非洲木薯花叶病毒>###PN###MTH [SEP] 木薯花叶病毒<非洲木薯花叶病毒>###UE###NCBI
C0999915	绿豆条纹花叶病毒###SCN###NCBI
C0999916	芒条病毒###EQ###NCBI [SEP] 芒条病毒###SCN###NCBI
C0999917	穗条病毒###SCN###NCBI
C0999918	马铃薯黄色花叶病毒###SCN###NCBI
C0999919	南瓜曲叶病毒###PEP###MSH [SEP] 南瓜曲叶病毒###SCN###NCBI
C0999920	烟草黄矮病毒###EQ###NCBI [SEP] 烟草黄矮病毒###SCN###NCBI
C0999921	番茄金色花叶病毒###EQ###NCBI [SEP] 番茄金色花叶病毒###NM###MSH [SEP] 番茄金色花叶病毒###SCN###NCBI
C0999922	番茄黄叶卷曲双病毒###EQ###NCBI [SEP] 番茄黄叶卷曲双子病毒###EQ###NCBI [SEP] 番茄黄化曲叶病毒###EQ###NCBI [SEP] 番茄黄化曲叶病毒###NM###MSH [SEP] 番茄黄化曲叶病毒###SCN###NCBI
C0999923	小麦矮缩病毒###NM###MSH [SEP] 小麦矮缩病毒###SCN###NCBI
C0999924	番茄斑点双子病毒###EQ###NCBI [SEP] 番茄斑点双子病毒###EQ###NCBI [SEP] 番茄斑点病毒###EQ###NCBI [SEP] 番茄斑点病毒###SCN###NCBI
C0999925	甘蔗条纹病毒###EQ###NCBI [SEP] 甘蔗条纹病毒###SCN###NCBI
C0999926	豆矮花叶病双子病毒###EQ###NCBI [SEP] 大豆矮花叶病毒###NM###MSH [SEP] 大豆矮花叶病毒###SCN###NCBI
C0999927	大豆金花叶双子病毒###EQ###NCBI [SEP] 大豆金色花叶病毒###NM###MSH [SEP] 大豆金色花叶病毒###SCN###NCBI
C0999928	甜菜曲顶病毒###EQ###NCBI [SEP] 甜菜曲顶病毒###NM###MSH [SEP] 甜菜曲顶病毒###PN###MTH [SEP] 甜菜曲顶病毒###SCN###NCBI
C0999933	噬菌体G14###EQ###NCBI [SEP] 大肠杆菌噬菌体G14###EQ###NCBI [SEP] 肠杆菌噬菌体G14###SCN###NCBI
C0999934	噬菌体U3###EQ###NCBI [SEP] 肠杆菌噬菌体U3###SCN###NCBI
C0999935	螺旋微病毒###SCN###NCBI
C0999937	螺旋体噬菌体4###EQ###NCBI [SEP] 螺旋体病毒4###EQ###NCBI [SEP] 螺旋体病毒SpV4###SCN###NCBI
C0999939	噬菌体Cf1c###EQ###NCBI [SEP] 噬菌体Cf1c###EQ###NCBI [SEP] 黄单胞菌噬菌体Cf1c###EQ###NCBI [SEP] 黄单胞菌病毒Cf1c###SCN###NCBI
C0999944	噬菌体I2-2###EQ###NCBI [SEP] 肠杆菌噬菌体I2-2###EQ###NCBI [SEP] 大肠杆菌病毒I22###SCN###NCBI [SEP] 噬菌体I2-2###EQ###NCBI
C0999946	噬菌体SfX###EQ###NCBI [SEP] 噬菌体X###EQ###NCBI [SEP] 噬菌体X###EQ###NCBI [SEP] 福氏志贺氏菌噬菌体X###EQ###NCBI [SEP] 志贺菌噬菌体SfX###SCN###NCBI
C0999948	呼肠孤病毒。###PN###MTH [SEP] 呼肠孤病毒。###SCN###NCBI [SEP] 呼肠孤病毒###EQ###NCBI [SEP] 呼肠孤病毒###ET###CSP [SEP] 呼肠孤病毒###PT###CHV [SEP] 呼肠孤病毒###PT###LCH_NW [SEP] 呼肠孤病毒###SY###CHV
C0999949	蜱和虫媒环状病毒###SCN###NCBI
C0999953	牛轮状病毒（有机体）###FN###SNOMEDCT_VET [SEP] 牛轮状病毒###LPDN###LNC [SEP] 牛轮状病毒###LPN###LNC [SEP] 牛轮状病毒###PT###CHV [SEP] 牛轮状病毒###PT###SNOMEDCT_VET [SEP] 牛轮状病毒###SY###CHV
C0999961	轮状病毒。###SCN###NCBI
C0999967	L-A病毒###EQ###NCBI [SEP] 酿酒酵母病毒L-A（L1）###EQ###NCBI [SEP] 酿酒酵母病毒L-A###SCN###NCBI [SEP] 酿酒酵母病毒L-A，ScV-L-A###EQ###NCBI [SEP] 酿酒酵母病毒L1###EQ###NCBI [SEP] 酿酒酵母病毒###EQ###NCBI [SEP] ScV-L-A###EQ###NCBI [SEP] ScV-L1###EQ###NCBI
C0999968	玉米黑粉菌P4病毒###SCN###NCBI
C0999969	玉米黑粉菌p6病毒###EQ###NCBI [SEP] 玉米黑粉菌P6病毒###SCN###NCBI
C0999971	黄病毒属。###SCN###NCBI [SEP] 不明黄病毒###EQ###NCBI
C0999975	猴正红疹病毒###SCN###NCBI [SEP] 猴副流感病毒41（有机体）###FN###SNOMEDCT_US [SEP] 猴副流感病毒41###EQ###NCBI [SEP] 猴副流感病毒41###PT###SNOMEDCT_US [SEP] 猴副流感病毒41###CE###MSH [SEP] 猿猴副粘病毒SV41###EQ###NCBI [SEP] 猴红疹病毒###SY###NCBI [SEP] 猿猴病毒41 SV41###EQ###NCBI [SEP] 猿病毒41###EQ###NCBI [SEP] 猿病毒41###NM###MSH [SEP] SV 41###ET###CSP [SEP] SV41病毒###SY###SNOMEDCT_US
C0999978	细胞弹状病毒###SCN###NCBI [SEP] 植物弹状病毒A亚群###EQ###NCBI
C0999979	核弹状病毒属（有机体）###FN###SNOMEDCT_US [SEP] 核弹状病毒属###SY###SNOMEDCT_US [SEP] 核弹状病毒###PT###SNOMEDCT_US [SEP] 核弹状病毒###SCN###NCBI [SEP] 植物弹状病毒B亚群###EQ###NCBI [SEP] 植物弹状病毒B亚群###EQ###NCBI
C0999980	桑丘斯黄网核弹病毒###NM###MSH [SEP] 桑丘斯黄网核弹病毒###SCN###NCBI [SEP] 桑丘斯黄网病毒###EQ###NCBI [SEP] 桑丘斯黄网病毒###CE###MSH [SEP] 桑丘斯黄网病毒###EQ###NCBI
C1000186	马马雷纳病毒###PN###MTH [SEP] 马马雷纳病毒###SCN###NCBI [SEP] 莫皮亚病毒###EQ###NCBI [SEP] 莫皮亚病毒###PCE###MSH
C1000189	绵羊慢病毒OLV###EQ###NCBI [SEP] 绵羊慢病毒###SCN###NCBI
C1000192	中国仓鼠脑池内A粒子###SCN###NCBI
C1000193	中国仓鼠脑池内A粒子交叉34###SCN###NCBI
C1000194	金黄地鼠脑池内A粒子H18###SCN###NCBI [SEP] 仓鼠脑内α粒子（IAP-H18）###EQ###NCBI [SEP] IAP H18###EQ###NCBI [SEP] 叙利亚仓鼠脑池内A粒子SHIAP18###EQ###NCBI
C1000204	猕猴C型逆转录病毒###SCN###NCBI
C1000205	小鼠骨肉瘤病毒###SCN###NCBI
C1000209	RD114逆转录病毒###SCN###NCBI
C1000217	鼠肉瘤病毒###SCN###NCBI
C1000224	禽骨髓细胞瘤病逆转录病毒###EQ###NCBI [SEP] 禽骨髓细胞瘤病毒###SCN###NCBI [SEP] 禽骨髓细胞瘤病毒###EQ###NCBI
C1000225	禽肌腱膜纤维肉瘤病毒AS42###SCN###NCBI [SEP] 禽肌腱膜纤维肉瘤病毒###EQ###NCBI [SEP] 禽反转录病毒AS42###EQ###NCBI
C1000226	禽逆转录病毒IC10###SCN###NCBI
C1000230	禽骨髓细胞瘤病毒hbi###SCN###NCBI
C1000233	小鼠脑池内A粒子（IAP-MIAE）###EQ###NCBI [SEP] 小鼠脑池内A粒子MIAE###EQ###NCBI [SEP] 小鼠脑池内α粒子###SCN###NCBI
C1000238	禽内源性病毒###SCN###NCBI
C1000241	禽癌病毒###SCN###NCBI
C1000243	禽骨髓母细胞病相关病毒###EQ###NCBI [SEP] 禽骨髓母细胞病相关病毒###SCN###NCBI [SEP] 骨髓母细胞病相关病毒###EQ###NCBI [SEP] 骨髓母细胞病相关病毒###EQ###NCBI [SEP] 骨髓母细胞病相关病毒###EQ###NCBI
C1000244	淋巴增生性疾病病毒（有机体）###FN###SNOMEDCT_US [SEP] 淋巴增生性疾病病毒###EQ###NCBI [SEP] 火鸡淋巴增殖病病毒###EQ###NCBI [SEP] 火鸡淋巴增殖病病毒###SY###SNOMEDCT_US [SEP] 淋巴增生性疾病病毒###PT###SNOMEDCT_US [SEP] 淋巴增生性疾病病毒###SCN###NCBI
C1000245	艾滋病相关逆转录病毒###SCN###NCBI
C1000246	IAP H10###SCN###NCBI
C1000247	骨髓增生性白血病病毒###SCN###NCBI
C1000249	瓜坏死斑点病毒###NM###MSH [SEP] 瓜坏死斑点病毒###SCN###NCBI
C1000250	芜菁起皱病毒###PM###MSH [SEP] 卷曲病毒，芜菁###PM###MSH [SEP] 芜菁皱褶病毒###PEP###MSH [SEP] 芜菁皱褶病毒###SCN###NCBI [SEP] 芜菁起皱病毒###PM###MSH
C1000259	噬菌体PRR1###EQ###NCBI [SEP] 噬菌体PRR1###EQ###NCBI [SEP] 假单胞菌噬菌体PRR1###SCN###NCBI
C1000268	大麦黄矮病毒###EQ###NCBI [SEP] 大麦黄矮病毒###SCN###NCBI [SEP] 大麦黄矮病毒###EQ###NCBI
C1000270	豆卷叶病毒###EQ###NCBI [SEP] 豆卷叶病毒###SCN###NCBI
C1000271	马铃薯卷叶病毒###EQ###NCBI [SEP] 马铃薯卷叶病毒###EQ###NCBI [SEP] 马铃薯卷叶病毒###NM###MSH [SEP] 马铃薯卷叶病毒###SCN###NCBI
C1000272	大豆矮化病毒###NM###MSH [SEP] 大豆矮化病毒###SCN###NCBI
C1000278	玉米褪绿斑驳病毒###NM###MSH [SEP] 玉米褪绿斑驳病毒###SCN###NCBI
C1000279	南方豆花叶病毒###NM###MSH [SEP] 南方豆花叶病毒###SCN###NCBI [SEP] 南方大豆花叶病毒###EQ###NCBI
C1000280	朝鲜蓟斑驳皱纹tombusvirus AMCV###EQ###NCBI [SEP] 洋蓟斑驳皱纹病毒###EQ###NCBI [SEP] 洋蓟斑驳皱褶病毒###PN###MTH [SEP] 洋蓟斑驳皱褶病毒###SCN###NCBI
C1000281	黄瓜坏死tombusvirus CNV###EQ###NCBI [SEP] 黄瓜坏死病毒###EQ###NCBI [SEP] 黄瓜坏死病毒###NM###MSH [SEP] 黄瓜坏死病毒###SCN###NCBI
C1000282	大花蕙兰环斑tombusvirus CyRSV###EQ###NCBI [SEP] 大花蕙兰环斑病毒###PEP###MSH [SEP] 大花蕙兰环斑病毒###SCN###NCBI [SEP] 大花蕙兰环斑病毒###PM###MSH
C1000283	颠茄斑点病毒###NM###MSH [SEP] 颠茄斑点病毒###SCN###NCBI
C1000284	可可黄花叶病毒###SCN###NCBI
C1000285	丹毒潜伏性鼓膜病毒###EQ###NCBI [SEP] 赤霉潜伏病毒###SCN###NCBI [SEP] 赤霉潜伏病毒###EQ###NCBI
C1000286	黄花叶病毒###SCN###NCBI
C1000288	阴蒂黄脉病毒###SCN###NCBI
C1000289	柑橘衰退性克隆病毒CTV###EQ###NCBI [SEP] 柑橘衰退克隆病毒###EQ###NCBI [SEP] 柑橘衰退病毒###EQ###NCBI [SEP] 柑橘衰退病毒###NM###MSH [SEP] 柑橘衰退病毒###SCN###NCBI
C1000290	菊花B病毒###EQ###NCBI [SEP] 菊花病毒B###NM###MSH [SEP] 菊花病毒B###SCN###NCBI
C1000291	杨树花叶病毒###EQ###NCBI [SEP] 杨树花叶病毒###NM###MSH [SEP] 杨树花叶病毒###SCN###NCBI
C1000292	马铃薯M病毒###NM###MSH [SEP] 马铃薯M病毒###SCN###NCBI
C1000293	佩皮诺潜伏病毒###EQ###NCBI [SEP] 马铃薯病毒###EQ###NCBI [SEP] 马铃薯病毒###NM###MSH [SEP] 马铃薯病毒###SCN###NCBI
C1000294	Helenium病毒###EQ###NCBI [SEP] Helenium病毒###SCN###NCBI
C1000295	百合无症状病毒###NM###MSH [SEP] 百合无症状病毒###SCN###NCBI
C1000296	苹果褪绿叶斑毛病毒###EQ###NCBI [SEP] 苹果褪绿叶斑病毒ACLSV-A###EQ###NCBI [SEP] 苹果褪绿叶斑病毒###PEP###MSH [SEP] 苹果褪绿叶斑病毒###SCN###NCBI
C1000297	三叶草黄色花叶病毒###EQ###NCBI [SEP] 三叶草黄色花叶病毒###NM###MSH [SEP] 三叶草黄色花叶病毒###SCN###NCBI
C1000298	大花蕙兰花叶病毒###EQ###NCBI [SEP] 大花蕙兰花叶病毒###NM###MSH [SEP] 大花蕙兰花叶病毒###SCN###NCBI
