C0000727	['急腹症']
C0859343	['唇部色素斑']
C0859344	['粘膜出血点']
C0859348	['舌感异常']
C0859371	['嘴唇灼热（感觉）']
C0859389	['DDS综合征']
C0859796	['涉及腹部和骨盆的其他特定症状']
C0859832	['影响非优势的一面']
C0859870	['刺激性咳嗽']
C0859889	['听觉敏锐度恶化']
C0859927	['呼吸功增加']
C0859967	['胃灼热样消化不良']
C0859968	['溃疡样消化不良']
C0859979	['喧闹']
C0859989	['身体感觉异常']
C0859991	['前倾前屈姿势']
C0859992	['口疮']
C0859998	['眼内不适']
C0859999	['干罗音']
C0860005	['彩虹光环']
C0860058	['夜间腿部肌肉痉挛']
C0860135	['齐胸']
C0860167	['肠内空气']
C0860188	['应用部位痛觉减退']
C0860193	['躁动（与药物有关）']
C0860277	['胃酸']
C0860453	['皮肤斑纹消失']
C0860526	['排尿反射减弱']
C0860529	['近视力障碍']
C0860535	['口腔角痛']
C0860538	['腭弓肿胀']
C0860542	['口周张力']
C0860553	['收缩呼吸']
C0860603	['焦虑（症状）']
C0860611	['身体不安']
C0860635	['身份的短暂变化（赋格状态）']
C0860645	['奇怪的梦（发现）']
C0860646	['病态梦']
C0861147	['室性早搏二联症']
C0861156	['视觉现象']
C0861159	['眼睛觉得黏糊糊的']
C0861160	['眼粘液']
C0861161	['眼粘液']
C0861164	['眼窝疼痛']
C0861166	['眼睛对阳光敏感']
C0861167	['眼前的雾']
C0861172	['灼烧放电眼']
C0861173	['眼中的温暖']
C0863079	['刺眼']
C0863080	['眼球酸痛']
C0863081	['眼睛酸痛']
C0863082	['内眦痛']
C0863083	['注射部位压痛']
C0863084	['皮肤不适']
C0863085	['脚痛']
C0863103	['小腿不适']
C0863104	['颈部不适']
C0863105	['背痛']
C0863108	['肩部麻木']
C0863112	['咽口刺激']
C0865901	['持续呕吐，不是怀孕']
C0866329	['因器质性疾病或其他原因引起的呕吐，具体指妊娠合并症，或妊娠期间产科护理的原因']
C0866330	['妊娠期间呕吐是护理的原因，妊娠期长短未明']
C0866957	['视觉空间忽视（诊断）']
C0866958	['烧灼感或刺痛感']
C0866961	['肠鼓室']
C0866962	['复发性肾绞痛']
C0866963	['复发性输尿管绞痛']
C0866964	['混合性尿失禁，男性']
C0866965	['混合性尿失禁，女性']
C0866972	['多处腹部和骨盆症状']
C0869084	['行走困难，ICD10CM中未分类']
C0869256	['混合性尿失禁（发现）']
C0869450	['未在ICD10CM中分类的接头刚度']
C0869451	['MDR中的接头刚度，NEC']
C0871099	['阴性和阳性症状']
C0871189	['精神病症状（可观察实体）']
C0871764	['健康投诉']
C0876980	['头痛加重']
C0877009	['肌纤维化']
C0877018	['垂体增大']
C0877023	['肋间胸痛']
C0877027	['关节活动度降低']
C0877063	['静脉穿刺部位疼痛']
C0877074	['偏失用']
C0877083	['感觉统合失调']
C0877101	['舌丘疹']
C0877113	['疼痛疤痕']
C0877127	['应用部位丘疹']
C0877128	['应用部位脓疱']
C0877134	['疝痛']
C0877162	['关节韧带断裂']
C0877167	['精神运动技能受损']
C0877178	['注射部位关节肿胀']
C0877179	['注射部位关节痛']
C0877180	['注射部位关节温暖']
C0877181	['注射部位关节发红']
C0877183	['甲床压痛']
C0877187	['输尿管造口术部位不适']
C0877197	['嘴唇感觉减退']
C0877198	['嘴唇脱落']
C0877200	['牙龈感觉异常']
C0877201	['牙龈麻木']
C0877202	['牙龈瘙痒']
C0877232	['周围性肿胀']
C0877266	['发炎上呼吸道']
C0877303	['术后疼痛']
C0877325	['肛门括约肌无力']
C0877338	['乳房不适']
C0877360	['磨牙症加重']
C0877364	['跟腱不适']
C0877378	['骶骨痛']
C0877384	['嘴唇苍白（身体检查）']
C0877420	['骨转移痛']
C0877422	['斜视']
C0877423	['短暂性斜视']
C0877432	['夜间躁动']
C0877436	['经前头痛']
C0877460	['嫩嘴']
C0877461	['刺痛的嘴']
C0877462	['口腔刺痛']
C0877468	['口腔喷发（疾病）']
C0877471	['嘴巴粗糙']
C0877472	['撅嘴']
C0877474	['张嘴']
C0877476	['口内瘙痒']
C0877482	['唇裂']
C0877484	['嘴角酸痛']
C0877485	['嘴角灼热']
C0877487	['嘴唇刺痛']
C0877488	['娇嫩的嘴唇']
C0877489	['嘴唇敏感']
C0877490	['唇裂']
C0877491	['凸舌']
C0877492	['生舌头']
C0877493	['温柔的舌头']
C0877494	['刺痛的舌头']
C0877495	['舌刺痛（症状）']
C0877496	['生牙龈']
C0877497	['牙龈发红']
C0877498	['粗口香糖']
C0877499	['口香糖疹']
C0877500	['口香糖']
C0877501	['口香糖上的伤口']
C0877502	['刺痛牙龈']
C0877503	['牙龈脱落']
C0877505	['刺痛口香糖']
C0877508	['牙龈刺激']
C0877514	['造口部位不适']
C0877515	['新生儿哭闹异常']
C0877549	['肺化脓']
C0877558	['急性上呼吸道炎症']
C0877605	['肛门烧伤']
C0877606	['烧伤输液部位']
C0877610	['手臂不适']
C0877616	['手指抽筋']
C0877617	['肠痉挛']
C0877625	['肢体感觉障碍']
C0877626	['嘴唇感觉障碍']
C0877627	['舌觉障碍']
C0877634	['头皮感觉异常']
C0877639	['泡胶']
C0877664	['胃肠痉挛']
C0877667	['敏感的嘴']
C0877670	['唇刺']
C0877671	['鲁莽的舌头']
C0877672	['敏感的舌头']
C0877674	['牙龈皮肤撕裂']
C0877675	['牙龈脱落']
C0877676	['跳动的口香糖']
C0877695	['感觉障碍']
C0877713	['燃烧的手指']
C0877714	['臀部灼热']
C0877716	['烧腿']
C0877717	['燃烧；嘴']
C0877781	['一侧头痛']
C0878578	['立位震颤']
C0878585	['结节，约瑟夫修女的']
C0878658	['达里埃征（物理发现）']
C0878661	['库欣类惯习']
C0878706	['缺乏正常的生理发育，未指明']
C0878707	['红细胞压积骤降']
C0878709	['混浊（血液透析）（腹膜）透析废水']
C0878752	['体重异常减轻和体重不足']
C0878753	['儿童期缺乏预期的正常生理发育']
C0917801	['难以保持或入睡']
C0919572	['术后躁动']
C0919579	['眼-头-脑回反射缺失']
C0919586	['特伦德伦堡症状']
C0919596	['意识波动']
C0919616	['口腔粘膜萎缩']
C0919626	['口渴减轻了']
C0919635	['术后头晕']
C0919695	['胰周积液收集']
C0919699	['驾驶能力受到干扰']
C0919725	['指端坏死']
C0919749	['膀胱炎样症状']
C0919750	['四肢结节']
C0919768	['肢体挛缩']
C0919771	['不能爬行']
C0919793	['乳房瘙痒']
C0919826	['悬雍垂痉挛']
C0919981	['左疑病症疼痛']
C0919994	['应用部位痛觉过敏']
C0920039	['肛门括约肌麻痹']
C0920040	['尺神经轻瘫']
C0920066	['浮肿的感觉']
C0920069	['手关节肿胀']
C0920088	['毛囊肿痛']
C0920120	['尿肾小管上皮细胞']
C0920154	['脾痛']
C0920161	['肩部肌肉僵硬']
C0920171	['感觉眼睛里有东西']
C0920172	['缝合线疼痛']
C0920205	['新生儿肝肿大']
C0920232	['维生素B复合缺乏症']
C0920255	['正中神经麻痹']
C0920289	['慢慢来']
C0920435	['小脑运动障碍']
C0920505	['情绪冲击']
C0920652	['刺激皮肤']
C0920703	['胃肠道征']
C0920778	['小脑共济失调\\/运动障碍']
C0946092	['胀气']
C0947749	['前眼结构改变、沉积和退化']
C0947785	['[D] 睡眠障碍（&[嗜睡]或[失眠]）']
C0947872	['直肠炎症']
C0947927	['意识障碍']
C0947967	['昏迷状态']
C0948070	['鼻炎']
C0948094	['懒惰']
C0948175	['输液相关症状']
C0948179	['术后便秘']
C0948184	['排序']
C0948236	['舌疹']
C0948239	['药物呕吐']
C0948282	['结膜泡']
C0948283	['角膜水泡']
C0948285	['角膜纹']
C0948289	['德伦']
C0948290	['盖边缘放电']
C0948291	['睑板腺分泌物']
C0948293	['玻璃纤维蛋白']
C0948294	['眼睑边缘结痂']
C0948307	['鼻内麻木']
C0948377	['Xyphoid收缩']
C0948378	['锁骨上缩窄']
C0948391	['儿童惊厥']
C0948394	['化疗后呕吐']
C0948396	['频繁头痛（发现）']
C0948399	['感觉异常耳']
C0948414	['直肠后头痛']
C0948426	['肠蠕动增加']
C0948427	['肠蠕动减少']
C0948430	['硬化；肝脏']
C0948431	['部分传导性耳聋']
C0948470	['膈痛']
C0948484	['肛门不适']
C0948521	['嘴痒']
C0948523	['终点运球']
C0948525	['肌肉骨骼僵硬']
C0948594	['肌肉骨骼不适']
C0948595	['眼睛不适']
C0948596	['副鼻窦不适']
C0948602	['结膜混浊']
C0948628	['痔疮出血摩擦摩擦']
C0948665	['男性乳痛']
C0948687	['下肢肌痛']
C0948698	['冠状动脉痉挛性心绞痛']
C0948708	['晶状体多色']
C0948709	['鼻甲水肿']
C0948733	['腹部痉挛']
C0948773	['滴注部位烧伤']
C0948775	['高重量']
C0948781	['眼血管破裂']
C0948785	['眼睑边缘充血']
C0948786	['脸发白']
C0948825	['Systremma']
C0948841	['踝水肿']
C0948842	['单侧腿痛']
C0948843	['放射痛']
C0948844	['刺痛']
C0948847	['毛茸茸的皮肤瘙痒']
C0948852	['急性腰痛']
C0948858	['直立式预同步器']
C0948872	['男性生殖器感觉异常']
C0948874	['阴茎感觉异常']
C0948890	['根据麦格纳']
C0948992	['下肢感觉异常']
C0948999	['尿路症状和体征']
C0949062	['围绝经期症状']
C0949067	['呕吐片']
C0949068	['滴注部位刺痛']
C0949070	['上呼吸道充血']
C0949075	['慢性腰痛']
C0949092	['活检后疼痛']
C0949094	['胀气、腹胀和腹胀']
C0949105	['科普征']
C0995154	['疼痛，没有其他分类']
C1095926	['阿米米亚']
C1096020	['分泌物排出']
C1096081	['骨肿胀']
C1096082	['食道不适']
C1096220	['大便中的药物']
C1096228	['喉部不适']
C1096234	['肝周不适']
C1096235	['绝经前（症状）']
C1096245	['步态偏差']
C1096250	['肠胃不适']
C1096252	['心脏不适']
C1096257	['牙齿不适']
C1096275	['支气管分泌物粘度增加']
C1096277	['支气管分泌减少']
C1096300	['生殖器烧伤']
C1096354	['脐带红斑']
C1096378	['差点错过的小岛屿发展中国家']
C1096446	['轻微发烧']
C1096448	['支气管肺病']
C1096545	['大便胶囊']
C1096590	['腹股沟不适']
C1096591	['臀部不适']
C1096593	['肩部不适']
C1096594	['肠道不适']
C1096596	['足部不适']
C1096605	['术后髋关节疼痛']
C1096625	['疲惫思想的']
C1096628	['胎儿室上性心动过速']
C1096640	['吸入毒品后咳嗽']
C1096717	['注射痛']
C1112182	['帕金森休息性震颤']
C1112214	['外阴阴道瘙痒']
C1112262	['组织缺氧']
C1112274	['生殖器分泌物']
C1112320	['温度不耐受（症状）']
C1112500	['皮肤帐篷']
C1112506	['镰状心绞痛']
C1112509	['尿毒症气味']
C1112513	['前庭炎']
C1112519	['血清学引流']
C1112520	['肾周疼痛']
C1112560	['化疗后腹泻']
C1112616	['本体感觉丧失']
C1112666	['呼吸运动障碍']
C1112735	['粘膜皮疹']
C1112757	['左臂放射性胸痛']
C1112759	['辐射后腹泻']
C1112766	['额头肿胀']
C1112773	['术后腹泻']
C1135120	['突破性疼痛（发现）']
C1141959	['心肌缺血的心电图征象']
C1142035	['高动力性心前区']
C1142068	['脂弓']
C1142073	['喉刺激']
C1142082	['子宫颈痛']
C1142144	['丙酮中毒性呕吐']
C1142176	['医疗器械疼痛']
C1142209	['造口部位疼痛']
C1142236	['疼痛脊根']
C1142237	['肝胆疼痛']
C1142245	['第二心音的反常分裂']
C1142260	['会阴灼烧感']
C1142295	['药物性咳嗽']
C1142327	['肝脱垂']
C1142349	['眼睑疼痛']
C1142357	['症状性高乳酸血症']
C1142383	['乳房张力']
C1142386	['喉痒']
C1142390	['短暂性视力损害']
C1142394	['注射部位痛觉减退']
C1142396	['局部瘙痒']
C1142414	['眼压感']
C1142421	['子宫附件压痛']
C1142524	['无症状高乳酸血症']
C1142568	['胸压用力']
C1142576	['失去空虚的欲望']
C1142579	['复仇女神']
C1148477	['突发性耳聋']
C1167676	['先天性视力下降']
C1167706	['血液透析诱发症状']
C1167951	['鼻咽反流']
C1168149	['口周刺痛']
C1168179	['西伯利亚']
C1168185	['躺下时呼吸困难（症状）']
C1168188	['头痛来来往往（反复发作）']
C1168214	['术后压痛']
C1168227	['兴奋性皮肤综合征']
C1168240	['灌注部位浸润']
C1168279	['肉痛']
C1168282	['移植疼痛']
C1168283	['移植压痛']
C1168304	['无声']
C1168316	['静脉穿刺部位发红']
C1168325	['餐后呕吐']
C1168343	['喉咙麻木']
C1257861	['结肠惯性']
C1260880	['卡他；鼻腔']
C1261963	['乳汁停滞']
C1261981	['局部荨麻疹']
C1262019	['尿毒症瘙痒']
C1262022	['冻结现象']
C1262038	['术后恶心']
C1262119	['无价值事件']
C1262130	['对疼痛刺激无反应']
C1262144	['支气管分泌物增多']
C1262148	['握力下降']
C1262223	['隐匿性眼痛']
C1262279	['脊髓麻醉引起的短暂神经根刺激']
C1262300	['生殖器感觉减退']
C1262304	['味觉鼻漏']
C1262535	['肝细胞性黄疸（疾病）']
C1268578	['腭轻瘫（发现）']
C1268585	['颅内疾病引起的头痛（发现）']
C1268587	['雅各布森神经痛']
C1268591	['象限暗点（发现）']
C1268593	['代谢性老年性聋（疾病）']
C1268594	['机械性老年性聋（紊乱）']
C1269642	['转移性疼痛（发现）']
C1274923	['皮肤痛觉过敏（发现）']
C1274924	['皮肤痛觉超敏（发现）']
C1274925	['皮肤疼痛']
C1274926	['皮肤刺痛']
C1274927	['皮肤形成（发现）']
C1277287	['短暂性感觉异常']
C1277290	['青春期乳痛（发现）']
C1277295	['咳嗽热']
C1277590	['不明原因咳嗽（发现）']
C1277598	['间歇性嗜睡（发现）']
C1277603	['饮酒后淋巴结疼痛（发现）']
C1277643	['顽固性乳房疼痛（发现）']
C1277645	['持续性乳痛（发现）']
C1277673	['裂趾甲']
C1279511	['疟疾色素沉积（疾病）']
C1280008	['腹部心绞痛（疾病）']
C1281941	['妊娠早期腹痛']
C1282002	['腹痛-原因不明（发现）']
C1282197	['与隐形眼镜相关的红眼（疾病）']
C1282310	['间歇性疼痛（发现）']
C1282322	['急性盆腔疼痛']
C1282799	['阴茎肿胀（紊乱）']
C1285747	['耳臭']
C1286433	['头痛特征的发现（发现）']
C1287517	['发热模式的发现（发现）']
C1287526	['发热期的发现（发现）']
C1287577	['视网膜总体外观的发现（发现）']
C1287969	['Lasegue试验的发现']
C1288081	['炎症性睾丸肿块（疾病）']
C1290643	['与口腔卫生不良（紊乱）相关的牙齿外源性染色']
C1290644	['与口腔习惯（紊乱）相关的牙齿外源性染色']
C1290771	['口腔前庭水肿（紊乱）']
C1290999	['弗罗门特征']
C1291077	['腹胀']
C1291078	['上腹部不适']
C1292420	['常见眼部和\\/或眼睑症状（导航概念）']
C1299637	['绞痛性下腹部疼痛（发现）']
C1300119	['全身绞痛性腹痛']
C1301340	['脐带紊乱']
C1301639	['分娩疼痛']
C1301797	['诱发性低温（发现）']
C1301801	['剖宫产区域麻醉期间的疼痛']
C1302160	['非代偿性吞咽障碍（发现）']
C1304408	['荨麻疹性血管炎（疾病）']
C1306878	['更年期不适']
C1313952	['周期性呼吸（物理发现）']
C1313960	['败血症相关性低血压']
C1319921	['无法一口气完成一个句子（查找）']
C1321324	['布伦斯眼球震颤（诊断）']
C1321325	['椭圆眼震（诊断）']
C1321587	['深呼吸']
C1321898	['血液（在）；粪便']
C1328286	['口吐白沫（发现）']
C1328308	['上呼吸道分泌物增多']
C1328466	['咽喉感觉障碍']
C1328497	['猩红热样皮疹']
C1328513	['结膜下红肿']
C1328533	['恶臭性肠胃胀气']
C1328534	['臭味打嗝']
C1328569	['耳后痛']
C1331400	['淋巴\\/免疫机制症状\\/投诉其他']
C1331402	['避孕女性其他']
C1331403	['不孕\\/生育能力低下女性']
C1331405	['功能受限\\/残疾（Z）']
C1332239	['气味或味道的变化']
C1332855	['心血管系统症状和体征']
C1333034	['慢性癌痛']
C1333310	['肠功能紊乱']
C1333389	['内分泌系统症状和体征']
C1333811	['生殖或生殖的迹象和症状']
C1334192	['皮肤系统症状和体征']
C1334804	['运动表现']
C1335944	['感官表现']
C1336953	['通气或灌注迹象和症状']
C1336970	['视觉表现']
C1377828	['副肿瘤性眼阵挛性共济失调']
C1384488	['呼吸受限']
C1384493	['卡他']
C1385682	['腹部的下腹、盆腔或会阴疼痛']
C1385756	['不正常的临床表现']
C1386058	['恶化普通物理']
C1386209	['呼吸的空气恶臭的']
C1386210	['呼吸的空气霍尔德，癫痫发作']
C1386211	['呼吸的空气霍尔德，孩子']
C1386212	['呼吸异常']
C1386215	['呼吸麻痹']
C1386227	['呼吸系统；症状']
C1386292	['腺样体；出血']
C1386344	['腺病；腹股沟']
C1386346	['腺病；纵隔']
C1386351	['腺病；肠系膜']
C1386353	['腺病；气管支气管']
C1386605	['失音；有机的']
C1386619	['排出尿过多']
C1387107	['共济失调；全体的']
C1387109	['充血性；全体的']
C1387113	['全体的症状一般感知和感觉']
C1387174	['交替；脉搏']
C1387638	['麻醉局部皮肤损伤']
C1387770	['心绞痛；从头开始的努力']
C1387772	['心绞痛；梗死前']
C1387773	['心绞痛；与努力相关的进步']
C1388031	['厌食症；象限']
C1388133	['无尿；磺胺类药物，正确的药物']
C1388375	['心律失常；心率异常（作为症状）']
C1388902	['能量不足']
C1388933	['无神论；单方面的']
C1388945	['无张力；消化不良']
C1389183	['自动消化']
C1389192	['自毒血症']
C1389583	['温和的咕哝']
C1389591	['限制视野']
C1389649	['传送威胁']
C1389652	['传送妊娠37周或37周后受到威胁']
C1389653	['传送在怀孕37周之前就有威胁了']
C1389671	['传送发烧']
C1389711	['麻痹颤抖']
C1389772	['移动张力障碍运动']
C1389777	['知道症状']
C1390037	['血角膜']
C1390051	['血压低，偶然阅读，无低血压诊断']
C1390183	['出血经间期']
C1390310	['出血乳头']
C1390319	['出血经间期子宫（常规）']
C1390438	['胸部充血性']
C1390877	['腹部鼓室']
C1391707	['c、 怀孕；假产']
C1391732	['恶性肿瘤引起的恶病质（发现）']
C1391755	['盲肠；疼痛']
C1392131	['卡他；狂热的']
C1392135	['卡他；咽']
C1392242	['大脑的抑郁症']
C1392251	['大脑的机能减退']
C1392274	['大脑的偏瘫']
C1392510	['乔迪；淋球菌']
C1392633	['乳糜尿；非丝虫的']
C1392787	['认知功能；症状']
C1392843	['冒号抽筋']
C1392851	['冒号疼痛']
C1393295	['难题；起搏器，疼痛']
C1393776	['便秘；药物，正确的物质，正确的管理']
C1393964	['角膜；沉积在旧疤痕中的含铁血黄素']
C1394036	['肥胖']
C1394289	['发绀；视网膜']
C1394765	['新发性心绞痛']
C1394864	['腹部僵硬；严重腹痛']
C1395296	['身体的解体']
C1395297	['迷失方向视力']
C1395353	['膈膜痉挛']
C1395829	['压力收缩功能减退偶发阅读，无低血压诊断']
C1395946	['食欲减退']
C1395965	['呼吸困难；过度换气']
C1396024	['子痫；怀孕，有高血压病史']
C1396398	['情绪状态；症状']
C1396733	['咳嗽流行病']
C1396873	['喷发环绕']
C1397014	['不平衡']
C1397020	['不平衡姿势']
C1397022	['不平衡迷宫']
C1397229	['费布里库拉']
C1397263	['现象血管舒缩']
C1397682	['磷血症']
C1397829	['频率排尿，尿痛']
C1397859	['功能障碍；生理学']
C1397891	['降低；功能性活动']
C1397923	['生理学功能紊乱']
C1398083	['激动的状态']
C1398152	['缺乏；反应、行为']
C1398200	['行为反应差']
C1398206	['行为缓慢的']
C1398207	['行为缓慢']
C1398282	['广义的；混乱、疼痛']
C1398289	['皱纹；指甲']
C1398352	['耦合节奏']
C1398357	['本地化；颈部肿块']
C1398358	['本地化；团块，头']
C1398361	['本地化；颈部肿块']
C1398362	['本地化；弥撒，头']
C1398372	['本地化；颈部肿胀']
C1398452	['咕哝心脏瓣膜']
C1398453	['心脏瓣膜；低语，无辜的']
C1398454	['咕哝无机']
C1398536	['裂口尿流']
C1398545	['感觉焦虑']
C1398548	['混乱感觉，皮肤']
C1398551	['失去知觉']
C1398552	['感觉减少']
C1398595	['影响；类固醇，发烧，正确的药物，正确的管理']
C1398624	['c、 怀孕；体重增加不足']
C1398664	['视野；残疾']
C1398665	['畸形；视野']
C1398667	['视力视野']
C1398734	['腺体的；肥大']
C1398935	['大马尔；癫痫发作']
C1399000	['发育疼痛，孩子们']
C1399101	['宫颈腺；增生']
C1399104	['宫颈腺；肿胀 的']
C1399115	['手麻痹']
C1399271	['血淋巴液；血球计']
C1399272	['血淋巴液；输卵管积血']
C1399273	['血淋巴液；输卵管出血']
C1399274	['血源性；震惊']
C1399277	['血液计；输卵管积血']
C1399278	['血液计；输卵管积血伴输卵管积血']
C1399331	['血尿；特发性']
C1399340	['血尿；突发性']
C1399350	['无神论偏瘫']
C1399355	['半感觉减退']
C1399357	['半感觉异常']
C1399359	['偏瘫；低渗']
C1399363	['偏瘫；痉挛性、先天性或婴儿性']
C1399371	['半震颤']
C1399419	['输卵管出血；血球计']
C1399420	['输卵管出血；血计，带血腔']
C1399662	['希德罗']
C1399669	['门腺；肥大']
C1399715	['咳嗽喉']
C1399716	['咳嗽焦虑的']
C1399780	['敏感性；皮肤病']
C1399787	['改变皮']
C1399955	['呕吐；因其他疾病导致的妊娠']
C1400026	['呼吸过度；手足抽搐']
C1400047	['高血压分娩、子痫、子痫剖宫产']
C1400298	['肺淤滞；消极的']
C1400299	['充血性；实体的']
C1400305	['体温过低；低环境温度']
C1400318	['低渗；截瘫']
C1400319	['低渗；四肢瘫痪']
C1400444	['不足的肺功能']
C1400453	['发烧空虚']
C1401083	['不足；有机的']
C1401094	['不足；呼吸']
C1401104	['不足；尿道括约肌']
C1401125	['发烧断断续续的，来历不明的']
C1401249	['充血性；内脏器官']
C1401250	['痉挛内脏']
C1401289	['生气焦虑的']
C1401304	['坐骨；疼痛']
C1401309	['伊斯库里亚']
C1401357	['发烧碘，正确的物质，正确的管理']
C1401601	['角膜偏盲']
C1401639	['小孩绞痛']
C1401655	['鸽胸或鸽胸；佝偻病的']
C1401678	['腺体；局部肿胀']
C1401681	['临床的发现异常（非实验室）']
C1401722	['绞痛；抽筋']
C1401724	['绞痛；断断续续的']
C1401750	['发烧类固醇，正确的物质，正确的管理']
C1401789	['冷感；增加']
C1401823	['抽筋；子宫']
C1402130	['下背部；肌筋膜炎']
C1402131	['腰痛；骶髂关节']
C1402890	['姿势放松']
C1402997	['角膜缘；色素沉着']
C1403039	['利普里亚']
C1403155	['水肿；终末期肺']
C1403173	['渗出液；肺']
C1403230	['腰部；疼痛']
C1403546	['乳房充血性']
C1403551	['乳房增厚']
C1403584	['大量的肌阵挛']
C1403989	['掌指；疼痛']
C1403999	['跖趾；疼痛']
C1404297	['劳作；呼吸的']
C1404409	['倍数黄瘤']
C1404572	['n、 坐骨；神经炎']
C1404807	['肾痛']
C1404860	['颈背；疼痛']
C1404861	['颈背；不易弯曲的']
C1404887	['焦虑的问题']
C1404891	['耳朵神经痛']
C1404995	['变态嗅觉和味觉']
C1405025	['疼痛一般医疗状况']
C1405030	['疼痛尿频']
C1405031	['神经肌肉痛']
C1405032	['下腹部；骨盆或会阴疼痛']
C1405033	['过敏；疼痛']
C1405035	['疼痛心包']
C1405036	['疼痛类风湿']
C1405038	['疼痛胸部缺血']
C1405039	['疼痛胸，胸，前壁']
C1405040	['疼痛胸部，胸部，脊柱']
C1405043	['疼痛椎源性']
C1405048	['疼痛障碍；一般医疗状况']
C1405422	['婴儿易怒的孩子']
C1405430	['婴儿易怒']
C1405463	['喂养；问题，新生儿，喂养不足']
C1405464	['喂养；问题，新生儿，过度喂养']
C1405465	['喂养；问题，新生儿，慢']
C1405660	['混乱精神病，一般疾病，伴有幻觉']
C1405833	['肺充血']
C1406072	['演讲者的喉咙']
C1406074	['现象血管迷走神经']
C1406182	['住宅；尿的']
C1406185	['呼吸不足或差']
C1406291	['嗅觉和味觉；变态的']
C1406292	['混乱气味和味道（混合）']
C1406293	['混乱气味，完全（嗅觉缺失）']
C1406294	['丧失气味和味道混合在一起']
C1406302	['神经炎；类风湿']
C1406660	['症状；一般感知和感觉']
C1406663	['投诉；肾']
C1406665	['知觉症状']
C1406668	['症状；食物和液体摄入']
C1406671	['晕厥；血管收缩']
C1406738	['综合征椎源性']
C1406740	['前胸壁；综合征']
C1406798	['呼吸急促；短暂的']
C1406961	['抽搐；非典型性多鲁鲁']
C1406982	['不安；状态']
C1406997	['增厚的舌头']
C1407014	['拓扑学']
C1407024	['停滞期毒血症']
C1407027	['疲劳毒血症']
C1407055	['喂养；缓慢的']
C1407163	['帕金森氏症；震颤']
C1407990	['输尿管痛']
C1408032	['过分的尿分泌']
C1408050	['丘疹；荨麻疹']
C1408158	['神经肌痛']
C1408330	['肾结石；绞痛']
C1408360	['非有机起源；咕哝']
C1408508	['眼睛疲劳；疲劳']
C1408558	['营养不良新生儿']
C1408578	['不协调；演讲']
C1408658	['响应性缺乏']
C1408695	['不充分的尿分泌']
C1408758	['眼睛紧张']
C1408771	['室平的']
C1408810	['耳鸣']
C1409026	['过度活跃']
C1409399	['周期性呼吸的']
C1409712	['敏感的腹部']
C1409715	['改变感觉的']
C1409846	['味觉和嗅觉；道德败坏的']
C1410075	['胸骨痛']
C1410714	['疫苗脑膜炎']
C1410756	['瀑布；运动的']
C1410757	['瀑布；神经系统的']
C1410765	['静脉曲张；合并妊娠、阴唇或外阴']
C1410859	['热感；增加']
C1410896	['控制肛门括约肌丧失']
C1410958	['窒息咒语']
C1410991	['过分的脂肪']
C1411073	['液体胎儿或新生儿死亡']
C1411086	['食物摄入、症状']
C1411328	['虚弱的呼吸']
C1411464	['怀孕交付，威胁']
C1411465	['怀孕妊娠37周或37周后威胁分娩']
C1411466	['怀孕妊娠37周前分娩，威胁分娩']
C1411478	['怀孕其他分类疾病引起的呕吐']
C1411499	['怀孕抽搐（惊厥性）（尿毒症）']
C1411586	['怀孕高血压，伴有子痫，高血压，既往存在']
C1411744	['怀孕静脉曲张、静脉曲张、阴唇曲张']
C1411745	['怀孕静脉曲张']
C1411946	['腹部的剧烈疼痛']
C1442808	['上升性偏瘫']
C1442877	['皮肤疼痛（发现）']
C1443044	['恶心的袭击']
C1443060	['感觉异常（发现）']
C1443924	['严重腹泻（发现）']
C1444779	['按感觉质量划分的疼痛（发现）']
C1446787	['抽筋感觉质量（限定值）']
C1456399	['压碎感质量（限定值）']
C1457887	['症状']
C1504325	['气道出血']
C1504373	['大便不规则']
C1504376	['对语言刺激无反应']
C1504388	['易患疾病']
C1504390	['奥特纳综合征']
C1504440	['滴注部位红斑']
C1504453	['植入部位感觉异常']
C1504455	['植入部位瘙痒']
C1504493	['髂腰肌综合征']
C1504494	['四肢刺痛']
C1504509	['局部肌肉疼痛']
C1504560	["L'Hermitte综合征"]
C1504570	['滴注部位发红']
C1510416	['咖啡渣呕吐']
C1510450	['听觉知觉障碍']
C1510453	['劳损症状']
C1510666	['投诉\\/投诉；阴户']
C1511887	['诊断或预后因素']
C1517205	['闪耀']
C1527384	['不由自主的颤抖']
C1533266	['不正常的心律，心脏（症状）']
C1533281	['神经系统的紊乱（症状）']
C1533286	['疼痛上腹部']
C1534968	['四肢疼痛脚趾头']
C1535964	['胆汁淤积性瘙痒（疾病）']
C1535974	['阴道胀气']
C1535975	['骨盆不适']
C1536047	['嘴唇脱皮（物理检查）']
C1536051	['粘膜脱落']
C1536052	['口腔粘膜脱落']
C1536053	['舌头脱皮（物理检查）']
C1536074	['骨关节痛']
C1536076	['岔气']
C1536086	['眼睛麻木']
C1536087	['阴性肌阵挛']
C1536088	['阳性肌阵挛']
C1536116	['头姿势异常（症状）']
C1536136	['神经状态恶化']
C1536168	['慢性盆腔疼痛综合征']
C1536178	['爪痛']
C1536180	['难治性心绞痛']
C1536388	['科比的标志——臀部\\/骨盆']
C1561813	['失眠伴睡眠呼吸暂停，未明']
C1561815	['嗜睡伴睡眠呼吸暂停，未明']
