C0000742	['阿贝尔森白血病病毒']
C2305245	['黄麻黄花叶病毒']
C2305246	['瓜类pepo begomovirus-Gorakhpur']
C2305248	['唐菖蒲potyvirus-Pantnagar']
C2305249	['块茎玫瑰马铃薯Y病毒-Pantnagar']
C2305374	['汉坦病毒sdp1']
C2305375	['汉坦病毒sdp22']
C2305376	['汉坦病毒sdp3']
C2305377	['汉坦病毒sdp37']
C2305411	['埃拉格罗斯条纹病毒']
C2305514	['细毛壳绦虫RNA病毒01']
C2305575	['汉坦病毒AC210py']
C2305576	['汉坦病毒1例']
C2305577	['汉坦病毒病例Itapua']
C2305587	['菠萝粉蚧枯萎相关病毒-4']
C2305593	['鹰嘴豆褪绿矮苏丹病毒']
C2305748	['燕麦矮缩病毒']
C2305750	['心精黄叶卷曲']
C2305765	['汉坦病毒sdp2 YXL-2008']
C2305766	['蝙蝠冠状病毒M.das\\/Germany\\/D2。2\\/2007']
C2305767	['蝙蝠冠状病毒M.das\\/Germany\\/D3。3\\/2007']
C2305768	['蝙蝠冠状病毒M.das\\/Germany\\/D3。4\\/2007']
C2305769	['蝙蝠冠状病毒M.das\\/Germany\\/D3。15\\/2007']
C2305770	['蝙蝠冠状病毒M.das\\/Germany\\/D3。5\\/2007']
C2305771	['蝙蝠冠状病毒M.das\\/Germany\\/D3。6\\/2007']
C2305772	['蝙蝠冠状病毒M.das\\/Germany\\/D3。28\\/2007']
C2305773	['蝙蝠冠状病毒M.das\\/Germany\\/D3。10\\/2007']
C2305774	['蝙蝠冠状病毒M.das\\/Germany\\/D5。17\\/2007']
C2305775	['蝙蝠冠状病毒M.das\\/Germany\\/D3。33\\/2007']
C2305776	['蝙蝠冠状病毒M.das\\/Germany\\/D3。38\\/2007']
C2305777	['蝙蝠冠状病毒P.nat\\/Germany\\/D5。16\\/2007']
C2305778	['蝙蝠冠状病毒M.bec\\/Germany\\/D6。6\\/2007']
C2305779	['蝙蝠冠状病毒M.dau\\/Germany\\/D7。3\\/2007']
C2305780	['蝙蝠冠状病毒P.pyg\\/Germany\\/D5。70\\/2007']
C2305781	['蝙蝠冠状病毒P.pyg\\/Germany\\/D5。71\\/2007']
C2305782	['蝙蝠冠状病毒P.nat\\/Germany\\/D5。73\\/2007']
C2305783	['蝙蝠冠状病毒P.pyg\\/Germany\\/D5。85\\/2007']
C2305784	['蝙蝠冠状病毒M.dau\\/Germany\\/D8。46\\/2007']
C2305785	['蝙蝠冠状病毒M.dau\\/Germany\\/D8。45\\/2007']
C2305786	['蝙蝠冠状病毒M.dau\\/Germany\\/D8。42\\/2007']
C2305787	['蝙蝠冠状病毒M.dau\\/Germany\\/D8。38\\/2007']
C2305788	['蝙蝠冠状病毒M.dau\\/Germany\\/D8。32\\/2007']
C2305792	['香蕉束顶病毒']
C2305793	['香蕉束顶病毒卫星S2']
C2306138	['埃米利亚黄脉病毒']
C2306192	['轮状病毒属PA169']
C2306334	['嗜盐单胞菌噬菌体phiHAP-1']
C2306360	['查帕雷马伦那病毒']
C2306617	['草莓crinivirus 3']
C2306717	['番茄双生病毒T217L']
C2307702	['乳酸乳球菌噬菌体asccphi28']
C2308057	['火烈鸟痘病毒']
C2308196	['假单胞菌噬菌体PAJU2']
C2308243	['蚕豆隐匿病毒M']
C2308433	['猪副流感病毒3']
C2309136	['番茄曲叶宿务病毒']
C2309137	['番茄曲叶Cotabato病毒']
C2309138	['番茄卷叶棉兰老病毒']
C2309392	['里贝斯病毒F']
C2309422	['梅斯塔黄脉花叶病毒']
C2309604	['甜菜隐性病毒1']
C2309810	['甘薯病毒B1']
C2310132	['甘薯病毒B2']
C2310133	['甘薯病毒B3']
C2310562	['嗜酸性丝状病毒9']
C2310644	['汉坦病毒H156']
C2310645	['汉坦病毒H158']
C2310646	['汉坦病毒H162']
C2310805	['汉坦病毒NB2']
C2310806	['汉坦病毒NB5']
C2310807	['汉坦病毒NB8']
C2310808	['汉坦病毒NB9']
C2310841	['未分类藤本病毒']
C2310842	['拉米叶畸变相关病毒']
C2310937	['紫茎泽兰静脉清除病毒']
C2310938	['马鞭草病毒']
C2311481	['马匹斑马gammaherpesvirus 1']
C2311484	['赛米里sciureus gammaherpesvirus 2']
C2312105	['秋葵曲叶']
C2312202	['水呼肠孤病毒G']
C2312204	['辣椒曲叶云南病毒卫星DNAβ']
C2312310	['未分类斐济病毒']
C2312311	['水稻南方黑条矮缩病毒']
C2312312	['厄瓜多尔罗科托病毒']
C2312971	['不分青虫核型多角体病毒']
C2313444	['草莓crinivirus 4']
C2313569	['马蹄莲轻度花叶病毒-新西兰']
C2313664	['Gammapapillomavirus 5']
C2313837	['噬菌体PY100']
C2313852	['泛珠鼠鼠李病毒2型']
C2314260	['嗜酸性丝状病毒3']
C2314261	['嗜酸性丝状病毒6']
C2314262	['嗜酸性丝状病毒7']
C2314263	['嗜酸性丝状病毒8']
C2314593	['巨静脉病真菌病毒dsRNA 1']
C2314594	['巨静脉病真菌病毒dsRNA 2']
C2348179	['NTX-010']
C2364024	['马流感病毒A1']
C2364033	['腺病毒40+41']
C2598013	['流感病毒A.金刚烷耐药性']
C2599948	['狂犬病病毒株']
C2613547	['单链DNA病毒']
C2613552	['山羊gammaherpesvirus 2']
C2613561	['猛禽腺病毒A']
C2613579	['未分类的环状病毒']
C2613581	['未分类副粘病毒科']
C2613589	['未分类囊病毒科']
C2613620	['未分类丝状病毒']
C2613693	['噬菌体APSE-2']
C2613957	['伊朗玉米花叶病核弹状病毒']
C2614177	['布干维尔褪绿脉带病毒']
C2614251	['家蚕浓核病毒6']
C2614510	['马蹄莲轻度花叶病毒']
C2614687	['元病毒']
C2614688	['乌尔米病毒']
C2614689	['欧米娅瓜病毒']
C2615382	['噬菌体Swp3']
C2615819	['山药豆花叶病毒']
C2616339	['金黄色葡萄球菌噬菌体phi2958PVL']
C2617262	['斯特勒海狮病毒']
C2617980	['莴苣X病毒']
C2618002	['杏褪绿叶斑病毒']
C2618190	['甘薯双生病毒']
C2618301	['科蒂西亚芝麻科布拉克病毒']
C2618830	['磺荚纺锤状病毒5']
C2619031	['汉坦病毒R11']
C2619032	['汉坦病毒R142']
C2619033	['汉坦病毒R150']
C2619034	['汉坦病毒R165']
C2619035	['汉坦病毒R167']
C2619036	['汉坦病毒R34']
C2619132	['鹰嘴豆褪绿矮缩病毒']
C2619295	['澳大利亚鲈鱼神经坏死病毒']
C2619296	['梭鱼神经坏死病毒']
C2619297	['梭鱼神经坏死病毒']
C2619298	['河口鳕鱼神经坏死病毒']
C2619299	['昏睡鳕鱼神经坏死病毒']
C2619300	['条纹喇叭神经坏死病毒']
C2619708	['大西洋鳕鱼betanodavirus Ac06NorE']
C2619709	['大西洋鳕鱼betanodavirus Ac06NorPm']
C2619710	['大西洋鳕鱼betanodavirus Ac06NorPmA']
C2619711	['大西洋鳕鱼betanodavirus Ac06NorPmB']
C2619712	['大西洋鳕鱼betanodavirus Ac06NorPp']
C2619713	['大西洋鳕鱼betanodavirus Ac06NorPpA']
C2619714	['大西洋鳕鱼betanodavirus Ac06NorPpB']
C2619715	['大西洋鳕鱼betanodavirus Ac06NorT']
C2619833	['牛痘痘苗病毒']
C2620055	['禽痘病毒分离物1739\\/2006']
C2620056	['禽痘病毒分离株2634\\/1998']
C2620057	['禽痘病毒PM33\\/2007分离株']
C2620058	['禽痘病毒PM34\\/2007分离株']
C2620059	['禽痘病毒PM9\\/2007分离物']
C2620281	['哈氏疟原虫A病毒']
C2620542	['未分类的Deltapapillomavirus']
C2620795	['阿米·马朱斯潜伏病毒']
C2620946	['甜瓜蚜传黄色病毒']
C2621284	['链球菌噬菌体NZ131。1.']
C2621285	['链球菌噬菌体NZ131。2.']
C2621286	['链球菌噬菌体NZ131。3.']
C2621622	['玫瑰春矮缩相关病毒']
C2621728	['甜菜乳腺病毒SK-11']
C2622455	['巴克吉病毒']
C2622528	['鸡温和花叶病毒']
C2622826	['猴T细胞嗜淋巴病毒6']
C2623280	['未分类的类Mu病毒']
C2623281	['噬菌体苏木']
C2624197	['猴T细胞嗜淋巴病毒5']
C2624346	['泰森林病毒B31']
C2624480	['葡萄球菌噬菌体phiMR25']
C2624481	['布鲁格曼氏菌斑点病毒']
C2626900	['大豆斑点花叶病毒']
C2627911	['乳酸杆菌噬菌体Lrm1']
C2628370	['聚球菌噬菌体S-PMW2']
C2628371	['聚球菌噬菌体SPGM99-02']
C2628372	['聚球菌噬菌体SPGM99-07']
C2628373	['聚球菌噬菌体SPGM99-10']
C2628374	['聚球菌噬菌体SPGM99-12']
C2628375	['聚球菌噬菌体SPGM99-14']
C2628376	['聚球菌噬菌体SPGM99-15']
C2628377	['聚球菌噬菌体SPGM99-16']
C2628378	['聚球菌噬菌体SPGM99-20']
C2628379	['聚球菌噬菌体SPGM99-21']
C2628380	['聚球菌噬菌体SPGM99-24']
C2628381	['聚球菌噬菌体SPGM99-27']
C2628382	['聚球菌噬菌体SPGM99-28']
C2628383	['聚球菌噬菌体SPGM99-29']
C2628384	['聚球菌噬菌体SPGM99-30']
C2628385	['聚球菌噬菌体SPGM99-31']
C2628386	['聚球菌噬菌体SPGM99-39']
C2628840	['Bandicoot乳头状瘤病癌病病毒2型']
C2629346	['未分类Sobemovirus']
C2629515	['鸡细小病毒ABU\\/84']
C2629565	['人鼻病毒GA2357']
C2629566	['人鼻病毒GA23582']
C2629567	['人鼻病毒GA23584']
C2629568	['人鼻病毒GA23587']
C2629569	['人鼻病毒GA23592']
C2629570	['人鼻病毒GA23597']
C2629571	['人鼻病毒GA23614']
C2629572	['人鼻病毒GA23615']
C2629573	['人鼻病毒GA23636']
C2629868	['噬菌体丙酸杆菌']
C2629869	['丙酸杆菌噬菌体PAD11']
C2629870	['丙酸杆菌噬菌体PAD13']
C2629871	['丙酸杆菌噬菌体PAD14']
C2629872	['丙酸杆菌噬菌体PAD17']
C2629873	['丙酸杆菌噬菌体PAD19']
C2629874	['丙酸杆菌噬菌体PAD2']
C2629876	['丙酸杆菌噬菌体PAD21']
C2629877	['丙酸杆菌噬菌体PAD22']
C2629878	['丙酸杆菌噬菌体PAD23']
C2629879	['丙酸杆菌噬菌体PAD24']
C2629880	['丙酸杆菌噬菌体PAD25']
C2629881	['丙酸杆菌噬菌体PAD28']
C2629882	['丙酸杆菌噬菌体PAD30']
C2629883	['丙酸杆菌噬菌体PAD35']
C2629884	['丙酸杆菌噬菌体PAD36']
C2629885	['丙酸杆菌噬菌体PAD38']
C2629886	['丙酸杆菌噬菌体PAD4']
C2629887	['丙酸杆菌噬菌体PAD40']
C2629888	['丙酸杆菌噬菌体PAD41']
C2629889	['丙酸杆菌噬菌体PAD42']
C2629890	['丙酸杆菌噬菌体PAD44']
C2629891	['丙酸杆菌噬菌体PAD45']
C2629892	['丙酸杆菌噬菌体PAD47']
C2629893	['丙酸杆菌噬菌体PAD48']
C2629894	['丙酸杆菌噬菌体PAD5']
C2629895	['丙酸杆菌噬菌体PAD6']
C2629896	['丙酸杆菌噬菌体PAD7']
C2629897	['丙酸杆菌噬菌体PAD8']
C2629898	['丙酸杆菌噬菌体PAD9']
C2629899	['丙酸杆菌噬菌体PAS10']
C2629900	['丙酸杆菌噬菌体PAS11']
C2629901	['丙酸杆菌噬菌体PAS12']
C2629902	['丙酸杆菌噬菌体PAS13']
C2629903	['丙酸杆菌噬菌体PAS16']
C2629904	['丙酸杆菌噬菌体PAS2']
C2629905	['丙酸杆菌噬菌体PAS22']
C2629906	['丙酸杆菌噬菌体PAS23']
C2629907	['丙酸杆菌噬菌体PAS24']
C2629908	['丙酸杆菌噬菌体PAS25']
C2629909	['丙酸杆菌噬菌体PAS26']
C2629910	['丙酸杆菌噬菌体PAS27']
C2629911	['丙酸杆菌噬菌体PAS29']
C2629912	['丙酸杆菌噬菌体PAS3']
C2629913	['丙酸杆菌噬菌体PAS30']
C2629914	['丙酸杆菌噬菌体PAS31']
C2629915	['丙酸杆菌噬菌体PAS35']
C2629916	['丙酸杆菌噬菌体PAS37']
C2629917	['丙酸杆菌噬菌体PAS39']
C2629918	['丙酸杆菌噬菌体PAS4']
C2629919	['丙酸杆菌噬菌体PAS40']
C2629920	['丙酸杆菌噬菌体PAS41']
C2629921	['丙酸杆菌噬菌体PAS42']
C2629922	['丙酸杆菌噬菌体PAS43']
C2629923	['丙酸杆菌噬菌体PAS44']
C2629924	['丙酸杆菌噬菌体PAS46']
C2629925	['丙酸杆菌噬菌体PAS47']
C2629926	['丙酸杆菌噬菌体PAS49']
C2629928	['丙酸杆菌噬菌体PAS52']
C2629929	['丙酸杆菌噬菌体PAS6']
C2629930	['丙酸杆菌噬菌体PAS7']
C2629931	['丙酸杆菌噬菌体PAS8']
C2629932	['丙酸杆菌噬菌体PAS9']
C2629963	['噬菌体MP29']
C2629964	['噬菌体MP38']
C2631101	['棉花轻度曲叶病毒']
C2631102	['陆地棉卷叶病毒']
C2631711	['戴维森棉无症状病毒']
C2631712	['棉霉无症状病毒']
C2631778	['金针菇等轴病毒']
C2631881	['菠萝杆状病毒']
C2632001	['红腹蛇葡萄核多角体病毒']
C2632155	['噬菌体AP50']
C2632235	['包括核型多角体病毒在内的假雨虫']
C2632304	['阿布蒂隆黄花叶病毒']
C2632362	['阿尔及利亚西瓜花叶病毒']
C2632374	['香菇香菇分枝病毒HKB']
C2632544	['汉坦病毒']
C2632545	['汉他病毒']
C2632683	['葡萄病毒E']
C2632706	['腺病毒Lopburi057\\/2006\\/THA']
C2632707	['腺病毒Lopburi070\\/2006\\/THA']
C2632708	['腺病毒Lopburi073\\/2006\\/THA']
C2632709	['腺病毒Lopburi078\\/2006\\/THA']
C2632712	['阿蒂巴什病毒']
C2632713	['阿尔泰病毒']
C2632846	['汉森德巴利酵母病毒JB-2008']
C2633466	['尿囊条纹病毒']
C2634526	['柯蒂斯亚裂殖子布拉克病毒']
C2634527	['黄鳍柯蒂斯茧状病毒']
C2634528	['黑角果茧蜂病毒']
C2634616	['白茅黄斑驳病毒']
C2634710	['弧菌噬菌体RRE-2008']
C2634723	['鸵鸟正呼肠病毒Ost1']
C2635202	['未分类乳腺星形细胞病毒']
C2635203	['猎豹星状病毒1']
C2635415	['气单胞菌噬菌体DH1']
C2635430	['番茄曲叶克曼病毒']
C2635695	['莱塞塔绿色疱疹病毒1']
C2636360	['水鸟病毒TAB98']
C2636489	['瑟朗病毒']
C2636625	['禽正呼肠孤病毒鹦鹉\\/SRK\\/德国\\/2007']
C2636724	['紫色软骨甾体隐匿病毒1']
C2636965	['Veltheimia病毒Y']
C2636977	['桑树小环状类病毒RNA 1']
C2637099	['烟草斑驳曲叶病毒']
C2638353	['肠杆菌噬菌体13a']
C2638356	['人鼻病毒7316563']
C2638357	['人鼻病毒DK-1']
C2638358	['人鼻病毒DK-30']
C2638359	['人鼻病毒DK-33']
C2638360	['人鼻病毒DK-42']
C2638361	['人鼻病毒HC85215']
C2638362	['人鼻病毒HC90837']
C2638363	['人鼻病毒HC90841']
C2638364	['人鼻病毒HC90893']
C2638365	['人鼻病毒SA365412']
C2638366	['人鼻病毒SA377120']
C2638367	['人鼻病毒SA434053']
C2638368	['人鼻病毒SA440023']
C2638369	['人鼻病毒SA442718']
C2638370	['人鼻病毒SO4302']
C2638371	['人鼻病毒SO4450']
C2638372	['人鼻病毒SO4463']
C2638373	['人鼻病毒SO4868']
C2638374	['人鼻病毒SO4895']
C2638375	['人鼻病毒SO4897']
C2639352	['美国紫穗槐核型多角体病毒']
C2640807	['马铃薯X病毒ST4']
C2640808	['马铃薯X病毒ST5']
C2640901	['玫瑰叶变形病毒']
C2641035	['人腺病毒G']
C2641036	['布氏菌黄斑病毒']
C2641037	['Sida普通花叶病毒']
C2641038	['斯达黄叶卷曲病毒']
C2641039	['番茄普通花叶病毒']
C2641040	['番茄叶片变形病毒']
C2641041	['番茄轻度花叶病毒']
C2641289	['噬氰剂P-RSM1']
C2641290	['噬藻体P-RSM2']
C2641292	['噬藻体P-RSM4']
C2641293	['噬藻体P-RSM5']
C2641294	['噬藻体P-SSM1']
C2641295	['噬藻体P-SSM10']
C2641296	['噬藻体P-SSM11']
C2641297	['噬藻体P-SSM12']
C2641298	['噬藻体P-SSM3']
C2641300	['噬藻体P-SSM6']
C2641301	['噬藻体P-SSM7']
C2641302	['噬藻体P-SSM8']
C2641303	['噬藻体P-SSM9']
C2641304	['噬氰剂P-ShM1']
C2641305	['噬藻体P-ShM2']
C2641306	['噬藻体S-SM1']
C2641307	['噬藻体S-SM2']
C2641308	['噬藻体S-SSM1']
C2641310	['噬藻体S-SSM3']
C2641311	['噬藻体S-SSM4']
C2641312	['噬藻体S-SSM5']
C2641313	['噬藻体S-SSM6']
C2641314	['噬藻体S-SSM7']
C2641315	['噬藻体S-ShM1']
C2641320	['噬藻综合征9']
C2641724	['茎叶杆状病毒']
C2641728	['卡尔伯塔多病毒']
C2641921	['人鼻病毒NH114']
C2641922	['人鼻病毒NH143']
C2641923	['人鼻病毒NH144']
C2641924	['人鼻病毒NH151']
C2641925	['人鼻病毒NH152']
C2641926	['人鼻病毒NH156']
C2641927	['人鼻病毒NH163']
C2641928	['人鼻病毒NH204']
C2641929	['人鼻病毒NH206']
C2641930	['人鼻病毒NH207']
C2641931	['人鼻病毒NH209']
C2641932	['人鼻病毒NH210']
C2641933	['人鼻病毒NH219']
C2641934	['人鼻病毒NH226']
C2641935	['人鼻病毒NH243']
C2641936	['人鼻病毒NH244']
C2641937	['人鼻病毒NH247']
C2641938	['人鼻病毒NH248']
C2641939	['人鼻病毒NH253']
C2641940	['人鼻病毒NH263']
C2641941	['人鼻病毒NH280']
C2641942	['人鼻病毒NH281']
C2641943	['人鼻病毒NH287']
C2641944	['人鼻病毒NH290']
C2641945	['人鼻病毒NH294']
C2641946	['人鼻病毒NH3030']
C2641947	['人鼻病毒NH3039']
C2641948	['人鼻病毒NH309']
C2641949	['人鼻病毒NH3131']
C2641950	['人鼻病毒NH3271']
C2641951	['人鼻病毒NH3285']
C2641952	['人鼻病毒NH329']
C2641953	['人鼻病毒NH3308']
C2641954	['人鼻病毒NH3328']
C2641955	['人鼻病毒NH334']
C2641956	['人鼻病毒NH3359']
C2641957	['人鼻病毒NH336']
C2641958	['人鼻病毒NH3463']
C2641959	['人类鼻病毒NH3500']
C2641960	['人鼻病毒NH3555']
C2641961	['人鼻病毒NH357']
C2641962	['人鼻病毒NH358']
C2641963	['人类鼻病毒NH3600']
C2641964	['人鼻病毒NH361']
C2641965	['人鼻病毒NH3629']
C2641966	['人鼻病毒NH363']
C2641967	['人鼻病毒NH3650']
C2641968	['人鼻病毒NH3671']
C2641969	['人鼻病毒NH3691']
C2641970	['人鼻病毒NH3736']
C2641971	['人鼻病毒NH3750']
C2641972	['人鼻病毒NH379']
C2641973	['人鼻病毒NH384']
C2641974	['人鼻病毒NH385']
C2641975	['人鼻病毒NH3866']
C2641976	['人鼻病毒NH3908']
C2641977	['人鼻病毒NH3924']
C2641978	['人鼻病毒NH3952']
C2641979	['人鼻病毒NH3963']
C2641980	['人鼻病毒NH3994']
C2641981	['人鼻病毒NH4010']
C2641982	['人鼻病毒NH4019']
C2641983	['人鼻病毒NH4032']
C2641984	['人鼻病毒NH4054']
C2641985	['人鼻病毒NH4065']
C2641986	['人鼻病毒NH4111']
C2641987	['人鼻病毒NH4130']
C2641988	['人鼻病毒NH4145']
C2641989	['人鼻病毒NH42']
C2641990	['人鼻病毒NH4215']
C2641991	['人鼻病毒NH4299']
C2641992	['人鼻病毒NH4331']
C2641993	['人鼻病毒NH4347']
C2641994	['人鼻病毒NH4367']
C2641995	['人鼻病毒NH4382']
C2641996	['人鼻病毒NH4443']
C2641997	['人鼻病毒NH4479']
C2641998	['人鼻病毒NH4508']
C2641999	['人鼻病毒NH4520']
C2642000	['人鼻病毒NH4545']
C2642001	['人鼻病毒NH53']
C2642002	['人鼻病毒NH62']
C2642003	['人鼻病毒NH70']
C2642004	['人鼻病毒NH71']
C2642005	['人鼻病毒NH94']
C2642006	['人鼻病毒Nh335']
C2642176	['噬菌体链球菌PH15']
C2642186	['TYLCV\\/TYLCSV重组Ragusa\\/2004']
C2642538	['噬菌体phiH5']
C2643132	['肠杆菌噬菌体CUS-3']
C2643461	['分枝杆菌噬菌体DD5']
C2643462	['贾斯珀菌噬菌体']
C2643463	['分枝杆菌噬菌体KBG']
C2643464	['洛克利分支杆菌噬菌体']
C2643465	['支原体噬菌体普科夫尼克']
C2643466	['可可坏死病毒']
C2643549	['Rock hyrax疱疹病毒HDZ 2007']
C2644441	['产气荚膜梭菌噬菌体39-O']
C2644888	['orana核型多角体病毒']
C2644971	['纳米病毒科']
C2644972	['SP6样噬菌体']
C2644976	['核盘菌核盘RNA病毒']
C2644978	['BPP-1样噬菌体']
C2644979	['类ε15噬菌体']
C2645146	['锌链格孢菌dsRNA元件']
C2645297	['沙罗病毒']
C2645376	['麻疯树卷叶病毒']
C2645393	['葡萄藤病毒99B\\/SdP2\\/South Africa\\/2008']
C2645417	['人乳头瘤病毒-分离株MM8']
C2645543	['加州蚊池病毒']
C2645544	['臭鼬正呼肠孤病毒']
C2645547	['Ananas元病毒pC17Dea2']
C2645602	['伊庇鲁斯樱桃病毒']
C2645635	['番茄黄斑点病毒']
C2646395	['布鲁诺病毒']
C2646471	['木尔坦红辣椒卷曲叶']
C2646511	['分枝杆菌噬菌体']
C2646512	['克斯特亚分支杆菌噬菌体']
C2646513	['Phaedrus分支杆菌噬菌体']
C2646514	['猪分枝杆菌噬菌体']
C2646778	['人鼻病毒hRVLz118']
C2646779	['人鼻病毒hRVLz122']
C2646780	['人鼻病毒hRVLz123']
C2646781	['人鼻病毒hRVLz124']
C2646782	['人鼻病毒hRVLz127']
C2646783	['人鼻病毒hRVLz13']
C2646784	['人鼻病毒hRVLz135']
C2646785	['人鼻病毒hRVLz144']
C2646786	['人鼻病毒hRVLz148']
C2646787	['人鼻病毒hRVLz163']
C2646788	['人鼻病毒hRVLz167']
C2646789	['人鼻病毒hRVLz171']
C2646790	['人鼻病毒hRVLz178']
C2646791	['人鼻病毒hRVLz184']
C2646792	['人鼻病毒hRVLz185']
C2646793	['人鼻病毒hRVLz187']
C2646794	['人鼻病毒hRVLz214']
C2646795	['人鼻病毒hRVLz218']
C2646796	['人鼻病毒hRVLz220']
C2646797	['人鼻病毒hRVLz238']
C2646798	['人鼻病毒hRVLz239']
C2646799	['人鼻病毒hRVLz265']
C2646800	['人鼻病毒hRVLz267']
C2646801	['人鼻病毒hRVLz269']
C2646802	['人鼻病毒hRVLz281']
C2646803	['人鼻病毒hRVLz287']
C2646804	['人鼻病毒hRVLz293']
C2646805	['人鼻病毒hRVLz294']
C2646806	['人鼻病毒hRVLz298']
C2646807	['人鼻病毒hRVLz299']
C2646808	['人鼻病毒hRVLz309']
C2646809	['人鼻病毒hRVLz315']
C2646810	['人鼻病毒hRVLz317']
C2646811	['人鼻病毒hRVLz330']
C2646812	['人鼻病毒hRVLz331']
C2646813	['人鼻病毒hRVLz332']
C2646814	['人鼻病毒hRVLz333']
C2646815	['人鼻病毒hRVLz335']
C2646816	['人鼻病毒hRVLz337']
C2646817	['人鼻病毒hRVLz343']
C2646818	['人鼻病毒hRVLz344']
C2646819	['人鼻病毒hRVLz349']
C2646820	['人鼻病毒hRVLz355']
C2646821	['人鼻病毒hRVLz357']
C2646822	['人鼻病毒hRVLz378']
C2646823	['人鼻病毒hRVLz383']
C2646824	['人鼻病毒hRVLz390']
C2646825	['人鼻病毒hRVLz392']
C2646826	['人鼻病毒hRVLz406']
C2646827	['人鼻病毒hRVLz8']
C2646828	['人鼻病毒hRVLz84']
C2646829	['人鼻病毒hRVLz86']
C2646830	['人鼻病毒hRVLz89']
C2646881	['支原体噬菌体Myrna']
C2647061	['未分类Allexiv病毒']
C2647062	['葱螨传播潜伏病毒']
C2647180	['迪亚西亚黄斑驳病毒']
C2647394	['Cynodon-dactylon病毒RLL-2008']
C2647877	['蝙蝠星状病毒1']
C2647896	['梭鱼虹彩病毒']
C2647897	['普通小马虹彩病毒']
C2647898	['银鲷虹彩病毒']
C2647999	['疱疹病毒目']
C2648000	['疱疹病毒科']
C2648001	['未分类别疱疹病毒科']
C2648002	['马拉病毒科']
C2648003	['鸵鸟病毒']
C2648004	['猕猴病毒']
C2648005	['珀卡病毒']
C2648006	['长鼻病毒']
C2648112	['未分类长鼻病毒']
C2648113	['大象内皮溶解性疱疹病毒3']
C2648114	['大象内皮溶解性疱疹病毒4']
C2648115	['番茄曲叶库马西病毒']
C2648338	['苏铁叶坏死病毒']
C2648657	['米病毒科']
C2648828	['食蟹座疱疹病毒']
C2648977	['蝙蝠冠状病毒R.aur\\/Australia\\/CoV000\\/2006']
C2648978	['蝙蝠冠状病毒M.mac\\/Australia\\/CoV034\\/2008']
C2648979	['蝙蝠冠状病毒M.aus\\/Australia\\/CoV088\\/2007']
C2648980	['蝙蝠冠状病毒R.meg\\/Australia\\/CoV100\\/2007']
C2648981	['蝙蝠冠状病毒M.aus\\/Australia\\/CoV132\\/2007']
C2648982	['蝙蝠冠状病毒M.sch\\/Australia\\/CoV146\\/2007']
C2648983	['蝙蝠冠状病毒M.aus\\/Australia\\/CoV180\\/1996']
C2648989	['沥青虫花叶病毒']
C2649216	['康乃馨坏死斑点病毒']
C2649243	['柑橘类矮缩病毒']
C2649250	['番茄曲叶喀拉拉病毒']
C2649431	['水鸟病毒NZ10']
C2649432	['水鸟病毒NZ6']
C2649433	['水鸟病毒TAB02']
C2649726	['未分类的virophages']
C2649831	['博拉迪细蚤丝状病毒']
C2649833	['翼手龙小RNA病毒']
C2649836	['胡萝卜卡拉病毒WM-2008']
C2649837	['芽孢杆菌噬菌体IEBH']
C2649838	['沙雷氏菌噬菌体KSP20']
C2649839	['沙雷氏菌噬菌体KSP90']
C2649840	['沙雷氏菌噬菌体KSP100']
C2649928	['弹状病毒']
C2650713	['种姓棘阿米巴乳状病毒']
C2650919	['瓦兰氏腺病毒莱比锡\\/12\\/2007']
C2651044	['残留湿疣多核多角体病毒']
C2651213	['雪花莲病毒']
C2651250	['尼罗罗非鱼罗非鱼病毒LB-2007']
C2651537	['未分类的斑潜蝇科']
C2652151	['柠檬黄呼肠孤病毒']
C2652196	['伯克霍尔德菌噬菌体KS10']
C2652235	['印度薄荷病毒BKB-2008']
C2652459	['假单胞菌噬菌体DVM-2008']
C2652460	['甲杆状病毒']
C2652461	['伽玛巴库病毒']
C2652462	['德尔塔巴库病毒']
C2653019	['梭状芽孢杆菌噬菌体phiCD27']
C2653055	['白蜡树曲叶病毒']
C2653056	['番茄曲叶Fontem病毒']
C2653535	['中国金花叶病毒']
C2653729	['李斯特菌噬菌体P40']
C2653748	['李斯特菌噬菌体20422-1']
C2653749	['李斯特菌噬菌体805405-1']
C2653774	['Vallota speciosa病毒-Narcissus\\/GBR\\/2008']
C2654015	['汉坦病毒扶桑-Mf-732']
C2654016	['汉坦病毒沈阳-Mf-135']
C2654017	['汉坦病毒沈阳-Mf-136']
C2654018	['汉坦病毒元江-Mf-13']
C2654019	['汉坦病毒元江-Mf-15']
C2654020	['汉坦病毒元江-Mf-21']
C2654021	['汉坦病毒元江-Mf-78']
C2654348	['木薯病毒C']
C2654374	['虹彩病毒barramundi\\/Quang Ninh\\/VNM\\/2008']
C2654377	['人腺病毒7428']
C2654378	['人腺病毒7620']
C2654379	['人腺病毒7961']
C2654380	['人腺病毒9042']
C2654381	['人腺病毒9052']
C2654382	['人腺病毒9431']
C2654479	['布鲁吉塔分支杆菌噬菌体']
C2654701	['河马疱疹病毒']
C2654702	['路德维希亚叶变形betasatellite']
C2654757	['泰山森林冠状病毒']
C2654806	['分支杆菌噬菌体果肉环']
C2654808	['分支杆菌噬菌体Pacc40']
