C0000886	['棘细胞']
C1263424	['土地']
C1265905	['燕麦细胞']
C1265916	['异常巨噬细胞（细胞）']
C1265917	['Hand Schüller基督教组织细胞（细胞）']
C1266872	['肾小管上皮细胞']
C1266873	['膀胱上皮细胞']
C1266875	['表皮朗格汉斯细胞']
C1267581	['胃小凹细胞']
C1267673	['卵子与寄生虫']
C1267703	['蛛网膜内间皮细胞（细胞）']
C1267795	['单核细胞（组织细胞、淋巴细胞、浆细胞）（细胞）']
C1267797	['CDA+淋巴细胞']
C1267798	['CV淋巴细胞']
C1267799	['CYCD3+淋巴细胞（细胞）']
C1267800	['CYCD79+淋巴细胞（细胞）']
C1267801	['CYIG MU+淋巴细胞（细胞）']
C1267802	['CYIG+淋巴细胞（细胞）']
C1267803	['FMC7+淋巴细胞（细胞）']
C1267804	['GPA+淋巴细胞（细胞）']
C1267805	['淋巴细胞']
C1267806	['LEU M3+淋巴细胞（细胞）']
C1267807	['SMIg lambda+淋巴细胞（细胞）']
C1267808	['淋巴细胞。斯米格']
C1267809	['淋巴细胞表面膜免疫球蛋白阴性，CD79抗原阳性（细胞）']
C1267810	['CD1+淋巴细胞']
C1267811	['CD1A+淋巴细胞']
C1267812	['CD2+淋巴母细胞']
C1267813	['CD2+淋巴细胞']
C1267814	['CD2+CD20+淋巴细胞']
C1267815	['CD2+CD26+淋巴细胞']
C1267816	['CD3+淋巴细胞']
C1267817	['CD3+CD16+淋巴细胞']
C1267818	['CD3+CD25+淋巴细胞']
C1267819	['CD3+CD26+淋巴细胞']
C1267820	['CD3+CD38+淋巴细胞']
C1267821	['CD3+CD4+T淋巴细胞']
C1267822	['CD4+CD25+FOXP3+调节性T细胞']
C1267823	['CD4+CD29+T淋巴细胞']
C1267824	['CD4+CD45RA+T淋巴细胞']
C1267825	['CD4+HLA-DR+T淋巴细胞']
C1267827	['CD8+CD11a+T淋巴细胞']
C1267828	['CD8+CD11b+T淋巴细胞']
C1267829	['CD16+CD57-T淋巴细胞']
C1267830	['CD16+CD57+T淋巴细胞']
C1267831	['CD3+CD56+淋巴细胞']
C1267832	['CD3+CD69+淋巴细胞']
C1267833	['CD3+CD8+淋巴细胞']
C1267834	['CD3+DR+淋巴细胞']
C1267835	['CD3+HLA-DR+淋巴细胞']
C1267836	['CD3+IL2R1+淋巴细胞']
C1267837	['CD19抗原（细胞）B淋巴细胞阳性']
C1267838	['CD3-CD16+淋巴细胞']
C1267839	['CD16+CD56+CD3-淋巴细胞']
C1267840	['CD3-CD19+淋巴细胞']
C1267841	['CD4+2H4+淋巴细胞']
C1267842	['CD4+CD69+淋巴细胞']
C1267843	['CD4+CD8+淋巴细胞']
C1267844	['CD5+淋巴母细胞']
C1267845	['CD5+淋巴细胞']
C1267846	['CD5+CD2-淋巴细胞']
C1267847	['CD5+CD20+淋巴细胞']
C1267848	['CD5+CD25+淋巴细胞']
C1267849	['CD5+CD8+淋巴细胞']
C1267850	['CD6+淋巴细胞']
C1267851	['CD7+淋巴母细胞']
C1267852	['CD7+淋巴细胞']
C1267853	['CD7+CD3-淋巴细胞']
C1267854	['CD8+CD25+淋巴细胞']
C1267855	['CD8+CD28+淋巴细胞']
C1267856	['CD8+CD38+淋巴细胞']
C1267857	['CD8+CD56+淋巴细胞']
C1267858	['CD8+CD57+淋巴细胞']
C1267859	['CD8+HLA-DR+淋巴细胞']
C1267860	['CD9+淋巴细胞']
C1267861	['CD10+淋巴母细胞']
C1267862	['CD10+淋巴细胞']
C1267863	['CD10+CD20+淋巴细胞']
C1267864	['CD11+淋巴细胞']
C1267865	['CD11+CD20+淋巴细胞']
C1267866	['CD11A+淋巴细胞']
C1267867	['CD11B+淋巴细胞']
C1267868	['CD11C+淋巴细胞']
C1267869	['CD11C+CD20+淋巴细胞']
C1267870	['CD12+淋巴细胞']
C1267871	['CD13+淋巴母细胞']
C1267872	['CD13+淋巴细胞']
C1267873	['CD14+淋巴母细胞']
C1267874	['CD15+淋巴细胞']
C1267875	['CD16+淋巴细胞']
C1267876	['CD16+CD56+淋巴细胞']
C1267878	['CD16+CD57+淋巴细胞']
C1267879	['CD16B+淋巴细胞']
C1267880	['CD16C+CD56+淋巴细胞']
C1267881	['CD16-CD34+淋巴细胞']
C1267882	['CD16-CD57+淋巴细胞']
C1267883	['CD17+淋巴细胞']
C1267884	['CD18+淋巴细胞']
C1267885	['CD19+淋巴母细胞']
C1267886	['CD19+淋巴细胞']
C1267887	['CD19+SMIG-κ+淋巴细胞']
C1267888	['CD19+SMIG LAMBDA+淋巴细胞']
C1267889	['CD20+淋巴母细胞']
C1267890	['CD20+淋巴细胞']
C1267891	['CD21+淋巴细胞']
C1267892	['CD22+淋巴细胞']
C1267893	['CD22+CD11C+淋巴细胞']
C1267894	['CD22+CD19+淋巴细胞']
C1267895	['CD23+淋巴细胞']
C1267896	['CD24+淋巴细胞']
C1267897	['CD25+淋巴细胞']
C1267898	['CD25+CD19+淋巴细胞']
C1267899	['CD26+淋巴细胞']
C1267900	['CD27+淋巴细胞']
C1267901	['CD28+淋巴细胞']
C1267902	['CD29+淋巴细胞']
C1267903	['CD30+淋巴细胞']
C1267904	['CD31+淋巴细胞']
C1267905	['CD32+淋巴细胞']
C1267906	['CD33+淋巴母细胞']
C1267907	['CD33+淋巴细胞']
C1267908	['CD33+CD44+淋巴细胞']
C1267909	['CD34+淋巴母细胞']
C1267910	['CD34+淋巴细胞']
C1267911	['CD34+DR+淋巴细胞']
C1267912	['CD35+淋巴细胞']
C1267913	['CD36+淋巴细胞']
C1267914	['CD37+淋巴细胞']
C1267915	['CD38+淋巴细胞']
C1267916	['CD39+淋巴细胞']
C1267917	['CD40+淋巴细胞']
C1267918	['CD41+淋巴细胞']
C1267919	['CD41A+淋巴细胞']
C1267920	['CD42+淋巴细胞']
C1267921	['CD42A+淋巴细胞']
C1267922	['CD42B+淋巴细胞']
C1267923	['CD42C+淋巴细胞']
C1267924	['CD42D+淋巴细胞']
C1267925	['CD43+淋巴细胞']
C1267926	['CD44+淋巴细胞']
C1267927	['CD44R+淋巴细胞']
C1267928	['CD45+淋巴细胞']
C1267929	['CD45+CD14+淋巴细胞']
C1267930	['CD45RA+淋巴细胞']
C1267931	['CD45RB+淋巴细胞']
C1267932	['CD45RO+淋巴细胞']
C1267933	['CD46+淋巴细胞']
C1267934	['CD47+淋巴细胞']
C1267935	['CD48+淋巴细胞']
C1267936	['CD49A+淋巴细胞']
C1267937	['CD49B+淋巴细胞']
C1267938	['CD49C+淋巴细胞']
C1267939	['CD49D+淋巴细胞']
C1267940	['CD49E+淋巴细胞']
C1267941	['CD49F+淋巴细胞']
C1267942	['CD50+淋巴细胞']
C1267943	['CD51+淋巴细胞']
C1267944	['CD52+淋巴细胞']
C1267945	['CD53+淋巴细胞']
C1267946	['CD54+淋巴细胞']
C1267947	['CD55+淋巴细胞']
C1267948	['cd56淋巴细胞']
C1267949	['CD57+淋巴细胞']
C1267950	['CD58+淋巴细胞']
C1267951	['CD59+淋巴细胞']
C1267952	['CD61+淋巴细胞']
C1267953	['CD62E+淋巴细胞']
C1267954	['CD62L+淋巴细胞']
C1267955	['CD62P+淋巴细胞']
C1267956	['CD63+淋巴细胞']
C1267957	['CD64+淋巴细胞']
C1267958	['CD66A+淋巴细胞']
C1267959	['CD66B+淋巴细胞']
C1267960	['CD66C+淋巴细胞']
C1267961	['CD66D+淋巴细胞']
C1267962	['CD66E+淋巴细胞']
C1267963	['CD68+淋巴细胞']
C1267964	['CD69+淋巴细胞']
C1267965	['CD71+淋巴细胞']
C1267966	['CD72+淋巴细胞']
C1267967	['CD73+淋巴细胞']
C1267968	['CD74+淋巴细胞']
C1267969	['CD77+淋巴细胞']
C1267970	['CD79A+淋巴细胞']
C1267971	['CD79B+淋巴细胞']
C1267972	['CD80+淋巴细胞']
C1267973	['CD82+淋巴细胞']
C1267974	['CD83+淋巴细胞']
C1267975	['CD85+淋巴细胞']
C1267976	['淋巴细胞+CD86']
C1267977	['CD87+淋巴细胞']
C1267978	['CD88+淋巴细胞']
C1267979	['CD91+淋巴细胞']
C1267980	['CD93+淋巴细胞']
C1267981	['CD94+淋巴细胞']
C1267982	['CD95+淋巴细胞']
C1267983	['CD96+淋巴细胞']
C1267984	['CD97+淋巴细胞']
C1267985	['CD98+淋巴细胞']
C1267986	['CD99+淋巴细胞']
C1267987	['CD100+淋巴细胞']
C1267988	['CD102+淋巴细胞']
C1267989	['CD103+淋巴细胞']
C1267990	['CD104+淋巴细胞']
C1267991	['CD105+淋巴细胞']
C1267992	['CD106+淋巴细胞']
C1267993	['CD107A+淋巴细胞']
C1267994	['CD107B+淋巴细胞']
C1267995	['CD115+淋巴细胞']
C1267996	['CD117+淋巴细胞']
C1267997	['CD118+淋巴细胞']
C1267998	['CD120A+淋巴细胞']
C1267999	['CD120B+淋巴细胞']
C1268000	['CD122+淋巴细胞']
C1268001	['CD126+淋巴细胞']
C1268002	['CD128+淋巴细胞']
C1268003	['CD198+淋巴细胞']
C1268005	['造血前体细胞']
C1268006	['中性粒细胞']
C1268007	['粒细胞生成细胞']
C1268008	['嗜酸性粒细胞']
C1268009	['嗜碱性粒细胞']
C1268010	['巨核细胞']
C1268011	['未成熟浆细胞']
C1268228	['细胞区域（细胞结构）']
C1268443	['细胞正常']
C1268444	['非血细胞']
C1268445	['细胞核和\\/或相关结构（细胞结构）']
C1268446	['细胞表面和\\/或相关结构（细胞结构）']
C1268447	['细胞质基质、分泌和\\/或代谢产物（细胞结构）']
C1268448	['细胞角蛋白丝']
C1268449	['鼻旁体（细胞）']
C1268450	['细胞质丝、小管、中心粒和\\/或相关结构（细胞结构）']
C1268451	['胞质内膜系统和\\/或相关结构（细胞结构）']
C1268452	['溶酶体和\\/或相关结构微体（细胞结构）']
C1268453	['线粒体和\\/或相关结构（细胞结构）']
C1268455	['超微结构特征（细胞结构）']
C1268456	['病毒成分']
C1268457	['病毒核心（细胞结构）']
C1268458	['CD43细胞']
C1268459	['FMC-7+电池（电池）']
C1268461	['骨髓细胞学材料（标本）']
C1269647	['整个细胞（细胞）']
C1272578	['皮肤成纤维细胞']
C1275629	['细胞角']
C1276265	['咬细胞']
C1276850	['整个甲状旁腺主细胞（细胞）']
C1276851	['甲状旁腺Wassehelle细胞']
C1276852	['整个甲状旁腺移行细胞（细胞）']
C1276853	['整个甲状旁腺嗜酸细胞（细胞）']
C1276860	['乳房的完整颗粒多面体细胞（细胞）']
C1276861	['整个子宫内膜腺细胞（细胞）']
C1276862	['整个宫颈腺细胞（细胞）']
C1276865	['卵巢全肺门细胞（细胞）']
C1276871	['染色体长臂（细胞结构）']
C1276873	['分裂细胞结构（细胞结构）']
C1276875	['膜破裂（细胞结构）']
C1276876	['细胞膜内陷（细胞结构）']
C1276877	['特殊细胞结构']
C1276977	['整个原始性细胞（细胞）']
C1277042	['甲状旁腺细胞（细胞结构）']
C1277044	['整个肌膜（细胞结构）']
C1277046	['整个髓鞘（细胞结构）']
C1277065	['整个间质细胞（细胞）']
C1277066	['整个支持细胞（细胞）']
C1277067	['整个角膜小体（细胞）']
C1278781	['整个甲状腺滤泡旁细胞（身体结构）']
C1280425	['整个胰岛α细胞（细胞）']
C1280426	['整个胰岛β细胞（细胞）']
C1280428	['整个胰岛三角洲细胞（细胞）']
C1280517	['整个宫颈外上皮细胞（身体结构）']
C1280543	['整个合胞滋养层（身体结构）']
C1282866	['整个卵裂球（身体结构）']
C1284557	['整个有髓神经纤维（身体结构）']
C1284809	['Corti器官的整个支持细胞（细胞）']
C1292097	['IgA B淋巴细胞']
C1292098	['IgD B淋巴细胞']
C1292099	['IgE B淋巴细胞（细胞）']
C1292100	['IgG B淋巴细胞']
C1292101	['IgM B淋巴细胞']
C1301169	['固缩细胞（细胞）']
C1301171	['细胞（细胞）']
C1301179	['血红蛋白H体']
C1306700	['桔梗']
C1317119	['嗜碱性细胞。幼稚的']
C1317185	['CD10+CD20+细胞']
C1317186	['CD10+CD25+细胞']
C1317187	['CD10+HLA-DR+细胞']
C1317188	['CD13+CD33+细胞']
C1317190	['CD2+CD7+细胞']
C1317191	['CD227细胞']
C1317193	['CD23+CD38+细胞']
C1317194	['CD235a细胞']
C1317197	['CD4+CD45RO+细胞']
C1317198	['CD55细胞']
C1317200	['CD59细胞']
C1317328	['嗜酸性粒细胞。幼稚的']
C1317332	['畸形红细胞（细胞）']
C1317333	['红细胞。抗溶解性']
C1317395	['粒细胞。幼稚的']
C1317495	['白细胞团']
C1317511	['免疫母细胞（细胞）']
C1317543	['未成熟单核细胞']
C1317558	['无颗粒中性粒细胞（细胞）']
C1317561	['中性粒细胞。空泡化+分段']
C1317625	['浆细胞前体']
C1317634	['无颗粒血小板（细胞结构）']
C1317735	['凝集精子（形态异常）']
C1317736	['进行性精子（细胞）']
C1318418	['边界刷']
C1321301	['外周血单个核细胞']
C1325275	['粘附性细胞外基质成分']
C1325279	['反义RNA定位']
C1325335	['异源三聚体G蛋白定位']
C1325523	['细胞投射']
C1325525	['光感受器外段']
C1325526	['光感受器外段膜']
C1325527	['细菌型鞭毛基体，杆状']
C1325529	['巨大轴突']
C1325530	['外部封装结构']
C1325531	['胶囊']
C1325534	['细胞外膜']
C1325535	['细胞外膜的组成部分']
C1325536	['延伸蛋白']
C1325537	['半纤维素网络']
C1325538	['果胶矩阵']
C1325539	['里海地带']
C1325540	['木质素网络']
C1325541	['苏伯林网络']
C1325544	['前孔隙']
C1325546	['皮质细胞骨架']
C1325547	['皮质肌动蛋白细胞骨架']
C1325548	['皮质微管，横穿长轴']
C1325549	['绿色体']
C1325550	['染色质定位']
C1325551	['细胞质染色质']
C1325552	['细胞质核小体']
C1325553	['核常染色质']
C1325554	['核异染色质']
C1325555	['核端粒异染色质']
C1325556	['XY小体']
C1325557	['核染色质']
C1325558	['核小体']
C1325559	['核仁染色质']
C1325560	['rDNA突起']
C1325561	['着丝粒周区染色体']
C1325562	['浓缩染色体，中心周围区']
C1325563	['浓缩染色体动粒']
C1325565	['浓缩核染色体动粒相关DASH复合体定位']
C1325566	['浓缩染色体内动粒']
C1325567	['浓缩染色体外动粒']
C1325568	['内动粒板']
C1325569	['浓缩染色体外着丝粒']
C1325571	['染色体，端粒区']
C1325573	['核端粒帽复合体定位']
C1325575	['端粒帽复合体定位']
C1325576	['浓缩染色体']
C1325577	['减数分裂内聚素复合体定位']
C1325578	['有丝分裂粘着蛋白复合物定位']
C1325579	['核凝聚复合定位']
C1325580	['浓缩核染色体']
C1325581	['CCC']
C1325583	['中心元素']
C1325584	['轴向元件']
C1325585	['横丝']
C1325586	['康德星综合定位']
C1325587	['原核兽人']
C1325588	['GINS综合位置']
C1325589	['真核兽人']
C1325591	['叶绿体染色体']
C1325592	['答复']
C1325593	['W染色体']
C1325594	['Z染色体']
C1325595	['APC-Axin-1-β-连环蛋白复合物定位']
C1325596	['细胞质mRNA加工体']
C1325597	['pVHL-elongin C-elongin B复合物定位']
C1325599	['裂殖子致密颗粒膜']
C1325600	['嗜铬颗粒膜']
C1325601	['酶原颗粒膜']
C1325602	['GARP综合定位']
C1325603	['嗜蓝颗粒']
C1325604	['靶心体']
C1325605	['次生颗粒']
C1325607	['肌动球蛋白复合物定位']
C1325608	['肌动球蛋白，肌球蛋白复合物定位部分']
C1325609	['F-肌动蛋白帽蛋白复合物定位']
C1325618	['1-磷脂酰肌醇-4-磷酸3-激酶，IB类复合物位置']
C1325619	['三级PI3K综合设施位置']
C1325620	['蛋白酶体复合物定位（真核感官）']
C1325621	['蛋白酶体核心复合物，α亚单位复合物位置']
C1325622	['蛋白酶体核心复合物，β亚单位复合物位置']
C1325623	['PA700依赖性蛋白酶体激活剂']
C1325624	['蛋白酶体调节颗粒，碱基亚复合物定位']
C1325625	['蛋白酶体调节颗粒，lid亚复合物定位']
C1325628	['DNA聚合酶复合物定位']
C1325629	['内腔']
C1325630	['流明爵士']
C1325631	['内质网膜的外在成分']
C1325632	['GPI锚定转氨酶复合物定位']
C1325633	['粗面内质网膜']
C1325635	['MHC I类肽负载复合物位置']
C1325636	['点击复杂位置']
C1325637	['内质体膜的细胞质侧']
C1325638	['内质网体']
C1325639	['甘氨酸裂解复合物定位']
C1325640	['甘氨酸还原酶复合物定位']
C1325641	['糖原颗粒']
C1325642	['糖体膜']
C1325643	['氢化酶体膜']
C1325644	['乙醛体膜']
C1325645	['甘露体']
C1325646	['EMTOC']
C1325647	['γ-微管蛋白复合定位']
C1325648	['γ-微管蛋白大复杂定位']
C1325649	['线粒体膜间蛋白转运体复合体定位']
C1325650	['γ-DNA聚合酶复合物定位']
C1325651	['线粒体类核']
C1325652	['线粒体丙酮酸脱氢酶（脂酰胺）磷酸酶复合物定位']
C1325653	['膜电子传递链']
C1325654	['线粒体呼吸链复合体I，膜段位置']
C1325655	['线粒体呼吸链复合体I，外周段位置']
C1325656	['线粒体输入运动']
C1325657	['线粒体内膜蛋白插入复合物定位']
C1325658	['线粒体质子转运ATP合酶定位，定子柄']
C1325659	['线粒体分拣和组装机械复杂位置']
C1325660	['线粒体核糖核酸酶P复合物定位']
C1325661	['costamere定位']
C1325662	['芥子酶复合定位']
C1325663	['Toc综合定位']
C1325664	['叶绿体类核']
C1325665	['镁螯合酶复合物定位']
C1325666	['质体膜']
C1325667	['氰基核糖核酸酶P复合物定位']
C1325668	['原叶体']
C1325669	['原叶质膜']
C1325670	['质体核仁']
C1325671	['前质体类核']
C1325672	['政治公众人物']
C1325673	['PEP-B']
C1325674	['淀粉粒']
C1325675	['前核糖体']
C1325676	['核仁前核糖体']
C1325677	['90S前核糖体']
C1325678	['Noc1p-Noc2p复合位置']
C1325679	['Noc4p-Nop14p综合位置']
C1325680	['66S前核糖体']
C1325681	['Noc2p-Noc3p复合位置']
C1325682	['43S前核糖体']
C1325683	['蛋白体']
C1325684	['胞浆丙酮酸脱氢酶（脂酰胺）磷酸酶复合物定位']
C1325689	['琥珀酸辅酶A连接酶复合物定位']
C1325690	['肥大细胞颗粒']
C1325691	['啤酒花综合定位']
C1325692	['中央液泡']
C1325693	['蛋黄颗粒']
C1325694	['染色体外DNA定位']
C1325695	['复合定位']
C1325696	['apoB mRNA编辑酶复合物定位']
C1325697	['致密核体']
C1325698	['X染色体定位剂量补偿复合物定位转录激活']
C1325699	['促进染色质转录复合物定位']
C1325700	['生殖细胞核']
C1325702	['生发泡']
C1325703	['大孢子母细胞核']
C1325704	['对足细胞核']
C1325705	['大配子体卵细胞核']
C1325706	['极核']
C1325708	['小孢子母细胞核']
C1325709	['生殖细胞核']
C1325710	['Mre11复杂位置']
C1325711	['Noc综合位置']
C1325712	['核仁核糖核酸酶P复合物定位']
C1325713	['婆罗门复合体位置']
C1325714	['租赁综合场所']
C1325715	['罗盘复杂定位']
C1325716	['Lid2综合定位']
C1325717	['RCAF综合定位']
C1325718	['DNA定向RNA聚合酶II，核心复合物定位']
C1325719	['转录因子TFIID复合物定位']
C1325720	['组蛋白甲基转移酶复合物定位']
C1325721	['ESC\\/E（Z）复杂位置']
C1325722	['欧米茄斑点']
C1325723	['DSC1转录因子复合物定位']
C1325724	['多梳抑制复合物1']
C1325725	['逆转录转座子核衣壳']
C1325726	['转录导出复杂位置']
C1325727	['复杂位置']
C1325728	['质膜质子转运ATP合酶位置，定子柄']
C1325729	['微核糖核蛋白复合物定位']
C1325730	['核糖核酸酶P复合物定位']
C1325733	['多亚单位RNA聚合酶']
C1325734	['反向器复合定位']
C1325735	['货物选择性反向器子复合定位']
C1325736	['异二聚体膜变形反转录物亚复合物定位']
C1325737	['激活素受体复合物定位']
C1325738	['IL-20受体复合物定位']
C1325739	['NADPH氧化酶复合物定位']
C1325740	['质膜氢离子转运ATP酶V0结构域']
C1325741	['质膜氢离子转运ATP酶V1结构域']
C1325742	['孔隙复合位置']
C1325744	['囊']
C1325745	['MHC蛋白复合物定位']
C1325746	['MHC I类蛋白复合物定位']
C1325747	['MHC II类蛋白复合物定位']
C1325748	['突触前膜']
C1325749	['偶发隔膜']
C1325750	['完全隔']
C1325751	['多孔细胞隔']
C1325752	['多利泊隔']
C1325753	['初级隔']
C1325754	['配合投影底座']
C1325756	['质外体']
C1325757	['激活素复合定位']
C1325758	['激活素在一个复杂的位置']
C1325759	['激活素AB复合定位']
C1325760	['激活素B复合定位']
C1325761	['乳糜微粒定位']
C1325762	['异淀粉酶复合定位']
C1325763	['种系环管']
C1325765	['酸性角蛋白定位']
C1325770	['B细胞受体辅助分子复合物定位']
C1325771	['碱性\\/中性角蛋白']
C1325774	['1-2nm肽聚糖基细胞壁']
C1325777	['细胞质动力蛋白中间链定位']
C1325780	['胞浆大核糖体亚单位']
C1325781	['胞浆核糖体RNA定位']
C1325782	['胞质小核糖体亚单位']
C1325785	['结蛋白定位']
C1325786	['DNA定位']
C1325788	['真核翻译起始因子4复合定位']
C1325790	['纤维蛋白原α链定位']
C1325791	['纤维蛋白原β链定位']
C1325792	['纤维蛋白原γ链定位']
C1325793	['胶质纤维酸性蛋白定位']
C1325794	['高尔基体到质膜组成性分泌途径运输囊泡']
C1325795	['高尔基体到液泡运输囊泡']
C1325796	['AP-1适配器综合位置']
C1325798	['进口地点']
C1325800	['导入素，α亚单位运输因子位置']
C1325802	['胰岛素样生长因子结合蛋白定位']
C1325804	['层粘连蛋白受体蛋白定位']
C1325805	['幼虫血清蛋白-1定位']
C1325807	['膜攻击复合物定位蛋白αm链']
C1325808	['膜攻击复合物定位蛋白beta2链']
C1325812	['murein球囊']
C1325813	['核酸定位']
C1325815	['周边定位']
C1325816	['蛋白质定位']
C1325818	['核酶定位']
C1325819	['RNA定位']
C1325821	['SCF复合定位底物识别亚单位']
C1325822	['分泌囊膜']
C1325823	['小核仁RNA定位']
C1325824	['端粒酶RNA定位']
C1325827	['运输地点']
C1325831	['非翻译RNA定位']
C1325833	['波形蛋白定位']
C1325834	['病毒糖蛋白']
C1325835	['葡萄糖-1-磷酸腺苷酸转移酶复合物定位']
C1327729	['细胞隔']
C1328049	['EBV特异性细胞毒性T淋巴细胞']
C1328256	['接口信息处理器']
C1328818	['肾小球内脏上皮细胞']
C1335464	['前钢筋混凝土']
C1337068	['病毒基因组定位']
C1366904	['核内包涵体']
C1367884	['紫菀微管']
C1368372	['囊泡\\/液泡']
C1370091	['CD11+CD18+细胞']
C1370096	['细胞。CD3+CD8+CD45RO+CD45RA+\\/100个细胞']
C1370100	['CD3+TCRα-β+细胞']
C1370102	['细胞。CD4+CD45RA+\\/细胞。CD8']
C1370155	['淋巴细胞+单核细胞']
C1383501	['细胞基质']
C1384314	['交叉']
C1440048	['异常血细胞。CD10']
C1440049	['异常血细胞。CD13']
C1440050	['异常血细胞。CD14']
C1440051	['异常血细胞。CD19']
C1440052	['异常血细胞。CD2']
C1440053	['异常血细胞。CD20']
C1440054	['异常血细胞。CD33']
C1440055	['异常血细胞。CD5']
C1440056	['异常血细胞。CD7']
C1440108	['自体红细胞']
C1440140	['爆炸。CD10']
C1440141	['爆炸。CD13']
C1440142	['爆炸。CD14']
C1440143	['爆炸。CD19']
C1440144	['爆炸。CD2']
C1440145	['爆炸。CD20']
C1440146	['爆炸。CD33']
C1440147	['爆炸。CD34']
C1440148	['爆炸。CD5']
C1440149	['爆炸。CD7']
C1440224	['CD43 T细胞单核细胞+髓系细胞']
C1440229	['非整倍体细胞群1']
C1440230	['非整倍体细胞群2']
C1440231	['BCL2细胞']
C1440232	['CD10+CD19+细胞']
C1440233	['CD100细胞']
C1440234	['CD102细胞']
C1440235	['CD103细胞']
C1440236	['CD104细胞']
C1440237	['CD105细胞']
C1440238	['CD106细胞']
C1440239	['CD107a细胞']
C1440240	['CD107b细胞']
C1440241	['CD11细胞']
C1440242	['CD115细胞']
C1440243	['CD117细胞']
C1440244	['CD118细胞']
C1440245	['CD11a细胞']
C1440246	['CD11b+CD56+细胞']
C1440247	['CD11c+CD20+细胞']
C1440248	['CD11c+CD25+细胞']
C1440249	['CD12细胞']
C1440250	['CD120A细胞']
C1440251	['CD120B细胞']
C1440252	['CD122细胞']
C1440253	['CD126细胞']
C1440254	['CD128细胞']
C1440255	['CD138细胞']
C1440256	['CD14+CD11b+细胞']
C1440257	['CD14+HLA-DR+细胞']
C1440258	['CD16+CD57-细胞']
C1440259	['CD16+CD57+细胞']
C1440260	['CD16B细胞']
C1440261	['CD16-CD34+细胞']
C1440262	['CD16-CD57+细胞']
C1440263	['CD17细胞']
C1440264	['CD18细胞']
C1440265	['CD19+CD23+细胞']
C1440266	['CD19+CD38+细胞']
C1440267	['CD19+κ+细胞']
C1440268	['CD19+Lambda+细胞']
C1440269	['CD198细胞']
C1440270	['CD1a细胞']
C1440271	['CD2+CD20+细胞']
C1440272	['CD22+CD11c+细胞']
C1440273	['CD22+CD19+细胞']
C1440274	['CD19+CD25+细胞']
C1440275	['CD26细胞']
C1440276	['CD27细胞']
C1440277	['CD28细胞']
C1440278	['CD29细胞']
C1440279	['CD3+CD16+细胞']
C1440280	['CD3+CD38+细胞']
C1440281	['CD3+CD4+CD45RO+CD45RA-细胞']
C1440282	['CD3+CD4+CD45RO+CD45RA+细胞']
C1440283	['CD3+CD4+CD45RO-CD45RA-细胞']
C1440284	['CD3+CD4+CD45RO-CD45RA+细胞']
C1440285	['CD3+CD69+细胞']
C1440286	['CD3+CD7+细胞']
C1440287	['CD3+CD8+CD45RO+CD45RA-细胞']
C1440288	['CD3+CD8+CD45RO+CD45RA+细胞']
C1440289	['CD3+CD8+CD45RO-CD45RA-细胞']
C1440290	['CD3+CD8+CD45RO-CD45RA+细胞']
C1440291	['CD3+DR+细胞']
C1440292	['CD3+TCR细胞']
C1440293	['CD31细胞']
C1440294	['CD32细胞']
C1440295	['CD33+CD11b+细胞']
C1440296	['CD33+CD44+细胞']
C1440297	['CD33+HLA-DR+细胞']
C1440298	['CD34+DR+细胞']
C1440299	['CD35细胞']
C1440300	['CD36细胞']
C1440301	['CD37细胞']
C1440302	['CD38+CD56+细胞']
C1440303	['CD39细胞']
C1440304	['CD4+CD69+细胞']
C1440305	['CD4+CD8+细胞']
C1440306	['CD40细胞']
C1440307	['CD41a细胞']
C1440308	['CD42a细胞']
C1440309	['CD42b细胞']
C1440310	['CD42c细胞']
C1440311	['CD42d细胞']
C1440312	['CD44细胞']
C1440313	['CD44R细胞']
C1440314	['CD45+CD14+细胞']
C1440315	['CD45RA细胞']
C1440316	['CD45RB细胞']
C1440317	['CD45RO细胞']
C1440318	['CD46细胞']
C1440319	['CD47细胞']
C1440320	['CD48细胞']
C1440321	['CD49a细胞']
C1440322	['CD49b细胞']
C1440323	['CD49c细胞']
C1440324	['CD49d细胞']
C1440325	['CD49e细胞']
C1440326	['CD49f细胞']
C1440327	['CD5+CD2-细胞']
C1440328	['CD5+CD8+细胞']
C1440329	['CD50细胞']
C1440330	['CD51细胞']
C1440331	['CD52细胞']
C1440332	['CD53细胞']
C1440333	['CD54细胞']
C1440334	['CD58细胞']
C1440335	['CD59缺陷细胞']
C1440336	['CD6细胞']
C1440337	['CD62细胞']
C1440338	['CD62E细胞']
C1440339	['CD62L细胞']
C1440340	['CD62P细胞']
C1440341	['CD63细胞']
C1440342	['CD64细胞']
C1440343	['CD66a细胞']
C1440344	['CD66b细胞']
C1440345	['CD66c细胞']
C1440346	['CD66d细胞']
C1440347	['CD66e细胞']
C1440348	['CD68细胞']
C1440349	['CD69细胞']
C1440350	['CD3-CD7+细胞']
C1440351	['CD72细胞']
C1440352	['CD73细胞']
C1440353	['CD74细胞']
C1440354	['CD77细胞']
C1440355	['CD79a细胞']
C1440356	['CD79b细胞']
C1440357	['CD7-CD13+CD33+细胞']
C1440358	['CD8+CD56+细胞']
C1440359	['CD80细胞']
C1440360	['CD82细胞']
C1440361	['CD83细胞']
C1440362	['CD85细胞']
