C0000005	['(131)I-MAA', '(131)I-Macroaggregated Albumin']
C0048053	['4-aminophenylarsenoxide', '4-arsenosoaniline', 'para-aminophenylarsenoxide']
C0048054	['4-aminophenylmannoside']
C0048077	['4-azido-2-nitrophenyl phosphate', 'Phenol, 4-azido-2-nitro-, dihydrogen phosphate (ester)']
C0048079	['4-azido-2-nitrophenylaminoacetylmonoiodoapamin', 'ANPAA-apamin', 'Apamin, N-(N-(4-azido-2-nitrophenyl)glycyl)-18-((iodo-125I)-L-histidinamide)-, (R)-']
C0048080	['4-azido-2-nitrophenylinsulin', 'insulin, 4-azido-2-nitrophenyl-']
C0048081	['2-Propanol, 1-((2-(4-azido-3-iodophenyl)-1,1-dimethylethyl)amino)-3-(9H-carbazol-4-yloxy)-', '4-azido-3-iodobenzylcarazolol', 'pAIBC', 'para-azido-m-iodobenzylcarazolol']
C0048083	['4-azido-5-iodo-2-methoxy-N-(1-(phenylmethyl)-4-piperidinyl)benzamide', '4-azido-5-iodoclebopride']
C0048088	['4-azidobenzoyl-coenzyme A', 'coenzyme A, 4-azidobenzoyl-', 'Coenzyme A, S-(4-azidobenzoate)', 'p-azidobenzoyl-CoA', 'p-azidobenzoyl-coenzyme A']
C0048090	['2-Propanol, 1-((1-(4-azidophenyl)-1-methylethyl)amino)-3-(9H-carbazol-4-yloxy)-', '4-azidobenzylcarazolol', 'p-azidobenzylcarazolol', 'pABC', 'para-azidobenzylcarazolol']
C0048092	['4-azidophenacyl bromide', '4-azidophenacylbromide', 'APA bromide', 'Ethanone, 1-(4-azidophenyl)-2-bromo-', 'p-azidophenacyl bromide']
C0048093	['4-azidophenacyl iodoacetate', 'Acetic acid, iodo-, 2-(4-azidophenyl)-2-oxoethyl ester', 'p-azidophenacyl iodoacetate']
C0048095	['4-azido-L-phenylalanine', '4-azidophenylalanine', 'azidophenylalanine', 'L-phenylalanine, 4-azido-', 'p-azidophenylalanine']
C0048096	['4-azidophenylglyoxal', 'Benzeneacetaldehyde, 4-azido-alpha-oxo-', 'p-azidophenylglyoxal', 'para-azidophenylglyoxal']
C0048099	['4-azidosalicylic acid N-hydroxysuccinimide ester', 'N-hydroxysuccinimidyl 4-azidosalicylate', 'NHS-ASA']
C0048114	['4-boronophenylalanine', 'p-BPA compound', 'para-borono-L-phenylalanine', 'para-boronophenylalanine']
C0048130	['4-bromomethamphetamine', 'p-bromomethamphetamine', 'p-bromomethylamphetamine', 'para-bromomethamphetamine']
C0048154	['4(5)-carboxyfluorescein', '4-carboxyfluorescein', '5-carboxyfluorescein']
C0048158	['4-chloro-1-naphthalenol', '4-chloro-1-naphthol']
C0048166	['4-chloro-3-hydroxyanthranilate', '4-chloro-3-hydroxyanthranilic acid', '4-Cl-3-hana', 'Benzoic acid, 2-amino-4-chloro-3-hydroxy-']
C0048248	['3-(4-(dimethylamino)phenyl)-2-propenal', '4-(dimethylamino)cinnamaldehyde', '4-DACA', '4-dimethylaminocinnamaldehyde', 'p-dimethylaminocinnamaldehyde']
C0048252	['4-dimethylaminopyridine', '4-DMAP']
C0048269	['4-fluoro-3-nitrophenyl azide']
C0048328	['4-hydroxybenzylcyanide', 'Benzeneacetonitrile, 4-hydroxy-', 'para-hydroxybenzylcyanide', 'PHBC']
C0048427	['4-isothiocyanatobenzenesulfonate', '4-isothiocyanatobenzenesulfonic acid', '4-sulfophenyl isothiocyanate', 'p-isothiocyanatobenzenesulfonate', 'para-isothiocyanatobenzenesulfonate']
C0048428	['4-isothiocyanatophenyl-6-phospho alpha-D-mannopyranoside', '4-ITCPPM', 'alpha-D-Mannopyranoside, 4-isothiocyanatophenyl, 6-(dihydrogen phosphate)']
C0048433	['2,2,6,6-tetramethyl-4-maleimidopiperidine-1-oxyl', '2,2,6,6-tetramethylpiperdin-N-1-oxymaleimide', '4-maleimido-2,2,6,6-tetramethylpiperidinooxyl', '4-maleimido-tempo', 'MAL-6', 'N-(1-oxyl-2,2,6,6-tetramethyl-4--piperidinyl)maleimide', 'NEM-TEMPO']
C0048448	['4-methoxy beta-naphthylamine', '4-methoxy-2-naphthylamine']
C0048496	['4-Methylhippuric Acid', '4-methylhippuric acid', '4-methylhippuric acid', '4-Methylhippuric Acid', '4-METHYLHIPPURIC ACID', 'Glycine, N-(4-Methylbenzoyl)- (9CI)', 'Hippuric Acid, p-Methyl- (8CI)', 'N-(4-Methylbenzoyl)Glycine', 'N-(p-Toluoyl)Glycine', 'p-methylhippuric acid', 'p-Methylhippuric Acid', 'p-Toluric Acid', 'para-methylhippuric acid', 'para-Methylhippuric Acid']
C0048528	['2H-1-Benzopyran-2-one, 7-(beta-D-galactopyranosyloxy)-4-methyl-', '4-methylumbelliferyl-beta-D-galactopyranoside', '4-methylumbelliferyl-beta-D-galactoside', '4-methylumbelliferyl-galactopyranoside', '4-methylumbelliferyl-galactopyranoside, ((beta-D)-galactosyloxy)-isomer', '4-MUBF-GP']
C0048529	['4-metehylumbelliferyl N-acetyl-chitotrioside', '4-methylumbelliferyl-N-acetyl-chitotrioside', 'MLU-A-CHO']
C0048534	['2H-1-benzopyran-2-one, 7-(((2-acetylamino)-2-deoxy-beta-D-glucopyranosyl)oxy)-4-methyl-', '4-methylumbelliferyl 2-acetamido-2-deoxy-beta-D-glucopyranoside', '4-methylumbelliferyl-N-acetyl-beta-D-glucosaminide', '4-methylumbelliferyl-N-acetyl-beta-glucosamine', '4-MU-Glc-NAc', '4-MUAG', 'MUABG']
C0048552	['4-nitroacetophenone', 'p-nitroacetophenone']
C0048567	['4-nitrobenzyloxycarbonylglycyltryptophylglycine', 'Glycine, N-(N-(N-(((4-nitrophenyl)methoxy)carbonyl)glycyl)-L-tryptophyl)-', 'p-nitrobenzyloxycarbonylglycyltryptophylglycine', 'para-nitrobenzyloxycarbonylglycyltryptophylglycine']
C0048581	['4-nitrophenol', 'p-nitrophenol', 'p-nitrophenol', 'p-Nitrophenol', 'Para nitrophenol', 'Para nitrophenol', 'Para nitrophenol', 'Para-nitrophenol (substance)', 'Para-nitrophenol', 'phenol, 4-nitro-']
C0048583	['4-nitrophenoxycarbonyl methyl disulfide', 'Carbono(dithioperoxoic) acid, SS-methyl O-(4-nitrophenyl) ester', 'NPCMD', 'para-nitrophenoxycarbonyl methyl disulfide']
C0048621	['4-nitrophenylgalactoside', 'PNPG']
C0048636	['4-nitrosodimethylaniline', '4-nitrosodimethylaniline', 'N,N-dimethyl-4-nitrosoaniline', 'NDMA nitrosodimethylaniline', 'p-nitrosodimethylaniline', 'para-nitrosodimethylaniline']
C0048643	['4-nitrobenzenethiol', '4-nitrothiophenol', '4-nitrothiophenolate', 'para-nitrothiophenol']
C0048678	['1,4-benzenediamine', '1,4-Benzenediamine', '1,4-Benzenediamine', '1,4-Benzenediamine', '1,4-Benzenediamine', '1,4-benzenediamine', '1,4-diaminobenzene', '1,4-diaminobenzene', '1,4-phenyldiamine', '1,4-phenylenediamine base', '1,4-phenylenediamine', '1,4-phenylenediamine', '4-Aminoaniline', '4-phenylenediamine', '4-phenylenediamine', '4-phenylenediamine', '4-phenylenediamine', 'black henna', 'p phenylenediamine', 'p-Diaminobenzene', 'p-phenylenediamine (substance)', 'p-phenylenediamine', 'p-Phenylenediamine', 'p-phenylenediamine', 'p-phenylenediamine', 'P-PHENYLENEDIAMINE', 'p-phenylenediamine-containing product', 'para-phenylenediamine', 'para-phenylenediamine', 'para-phenylenediamine', 'Paraphenylene diamine free base', 'paraphenylene-diamine', 'paraphenylenediamine', 'PARAPHENYLENEDIAMINE', 'Paraphenylenediamine', 'Paraphenylenediamine', 'paraphenylenediamine', 'PPD', 'pPDA', 'Product containing p-phenylenediamine (medicinal product)']
C0048719	['4-methylbenzenesulfonamide', '4-toluenesulfonamide', '4-toluenesulfonamide', '4-toluenesulfonylamide', 'Benzenesulfonamide, 4-methyl-', 'para-toluenesulfonamide', 'Para-toluenesulfonamide', 'para-toluenesulphonamide']
C0048726	['4-methylbenzoic acid', '4-toluic acid', 'p-toluic acid']
C0048740	['4-ethenylpyridine', '4-vinylpyridine']
C0048792	["5'-adenylic acid, monohydride with methylenebis(phosphonic acid)", "5'-adenylyl (beta,gamma-methylene)diphosphonate", 'adenosine (beta,gamma-methylene)triphosphate', "adenosine 5'-beta,gamma-methylenetriphosphate", 'adenylyl methylene diphosphate', 'adenylyl methylenediphosphate', 'adenylyl(beta,gamma-methylene)diphosphonate', 'AMP-PCP', 'AMPPCP', 'beta, gamma-methylene-ATP', 'beta,gamma-Me-ATP', 'beta-gamma-meATP']
C0048827	["2,4-dinitrophenyl 5'-O-(4,4'-dimethoxytrityl)thymidine succinate", "5'-O-(4,4'-dimethoxytrityl)thymidine-3'-O-(2,4-dinitrophenyl) succinate", "5'-O-(4,4'-dimethoxytrityl)thymidine-3'-O-(2,4-dinitrophenyl) succinate", 'DTDS']
C0048844	["5'-UTP-agarose", "5'-UTP-sepharose"]
C0048879	["5,5'-dihydroxy-Lys-Nle", "5,5'-dihydroxylysinonorleucine", "5,5'-dihydroxylysylnorleucine", "delta,delta'-dihydroxylysylnonorleucine", 'DHLNL']
C0048945	['5,8,11-eicosatrienoic acid (substance)', '5,8,11-eicosatrienoic acid', '5,8,11-eicosatrienoic acid', '5,8,11-Eicosatrienoic Acid', 'All-cis-icosa-5, 8,11-trienoic acid', 'ETrA acid', 'Fatty Acid 20:3 n-9', 'Mead acid (C20:3w9)', 'Mead acid', 'Mead acid', 'mead acid', 'Mead Acid', 'Mead Acid', 'MEAD ACID', 'Mead acid']
C0048962	["5-((4-azidophenacyl)thio)uridine 5'-triphosphate", '5-APAS-UTP']
C0049007	['5-(4-nitrophenyl)-2,4-pentadienal', '5-(4-nitrophenyl)-2,4-pentadienal', 'NPPD', 'spy dust', 'Spydust']
C0049069	["5-azido-2'-deoxyuridine 5'-triphosphate", '5-N3dUTP']
C0049070	['5-azidoindole', '5-AZIN']
C0049071	['5-azidotrimethisoquin', 'Ethanaminium, 2-((5-azido-3-butyl-1-isoquinolinyl)oxy)-N,N,N-trimethyl-, chloride', 'trimethisoquin azide']
C0049072	['5-azido-UDP-glucose', "5-azidouridine 5'-diphosphoglucose", '5-azidouridine diphosphate glucose']
C0049292	['5-methoxytryptophan']
C0049309	["5-methyl-2'-deoxycytidine", '5-methyldeoxycytidine']
C0049350	['5-phenyl-4-pentenyl-1-hydroperoxide', '5-phenylpent-4-enyl-1-hydroperoxide', '5-phenylpent-4-enyl-1-hydroperoxide', 'PPHP']
C0049414	["6,6'-dithiobis-3-pyridinecarboxylic acid", "6,6'-dithiodinicotinic acid", 'carboxypyridine disulfide']
C0049456	['6-(2-nitro-4-azidophenylamino)caproate', "6-(4'-azido-2'-nitrophenylamino)hexanoate", '6-ANH', 'Hexanoic acid, 6-((4-azido-2-nitrophenyl)amino)-', 'NAZPAC']
C0049522	["3',6'-dihydroxy-3-oxospiro(isobenzofuran-1(3H),9'-(9H)xanthene)-6-carboxylic acid", '5(6)-carboxyfluorescein', '6-carboxyfluorescein']
C0049546	['6-(N-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)amino)-6-deoxyglucose', '6-deoxy-N-(7-nitrobenz-2-oxa-1,3-diazol-4-yl)aminoglucose', '6-NBDG', 'N-(7-nitrobenz-2-oxa-1,3-diazole)-glucosamine', 'NBD-glucosamine', 'NBDG']
C0049578	['6-fluorotryptophan']
C0049581	['6-HDA-MUBF-GP', '6-hexadecanoylamino-4-methylumbelliferyl-galactopyranoside']
C0049630	['6 beta-iodocholesterol', '6-iodocholest-5-en 3 beta-ol', '6-iodocholesterol', '6beta-iodocholesterol']
C0049631	['6 beta-iodomethyl-19-norcholesterol', '6-iodomethylcholesterol', 'bimetrol', 'I-bimetrol']
C0049632	['4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 6-iodo-3,3-dimethyl-7-oxo-, (2S-(2alpha,5alpha,6beta))-', '6-beta-iodopenicillanic acid', '6-iodopenicillanic acid']
C0049643	['6-M-SPQ', '6-methoxy-N-(3-sulfopropyl)quinolinium']
C0049660	['6 methylpurine', '6-methyl purine', '6-methylpurine', '6-methylpurine']
C0049666	['2-amino-6-methyl-5,6,7,8-tetrahydro-4(3H)-pteridinone', '4(1H)-pteridinone, 2-amino-5,6,7,8-tetrahydro-6-methyl-', '6-methyl-5,6,7,8-tetrahydrobiopterin', '6-methyl-5,6,7,8-tetrahydropteridine', '6-methyltetrahydro-pterin', '6-methyltetrahydropteridine', '6-methyltetrahydropterin', 'tyrosine hydroxylase pteridine cofactor']
C0049672	['6-N-(2,4-dinitrophenyl)aminohexanoic acid', 'DNP-aminocaproic acid', 'DNP-epsilon-aminocaproate']
C0049677	['2-nitro-5-phenylacetaminobenzoic acid', '6-nitro-3-phenylacetamidobenzoic acid', 'Benzoic acid, 2-nitro-5-((phenylacetyl)amino)-', 'NIPAB']
C0049828	['2H-1-benzopyran-2-one, 7-amino-4-methyl', '4-methyl-7-aminocoumarin', '7-amino-4-methylcoumarin', 'coumarin, 7-amino-4-methyl-']
C0049832	['7-AAD', '7-AAD', '7-ADD', '7-amino-actinomycin D', '7-Amino-Actinomycin D', '7-Amino-AMD', '7-Aminoactinomycin D', '7-aminoactinomycin D', '7-Aminoactinomycin D', '7-AMINOACTINOMYCIN D']
C0049841	['7-azatryptophan']
C0049843	['7-azidofluphenazine']
C0049844	['7-azido-3-(2-(4-(4-fluorobenzoyl)-1-piperidinyl)ethyl)-2,4-(1H,3H)-quinazolinedione', '7-azidoketanserin']
C0049887	['4-fluoro-7-nitrobenzo-2-oxa-1,3-diazole', '7-fluoro-4-nitrobenzo-2-oxa-1,3-diazole', '7-fluoro-4-nitrobenzofurazan', 'Benzofurazan, 4-fluoro-7-nitro-', 'NBD-F cpd', 'NBD-fluoride']
C0049916	["7-iodo-8-hydroxy-3-methyl-1-(4'-azidophenyl)-2,3,4,5-tetrahydro-1H-benzazepine", '7-iodo-8-hydroxy-3-methyl-1-(4-azidophenyl)-2,3,4,5-tetrahydro-1H-3-benzazepine', 'IMAB']
C0049951	['7-nitrobenz-2-oxa-1,3-diazole-phallacidin', 'NBD-Ph', 'NBD-phallicidin', 'NBODP', 'nitrobenzoxadiazole-phallacidin', 'Phallacidin, 5-(erythro-3-hydroxy-N-(2-((7-nitro-4-benzofurazanyl)amino)ethyl)-D-asparagine)-']
C0050012	['8-(5-thioacetamidofluorescein)-cGMP', '8-(5-thioacetamidofluorescein)cyclic-GMP', "8-(fluoresceinyl)thioguanosine 3',5'-cyclic monophosphate", 'cGMP-TAF', 'SAF-cGMP']
C0050021	['1,3,6-ANTS', '1-aminonaphthalene-3,6,8-trisulfonic acid', '8-amino-1,3,6-naphthalenetrisulfonic acid', '8-aminonapthalene 1,3,6-trisulfonate', 'aminonaphthalenetrisulfonic acid']
C0050035	['8-azido-1,N(6)-ethenoadenosine triphosphate', '8-azido-1-EAT', 'etheno-8-azido-ATP']
C0050037	["8-azido-2'-O-dansyl-ATP", "8-azido-2'-O-dansyladenosine triphosphate"]
C0050038	['8-AASM', '8-azido-S-adenosylmethionine', "Adenosine, 5'-((3-amino-3-carboxypropyl)methylsulfonio)-8-azido-5'-deoxy-, hydroxide, inner salt, (S)-"]
C0050039	['1H-Purin-6-amine, 8-azido-', '8-azidoadenine']
C0050040	['8-azidoadenosine']
C0050041	["8-azidoadenosine 5'-monophosphate"]
C0050042	['8-azido-ATP', "8-azidoadenosine 5'-triphosphate", '8-N(3)ATP', '8-N3ATP', "Adenosine 5'-(tetrahydrogen triphosphate), 8-azido-", 'N3-ATP']
C0050043	['8-azido-ADP', "8-azidoadenosine 5'-(trihydrogen diphosphate)", '8-azidoadenosine diphosphate', '8-N(3)ADP', '8-N3ADP']
C0050044	['8-azido-cyclic AMP', "8-azidoadenosine 3',5'-monophosphate", "8-azidoadenosine-3',5'-monophosphate", '8-N3-cAMP']
C0050045	['8-azidoethidium']
C0050046	['8-azido-GTP', '8-azidoguanosine triphosphate', "8-azidoguanosine-5'-triphosphate", '8-N(3)GTP']
C0050047	["5'-Inosinic acid, 8-azido-", "8-azidoinosine 5'-monophosphate", '8-azidoinosinic acid']
C0050106	['8-M-NAP-APAT', '8-methoxy-2-(N-n-propyl-N-3-(2-nitro-4-azidophenyl)aminopropyl)aminotetralin', "8-methoxy-3'-NAP-amino-PAT"]
C0050115	['8-azido cyclic IMP', "8-azidoinosine 3',5'-monophosphate", "8-azidoinosine cyclic 3',5'-(hydrogen phosphate)", '8-N(3)cIMP']
C0050153	['9,11-dimethylmethano-11,12-methano-16-(3-iodo-4-azidophenyl)-13,14-dihydro-13-aza-15-tetranorthromboxane A2', 'I-PTA-azido']
C0050193	['10-methyl-9-aminoacridine', '9-amino-10-methylacridinium']
C0050194	['2-methoxy-6-azido-9-aminoacridine', '9-amino-3-azido-7-methoxyacridine', '9-amino-6-azido-2-methoxyacridine']
C0050195	['2-methoxy-6-chloro-9-aminoacridine', '9-amino-2-methoxy-6-chloroacridine', '9-amino-3-chloro-7-methoxyacridine', '9-amino-6-chloro-2-methoxyacridine']
C0050204	['9-azidoacridine']
C0050433	['ACCY conjugate', 'acetaminophen-cysteine conjugate']
C0050459	['Acetophenone', 'acetophenone', 'acetophenone', 'Acetophenone', 'Acetophenone', 'Acetophenone', 'acetophenone', 'acetophenone', 'acetophenone', 'Acetophenone', 'Acetophenone', 'ACETOPHENONE', 'ACETOPHENONE']
C0050477	['acetyl hypofluorite']
C0050505	['acetylcellulose', 'acetylcellulose', 'Cellulose acetate (substance)', 'cellulose acetate', 'Cellulose acetate', 'cellulose acetate', 'Cellulose Acetate', 'CELLULOSE ACETATE', 'cellulose acetate', 'Cellulose acetate', 'cellulose acetate', 'cellulose acetate']
C0050552	['ACD solution', 'acd solution', 'Acid citrate dextrose', 'Acid citrate dextrose', 'Acid citrate dextrose', 'acid citrate dextrose', 'acid citrate dextrose', 'acid citrate dextrose', 'Acid Citrate Dextrose', 'Acid-Citrate-Dextrose', 'D-glucose, 2-hydroxy-1,2,3-propanetricarboxylate (1:1) (salt)']
C0050555	['(4-(p-(dimethylamino)-alpha-(p-(ethyl(m-sulfobenzyl)amino)phenyl)benzylidene)-2,5-cyclohexadien-1-yl idene)ethyl(m-sulfobenzyl)ammonium hydroxide inner salt', '11386 Violet', 'A.F. Violet No. 1', 'Acid Violet 6B', 'Acid Violet 6B', 'AF Violet No. 1', 'Benzenemethanaminium, N-(4-((4-(dimethylamino)phenyl)(4-(ethyl((3-sulfophenyl)methyl)amino)phenyl)methylene)-2,5-cyclohexadien-1-ylidene)-N-ethyl-3-sulfo-, Inner Salt, Sodium Salt', 'benzyl violet', 'Benzyl Violet', 'BENZYL VIOLET', 'Fast Acid Violet 5BN', 'FD and C Violet No. 1', 'Food Violet 2', 'Formyl Violet S4BN', 'Pergacid Violet 2B', 'Pergacid Violet 3B', 'Polaxal Violet 6B', 'Solar Violet 5BN', 'Tertracid Brilliant Violet 6B']
C0050581	['acriflavin-agarose', 'acriflavin-sepharose']
C0050592	['2-Propen-1-one, 1-(6-(dimethylamino)-2-naphthalenyl)-', '6-acryloyl-2-dimethylaminonaphthalene', 'acrylodan']
C0050594	['acrylonitriledimethylaminoethyl methacrylate copolymer', 'dimethylaminoethyl methacrylate-acrylonitrile copolymer', 'DMAEMA-AN']
C0050596	['2-propenoyl chloride', 'acryloyl chloride']
C0050723	['1-adamantanecarboxylic acid', 'adamantanecarboxylic acid']
C0050725	['adamantanone']
C0050760	['(gamma-S)ATP', "adenosine 5'-(3-thio)triphosphate", "adenosine 5'-(gamma-S)triphosphate", "Adenosine 5'-(trihydrogen diphosphate), monoanhydride with phosphorothioic acid", "adenosine 5'-O-(3-thiotriphosphate)", "adenosine 5'-O-(gamma-thiotriphosphate)", "adenosine-5'-(3-thiotriphosphate)", 'ATP gamma-S', 'ATPgammaS', 'gamma-thio-ATP']
C0050777	['adenosine monophosphate-agarose', 'adenosine monophosphate-sepharose', 'Agarose, (6-((9-(5-O-phosphono-beta-D-ribofuranosyl)-9H-purin-6-yl)amino)hexyl)carbamimidate', 'Agarose, (6-((9-(5-O-phosphono-beta-D-ribofuranosyl)-9H-purin-6-yl)amino)hexyl)carbamimidate-', "agarose-hexyl-adenosine-5'-monophosphate", 'agarose-hexyl-AMP', 'AHAMP', 'AMP-agarose', 'AMP-sepharose', "hexyl-adenosine 5'-monophosphate-sepharose", "hexyladenosine 5'-monophosphate-sepharose", "sepharose-hexyl-adenosine 5'-monophosphate"]
C0050780	['adenosine tetraphosphate pyridoxal', 'adenosine tetraphosphopyridoxal', 'AP4-PL']
C0050846	['1,4-butanedicarboxylic acid', 'Adipate', 'Adipic acid (substance)', 'Adipic acid', 'adipic acid', 'adipic acid', 'Adipic Acid', 'Adipic Acid', 'adipic acid', 'adipic acid', 'Adipic Acid', 'ADIPIC ACID', 'Adipic acid', 'ADIPIC ACID', 'hexanedioic acid']
C0050847	['adipic acid dihydrazide', 'ADIPIC ACID DIHYDRAZIDE', 'adipic dihydrazide', 'Adipic Dihydrazide', 'Adipic Hydrazide']
C0051061	['2-naphthylalanine amide', 'alanine-beta-naphthylamide']
C0051105	['albumin-(gadolinium-DTPA)', 'albumin-(Gd-DTPA)', 'albumin-Gd-DTPA', 'Gd-DTPA-albumin']
C0051109	['alcian green']
C0051110	['Alcian Yellow', 'C.I. Ingrain Yellow 1']
C0051163	['1,2-Dihydroxy-9,10-anthracenedione', '1,2-Dihydroxyanthrachinon', '1,2-dihydroxyanthraquinone', 'alizarin red', 'alizarin red', 'ALIZARIN RED', 'alizarin', 'Alizarin', 'ALIZARIN', 'alizarin', 'alizarine', 'D and C Orange No. 15', 'Pigment Red 83', 'Turkey Red']
C0051165	['9,10-dihydro-3,4-dihydroxy-9,10-dioxo-2-anthracenesulfonic acid', 'Alizarin carmine', 'Alizarin red S stain (substance)', 'Alizarin red S stain', 'Alizarin Red S', 'Alizarin Red S', 'Alizarin red S', 'Alizarine S', 'alizarine sulfonate', 'Mordant red 3']
C0051171	['alkoxyl radical']
C0051175	['alkyl benzyl sulfonate', 'alkylbenzyl sulfonic acid', 'linear alkylbenzene sulfonate']
C0051226	['allyl bromide']
C0051236	['2-Propenoic acid, 2-(((2-propenyloxy)carbonyl)oxy)-, 2-propenyl ester', 'AAOCOA', 'allyl-alpha-allyloxycarbonyloxyacrylate']
C0051237	['allylbenzene ozonide']
C0051289	['4-POBN', '4-PyOBN', '4-pyridyl-1-oxide-T-butylnitrone', 'alpha-(4-pyridyl-1-oxide)-N-tert-butylnitrone', 'POBN']
C0051318	['4-Isoxazolepropanoic acid, alpha-amino-2,3-dihydro-5-methyl-3-oxo-', 'alpha Amino 3 hydroxy 5 methyl 4 isoxazolepropionic Acid', 'alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA)', 'alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid', 'amino 3 hydroxy 5 methylisoxazole 4 propionate', 'AMPA', 'AMPA', 'ampa']
C0051331	['alpha-bromo-4-hydroxy-3-nitroacetophenone']
C0051459	['.ALPHA.-PINENE', '2-pinene', 'alpha pinene', 'Alpha-pinene (substance)', 'Alpha-Pinene', 'alpha-pinene', 'alpha-pinene', 'Alpha-pinene', 'Alpha-pinene-containing product', 'Product containing alpha-pinene (medicinal product)']
C0051704	['acetic acid ammonium salt', 'Ammonium acetate (substance)', 'Ammonium acetate', 'ammonium acetate', 'ammonium acetate', 'Ammonium Acetate', 'ammonium acetate', 'Ammonium Acetate', 'AMMONIUM ACETATE', 'Ammonium acetate', 'AMMONIUM ACETATE', 'Ammonium acetate-containing product', 'Product containing ammonium acetate (medicinal product)']
C0051709	['ammonium borate']
C0051712	['ammonium cyanide', 'ammonium cyanide']
C0051722	['ammonium nitrate', 'AMMONIUM NITRATE', 'Ammonium Nitrate', 'ammonium nitrate']
C0051723	['ammonium peroxydisulfate', 'ammonium peroxydisulfate', 'Ammonium persulfate (substance)', 'ammonium persulfate', 'AMMONIUM PERSULFATE', 'Ammonium persulfate', 'Ammonium persulfate', 'Ammonium Persulfate', 'Ammonium persulfate', 'Ammonium persulfate-containing product', 'Product containing ammonium persulfate (medicinal product)']
C0051771	['acetic acid, pentyl ester', 'Amyl acetate (substance)', 'amyl acetate', 'amyl acetate', 'Amyl Acetate', 'amyl acetate', 'Amyl Acetate', 'AMYL ACETATE', 'Amyl acetate', 'AMYL ACETATE', 'pentyl acetate', 'Pentyl acetate']
C0051776	['amylodextrin']
C0051887	['2-nitro-5-azidobenzoylangiotensin II', 'angiotensin, 2-nitro-5-azidobenzoyl-', 'NAB angiotensin II']
C0051963	['9,10-dihydro-9-oxoanthracene', 'anthrone']
C0052065	['antimony choline', 'Sb-choline', 'Stibonium, (2-hydroxyethyl)trimethyl-']
C0052067	['antimony pentaoxide', 'antimony pentoxide']
C0052070	['antimony trioxide', 'Antimony Trioxide', 'antimony trioxide', 'ANTIMONY TRIOXIDE']
C0052091	['antipyrylazo III', 'bis(4-antipyrylazo)-4,5-dihydroxy-2,7-naphthalenedisulfonic acid']
C0052292	['5-HPETE', '5-HPETE', '5-hydroperoxy-6,8,11,14-eicosatetraenoic acid (substance)', '5-hydroperoxy-6,8,11,14-eicosatetraenoic acid', '5-hydroperoxy-6,8,11,14-eicosatetraenoic acid', '6,8,11,14-eicosatetraenoic acid 5-hydroperoxide', '6,8,11,14-Eicosatetraenoic acid, 5-hydroperoxy-', 'arachidonic acid 5-hydroperoxide', 'cis,trans-5-hydroperoxy-6,8,11,14-eicosatetraenoic acid']
C0052325	['Arg-4-HMeC', 'ARG-AMC', 'arginine 4-methyl-7-coumarylamide', 'arginine 4-methylcoumarinyl-7-amide', 'arginyl-7-amido-4-methylcoumarin', 'Pentanamide, 2-amino-5-((aminoiminomethyl)amino)-N-(4-methyl-2-oxo-2H-1-benzopyran-7-yl)-, (S)-']
C0052449	["A3'-O-(3-(N-(4-azido-2-nitrophenyl)amino)propionyl)NAD", 'arylazido-beta-alanine NAD', 'arylazido-beta-alanyl-NAD']
C0052450	['arylazido-beta-alanyl-NADP', 'arylazido-beta-alanyl-NADP(+)', "beta-Alanine, N- (4-azido-2-nitrophenyl)-, 2'-ester with adenosine 5'-(trihydrogen diphosphate) 2'-(dihydrogen phosphate) 5'-5'-ester with 3-(aminocarbonyl)-1-beta-D-ribofuranosylpyridinium hydroxide inner salt", "N-(3'-O-(3-(N-azido-2-nitrophenyl)amino)propionyl)NADP"]
C0052561	['AST 120', 'AST 120', 'AST-120', 'ast-120']
C0052597	["adenosine 5'-(trihydrogen diphosphate) monoanhydride with (4-azidophenyl)phosphoramidic acid", 'adenosine triphosphate gamma-p-azidoanilide', 'ATP gamma-p-azidoanilide', 'ATP-gamma-4-azidoanilide', 'gamma-(p-azidoanilide)ATP']
C0052607	["Adenosine 5'-(trihydrogen diphosphate), monoanhydride with ((4-((2-chloroethyl)methylamino)phenyl)methyl)phosphoramidic acid", 'adenosine triphosphate-gamma-4-(N-2-chloroethyl-N-methylamino)benzylamidate', 'ATP-gamma-4-(N-2-chloroethyl-N-methylamino)benzylamidate', 'ATP-gcmab']
C0052675	['4(bis(p-hydroxyphenyl)methylene)-2,5-cyclohexadien-1-one', 'aurin', 'rosolic acid']
C0052711	['3,6-diamino-10-methylacridinium', 'acridinium, 3,6-diamino-10-methyl-']
C0052755	['4-azido-5-chloro-2-methoxy-N-(1-phenylmethyl-4-piperidinyl)benzamide', '4-deamino-4-azidoclebopride', 'azapride', 'azidoclebopride', 'Benzamide, 4-azido-5-chloro-2-methoxy-N-(1-(phenylmethyl)-4-piperidinyl)-']
C0052771	['azidocalmodulin']
